Feature_A,Feature_A_noFeature_B,Feature_B,Feature_B_noFeature_B,Feature_C,Feature_C_noFeature_B,Constant_Feature,Constant_Feature_noFeature_B,Random_Feature,Random_Feature_noFeature_B,Outcome,Outcome_noFeature_B
239,2898,478,9538,-239,-3274,1,1,0.9711269078625028,0.9687904791429568,A,B
240,2898,480,9538,-240,-3274,1,1,0.5089551691875212,0.5089551691875212,A,B
242,2899,484,9538,-242,-3275,1,1,0.33700327710120903,0.3750797499036297,A,B
243,2902,486,9538,-243,-3279,1,1,0.005038634283475951,0.0038644681598412056,A,B
244,2908,488,9538,-244,-3280,1,1,0.5414862413857782,0.5483874182006229,A,B
245,2908,490,9538,-245,-3280,1,1,0.30882284514135494,0.3070671375220516,A,B
248,2909,496,9538,-248,-3286,1,1,0.21085955694432024,0.22350250236830127,A,B
251,2912,502,9538,-251,-3290,1,1,0.47584175381012384,0.47584175381012384,A,B
253,2912,506,9538,-253,-3290,1,1,0.24083679547789394,0.241020076185557,A,B
254,2913,508,9538,-254,-3292,1,1,0.6712862547608752,0.6802208630759197,A,B
255,2915,510,9538,-255,-3294,1,1,0.7652497429462864,0.7750328015637515,A,B
256,2915,512,9538,-256,-3294,1,1,0.8525372969233118,0.8334432844070989,A,B
257,2917,514,9538,-257,-3298,1,1,0.7011184079009996,0.7184314053505323,A,B
258,2919,516,9538,-258,-3300,1,1,0.3564727991632094,0.38359182289743265,A,B
259,2924,518,9538,-259,-3301,1,1,0.081202145384341,0.08167606683765005,A,B
261,2924,522,9538,-261,-3301,1,1,0.48279965143654047,0.47584175381012384,A,B
264,2925,528,9538,-264,-3303,1,1,0.8493739597253898,0.8334432844070989,A,B
265,2930,530,9538,-265,-3304,1,1,0.3275151794051292,0.3541001588175644,A,B
266,2930,532,9538,-266,-3304,1,1,0.3138868785018196,0.3206211616683612,A,B
270,2931,540,9538,-270,-3307,1,1,0.8429390820194244,0.8195547680451946,A,B
272,2932,544,9538,-272,-3308,1,1,0.875594750228626,0.861274705217188,A,B
274,2932,548,9538,-274,-3308,1,1,0.3624582939917167,0.3939824335709884,A,B
275,2936,550,9538,-275,-3311,1,1,0.6369152371498763,0.6369045866801039,A,B
276,2938,552,9538,-276,-3313,1,1,0.8771017954463624,0.861274705217188,A,B
277,2943,554,9538,-277,-3314,1,1,0.9925642064905364,0.9872597865727357,A,B
278,2943,556,9538,-278,-3314,1,1,0.9881268590884522,0.9839841321275486,A,B
279,2944,558,9538,-279,-3316,1,1,0.3341702181352614,0.3622844436920112,A,B
284,2945,568,9538,-284,-3317,1,1,0.5753923219747862,0.5742903008873838,A,B
285,2945,570,9538,-285,-3317,1,1,0.21391326494733143,0.22565034474374557,A,B
286,2950,572,9538,-286,-3321,1,1,0.2831580734983373,0.27957556634464376,A,B
287,2951,574,9538,-287,-3322,1,1,0.9623512045252148,0.9534435387121504,A,B
290,2951,580,9538,-290,-3322,1,1,0.0870175323967809,0.09812281723784155,A,B
291,2953,582,9538,-291,-3326,1,1,0.27098224920265324,0.2691068211597738,A,B
292,2954,584,9538,-292,-3329,1,1,0.6147408709676349,0.6147408709676349,A,B
293,2955,586,9538,-293,-3331,1,1,0.2604983046074889,0.2604983046074889,A,B
294,2955,588,9538,-294,-3331,1,1,0.5339369261069321,0.5339369261069321,A,B
295,2957,590,9538,-295,-3332,1,1,0.25413723861324644,0.25413723861324644,A,B
297,2958,594,9538,-297,-3334,1,1,0.9908953618203862,0.9872597865727357,A,B
298,2958,596,9538,-298,-3334,1,1,0.6418916978832145,0.6488593729214684,A,B
299,2960,598,9538,-299,-3339,1,1,0.6278734811917449,0.6369045866801039,A,B
300,2962,600,9538,-300,-3341,1,1,0.21373980925782232,0.22565034474374557,A,B
301,2963,602,9538,-301,-3345,1,1,0.9219972574667378,0.9143554077433366,A,B
302,2963,604,9538,-302,-3345,1,1,0.09218590346476363,0.11423361057948744,A,B
303,2966,606,9538,-303,-3346,1,1,0.038608454938565795,0.02890641259804505,A,B
304,2968,608,9538,-304,-3349,1,1,0.506128863163508,0.5057113325314054,A,B
305,2968,610,9538,-305,-3349,1,1,0.9800516331269955,0.9722124503947794,A,B
306,2970,612,9538,-306,-3350,1,1,0.09194760954612846,0.11161245723735569,A,B
309,2972,618,9538,-309,-3352,1,1,0.9609316868416599,0.948732922882207,A,B
310,2972,620,9538,-310,-3352,1,1,0.5337843550186968,0.5293669438787622,A,B
312,2973,624,9538,-312,-3355,1,1,0.7978511104064193,0.8049247086320629,A,B
313,2975,626,9538,-313,-3357,1,1,0.9274519207278953,0.9239755549355453,A,B
314,2976,628,9538,-314,-3359,1,1,0.7652292050289865,0.7750328015637515,A,B
315,2976,630,9538,-315,-3359,1,1,0.9045348905642515,0.8896766932364099,A,B
317,2981,634,9538,-317,-3360,1,1,0.5706021284316248,0.5643649797470728,A,B
318,2983,636,9538,-318,-3364,1,1,0.18656056276474098,0.20420620977082515,A,B
319,2983,638,9538,-319,-3364,1,1,0.8785941295651573,0.8718386085248406,A,B
320,2984,640,9538,-320,-3366,1,1,0.7208389255758687,0.7472742435857463,A,B
321,2986,642,9538,-321,-3370,1,1,0.8992775549231041,0.8809225796706706,A,B
322,2986,644,9538,-322,-3370,1,1,0.08650454670403318,0.09812281723784155,A,B
324,2990,648,9538,-324,-3373,1,1,0.24055981485762024,0.24055981485762024,A,B
325,2994,650,9538,-325,-3375,1,1,0.060166791682989995,0.060813072542556856,A,B
327,2996,654,9538,-327,-3376,1,1,0.29005724881410777,0.29005724881410777,A,B
329,2996,658,9538,-329,-3376,1,1,0.8720207961564451,0.8605368186122571,A,B
330,2998,660,9538,-330,-3382,1,1,0.39662090313585807,0.41328736746549166,A,B
331,3000,662,9538,-331,-3383,1,1,0.3825366961863146,0.40529944517643124,A,B
332,3000,664,9538,-332,-3383,1,1,0.907746497501214,0.8965183846598592,A,B
333,3001,666,9538,-333,-3385,1,1,0.9729333096554914,0.9687904791429568,A,B
334,3003,668,9538,-334,-3386,1,1,0.16469229964190457,0.17058478845316005,A,B
335,3003,670,9538,-335,-3386,1,1,0.1101939591908071,0.1378281844067265,A,B
337,3004,674,9538,-337,-3387,1,1,0.5741999114922793,0.5678276178771463,A,B
338,3009,676,9538,-338,-3390,1,1,0.053354170044430216,0.05450756459755113,A,B
340,3010,680,9538,-340,-3391,1,1,0.05076993205839975,0.049987341179931644,A,B
341,3010,682,9538,-341,-3391,1,1,0.8975236053190654,0.8718386085248406,A,B
342,3011,684,9538,-342,-3393,1,1,0.7405272494332596,0.7553192102423594,A,B
345,3013,690,9538,-345,-3394,1,1,0.4708611622020543,0.4708611622020543,A,B
346,3013,692,9538,-346,-3394,1,1,0.7064100547721253,0.7281753149833974,A,B
347,3014,694,9538,-347,-3398,1,1,0.10185397216272551,0.12942458033777282,A,B
349,3016,698,9538,-349,-3399,1,1,0.619953193988682,0.6194276180445482,A,B
352,3016,704,9538,-352,-3399,1,1,0.9430183542696174,0.9452116991909318,A,B
354,3019,708,9538,-354,-3401,1,1,0.04032934246595932,0.035121154743001703,A,B
355,3022,710,9538,-355,-3403,1,1,0.46600555879568495,0.4644897433830574,A,B
356,3025,712,9538,-356,-3406,1,1,0.35283097471221436,0.38359182289743265,A,B
357,3025,714,9538,-357,-3406,1,1,0.3964636571703387,0.41328736746549166,A,B
358,3029,716,9538,-358,-3407,1,1,0.578914645904586,0.578914645904586,A,B
359,3035,718,9538,-359,-3409,1,1,0.6269670224111284,0.6364080175023646,A,B
360,3035,720,9538,-360,-3409,1,1,0.24885971870933776,0.241020076185557,A,B
361,3037,722,9538,-361,-3414,1,1,0.8244540673131523,0.8114537583882862,A,B
362,3038,724,9538,-362,-3416,1,1,0.7658745458229812,0.7845146213411933,A,B
364,3038,728,9538,-364,-3416,1,1,0.9451208779028456,0.9452116991909318,A,B
365,3040,730,9538,-365,-3418,1,1,0.5057113325314054,0.5057113325314054,A,B
366,3041,732,9538,-366,-3419,1,1,0.40831246042735436,0.423648850762522,A,B
371,3045,742,9538,-371,-3421,1,1,0.8387874785589179,0.8164632480994188,A,B
372,3045,744,9538,-372,-3421,1,1,0.3657196642069439,0.3947884433232508,A,B
374,3046,748,9538,-374,-3422,1,1,0.49081502673691324,0.4871715175426282,A,B
375,3047,750,9538,-375,-3430,1,1,0.1820333366525364,0.19160963417195387,A,B
376,3047,752,9538,-376,-3430,1,1,0.6691501012450989,0.6691501012450989,A,B
377,3049,754,9538,-377,-3431,1,1,0.35130405636741435,0.3770821598830879,A,B
379,3050,758,9538,-379,-3433,1,1,0.20441503770884195,0.22165672816496917,A,B
380,3050,760,9538,-380,-3433,1,1,0.3472541052413166,0.3750797499036297,A,B
381,3052,762,9538,-381,-3434,1,1,0.45639983428165687,0.4644897433830574,A,B
383,2671,766,9538,-383,-3053,1,1,0.019389091116614243,0.02890641259804505,A,B
384,2673,768,9538,-384,-3055,1,1,0.7782824979799993,0.7472742435857463,A,B
385,2673,770,9538,-385,-3055,1,1,0.3206211616683612,0.3206211616683612,A,B
389,2675,778,9538,-389,-3057,1,1,0.6861096738575249,0.6652796127508342,A,B
390,2679,780,9538,-390,-3062,1,1,0.19437703600311151,0.18274601207146912,A,B
392,2679,784,9538,-392,-3062,1,1,0.5802103594474728,0.5363614037302173,A,B
394,2682,788,9538,-394,-3064,1,1,0.26623340326602296,0.27957556634464376,A,B
395,2688,790,9538,-395,-3066,1,1,0.5475302287689332,0.4871715175426282,A,B
397,2688,794,9538,-397,-3066,1,1,0.7996835282163028,0.7715522176376897,A,B
398,2689,796,9538,-398,-3068,1,1,0.6794451910881156,0.6369045866801039,A,B
399,2692,798,9538,-399,-3071,1,1,0.6383902374989666,0.6108523749465351,A,B
400,2692,800,9538,-400,-3071,1,1,0.6466525165640833,0.6147408709676349,A,B
401,2693,802,9538,-401,-3073,1,1,0.6896508377244611,0.6691501012450989,A,B
404,2695,808,9538,-404,-3075,1,1,0.9575592493249176,0.9452116991909318,A,B
405,2696,810,9538,-405,-3076,1,1,0.8221224019726963,0.7983384974668297,A,B
406,2696,812,9538,-406,-3076,1,1,0.8607463993422443,0.8317358872592439,A,B
407,2697,814,9538,-407,-3077,1,1,0.20420620977082515,0.20420620977082515,A,B
408,2699,816,9538,-408,-3079,1,1,0.5426781270551726,0.48573108297627376,A,B
409,2699,818,9538,-409,-3079,1,1,0.19000094850911997,0.1680533837169732,A,B
411,2700,822,9538,-411,-3080,1,1,0.47407993571624696,0.42787849076828455,A,B
412,2702,824,9538,-412,-3083,1,1,0.5479473030267517,0.494833775220371,A,B
413,2702,826,9538,-413,-3083,1,1,0.1179565482015249,0.11161245723735569,A,B
414,2705,828,9538,-414,-3084,1,1,0.6816076192823697,0.6540519974115205,A,B
415,2706,830,9538,-415,-3087,1,1,0.1510335944550495,0.15342328920203419,A,B
416,2706,832,9538,-416,-3087,1,1,0.19134176523410384,0.17058478845316005,A,B
417,2709,834,9538,-417,-3090,1,1,0.015830959287115864,0.014927674388902079,A,B
418,2710,836,9538,-418,-3092,1,1,0.5160840645388153,0.4708611622020543,A,B
419,2712,838,9538,-419,-3093,1,1,0.8935105878976581,0.861274705217188,A,B
420,2712,840,9538,-420,-3093,1,1,0.8926467181724509,0.8605368186122571,A,B
421,2714,842,9538,-421,-3095,1,1,0.6095579242053977,0.5678276178771463,A,B
422,2719,844,9538,-422,-3098,1,1,0.1357753233811827,0.1312793687711078,A,B
423,2719,846,9538,-423,-3098,1,1,0.3568304947103562,0.3541001588175644,A,B
425,2723,850,9538,-425,-3099,1,1,0.4573711429136279,0.423648850762522,A,B
427,2726,854,9538,-427,-3103,1,1,0.8023384327783769,0.7845146213411933,A,B
428,2726,856,9538,-428,-3103,1,1,0.7422407194359771,0.7084096773612025,A,B
429,2733,858,9538,-429,-3104,1,1,0.9039271533462222,0.8713074291322984,A,B
431,2734,862,9538,-431,-3106,1,1,0.0285777127426331,0.03685484993142085,A,B
432,2734,864,9538,-432,-3106,1,1,0.11554725729231019,0.1003296744209099,A,B
433,2736,866,9538,-433,-3107,1,1,0.6607665885438345,0.6194276180445482,A,B
435,2737,870,9538,-435,-3110,1,1,0.07885615119372491,0.08518571984397771,A,B
436,2738,872,9538,-436,-3112,1,1,0.19355937662313982,0.17058478845316005,A,B
439,2738,878,9538,-439,-3112,1,1,0.8139748261891445,0.7966462126278536,A,B
442,2741,884,9538,-442,-3118,1,1,0.7468416734915838,0.7184314053505323,A,B
443,2742,886,9538,-443,-3119,1,1,0.011213826211185829,0.010785107547286787,A,B
444,2742,888,9538,-444,-3119,1,1,0.8771421069175928,0.8482181233587572,A,B
445,2744,890,9538,-445,-3121,1,1,0.16553209266029612,0.16553209266029612,A,B
448,2746,896,9538,-448,-3123,1,1,0.8545712826453361,0.8195547680451946,A,B
449,2746,898,9538,-449,-3123,1,1,0.9919360708819087,0.9722124503947794,A,B
450,2747,900,9538,-450,-3124,1,1,0.613484289687388,0.5742903008873838,A,B
452,2750,904,9538,-452,-3126,1,1,0.2645931543956688,0.2691068211597738,A,B
454,2750,908,9538,-454,-3126,1,1,0.6221425257384188,0.578914645904586,A,B
455,2751,910,9538,-455,-3127,1,1,0.524057339417817,0.4737526404175101,A,B
457,2753,914,9538,-457,-3130,1,1,0.4435696729536609,0.40529944517643124,A,B
458,2754,916,9538,-458,-3132,1,1,0.9385814186942678,0.9143554077433366,A,B
459,2754,918,9538,-459,-3132,1,1,0.2558792874563377,0.26851316588012253,A,B
460,2759,920,9538,-460,-3135,1,1,0.6193920700848753,0.576504222584609,A,B
462,2761,924,9538,-462,-3138,1,1,0.8982475272058454,0.8713074291322984,A,B
465,2761,930,9538,-465,-3138,1,1,0.028105596965441237,0.03685484993142085,A,B
466,2762,932,9538,-466,-3140,1,1,0.6482595918863554,0.6147408709676349,A,B
469,2764,938,9538,-469,-3141,1,1,0.071758304749728,0.08062485441986278,A,B
470,2764,940,9538,-470,-3141,1,1,0.7328422963608654,0.7035976698003591,A,B
472,2765,944,9538,-472,-3144,1,1,0.27669086109609176,0.29005724881410777,A,B
473,2767,946,9538,-473,-3145,1,1,0.10539986396913215,0.08518571984397771,A,B
475,2767,950,9538,-475,-3145,1,1,0.6847068281943581,0.6652796127508342,A,B
476,2769,952,9538,-476,-3146,1,1,0.8124559134059888,0.7863143964531846,A,B
478,2772,956,9538,-478,-3150,1,1,0.9511484217042864,0.934540665405342,A,B
479,2774,958,9538,-479,-3151,1,1,0.960533741064849,0.948732922882207,A,B
