sex,sex_norace,age,age_norace,age_cat,age_cat_norace,race,race_norace,juv_fel_count,juv_fel_count_norace,juv_misd_count,juv_misd_count_norace,juv_other_count,juv_other_count_norace,priors_count,priors_count_norace,c_charge_degree,c_charge_degree_norace,c_charge_desc,c_charge_desc_norace,decile_score,decile_score_norace,score_text,score_text_norace
Male,Male,43,39,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,1,0,M,F,Susp Drivers Lic 1st Offense,Battery,1,1,Low,Low
Male,Male,32,34,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,0,0,0,M,M,Battery,Battery,3,3,Low,Low
Male,Male,26,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,1,0,5,3,F,F,Pos Cannabis W/Intent Sel/Del,Assault,7,7,Medium,Low
Male,Male,33,34,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,0,0,F,F,Tampering With Physical Evidence,Grand Theft in the 3rd Degree,10,9,High,High
Male,Male,32,34,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,4,0,F,F,Att Tamper w/Physical Evidence,Battery,8,7,High,Low
Male,Male,55,51,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,0,0,0,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,49,51,Greater than 45,Greater than 45,Other,African-American,0,1,0,0,0,0,7,7,F,F,Agg Fleeing and Eluding,Carrying Concealed Firearm,3,3,Low,Low
Female,Male,33,27,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,4,0,M,M,Battery,Battery,5,5,Medium,Medium
Male,Male,34,34,25 - 45,25 - 45,African-American,African-American,2,1,1,0,3,0,21,15,F,F,Poss Wep Conv Felon,Driving Under The Influence,9,9,High,Low
Male,Male,29,27,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,0,0,M,F,Possess Cannabis/20 Grams Or Less,Possess Cannabis/20 Grams Or Less,2,1,Low,Low
Female,Female,21,21,Less than 25,Greater than 45,African-American,African-American,0,1,0,0,0,0,2,0,F,F,arrest case no charge,arrest case no charge,8,7,High,High
Male,Male,29,27,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,2,0,M,M,Viol Injunct Domestic Violence,Viol Injunct Domestic Violence,2,1,Low,Low
Female,Female,51,45,Greater than 45,Greater than 45,African-American,African-American,0,1,0,0,0,0,7,3,F,F,Possession of Cocaine,Possession of Cocaine,2,1,Low,Low
Male,Male,25,21,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,9,3,M,M,Battery,Battery,10,9,High,High
Male,Male,35,34,25 - 45,25 - 45,African-American,African-American,1,1,0,0,4,0,13,5,F,F,Uttering a Forged Instrument,Grand Theft (Motor Vehicle),8,7,High,High
Male,Male,49,45,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,0,0,0,M,M,DUI Level 0.15 Or Minor In Veh,Battery,1,1,Low,Low
Male,Male,29,27,25 - 45,Greater than 45,African-American,African-American,0,1,0,0,0,0,0,0,F,F,Tampering With Physical Evidence,Driving While License Revoked,4,3,Low,Low
Male,Male,31,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,1,0,15,5,F,F,Attempt Armed Burglary Dwell,Battery,5,5,Medium,Medium
Male,Male,30,27,25 - 45,25 - 45,Hispanic,African-American,0,1,0,0,0,0,0,0,M,M,Possess Cannabis/20 Grams Or Less,Burglary Unoccupied Dwelling,7,7,Medium,Medium
Male,Male,49,45,Greater than 45,Greater than 45,African-American,African-American,0,1,0,0,0,0,4,0,M,M,Battery,Battery,1,1,Low,Low
Male,Male,27,27,25 - 45,25 - 45,African-American,African-American,1,1,1,0,2,0,15,5,F,F,Driving While License Revoked,Driving While License Revoked,10,9,High,High
Male,Male,38,34,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,4,0,M,M,Battery,Battery,2,1,Low,Low
Male,Male,22,21,Less than 25,Less than 25,African-American,African-American,0,1,0,0,1,0,1,0,F,F,Poss Firearm W/Altered ID#,Battery,4,3,Low,Low
Male,Male,62,57,Greater than 45,Greater than 45,Hispanic,African-American,0,1,0,0,0,0,0,0,M,M,Unlaw LicTag/Sticker Attach,Battery,1,1,Low,Low
Male,Male,33,34,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,0,0,0,M,M,Battery,Battery,1,1,Low,Low
Male,Male,45,45,Greater than 45,Greater than 45,Hispanic,African-American,0,1,0,0,0,0,6,3,F,F,Possession of Cocaine,Possession of Cocaine,1,1,Low,Low
Male,Male,22,21,Less than 25,Less than 25,Hispanic,African-American,0,1,0,0,0,0,1,0,F,F,Burglary Structure Unoccup,Grand Theft in the 3rd Degree,4,3,Low,Low
Male,Male,29,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,5,3,F,F,False Name By Person Arrest,Battery,6,5,Medium,Medium
Male,Male,40,39,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,2,0,F,F,arrest case no charge,Battery,2,1,Low,Low
Male,Male,22,21,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,0,1,0,M,M,Battery,Battery,3,3,Low,Low
Male,Male,22,21,Less than 25,Less than 25,Caucasian,African-American,0,1,0,0,0,0,0,0,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,8,7,High,High
Female,Female,26,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,1,0,F,F,Poss Cocaine/Intent To Del/Sel,Battery,4,3,Low,Low
Male,Male,32,34,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,0,0,F,F,Felony Battery (Dom Strang),Felony Battery (Dom Strang),2,1,Low,Low
Male,Male,50,51,Greater than 45,Greater than 45,Other,African-American,0,1,0,0,0,0,0,0,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,25,27,25 - 45,25 - 45,African-American,African-American,1,1,6,2,1,0,14,5,F,F,arrest case no charge,arrest case no charge,10,9,High,High
Male,Male,20,21,Less than 25,Less than 25,Other,African-American,0,1,0,0,0,0,0,0,F,F,Tampering With Physical Evidence,Battery,5,5,Medium,Medium
Male,Male,22,21,Less than 25,Less than 25,African-American,African-American,1,1,0,0,0,0,2,0,F,F,Attempted Burg/struct/unocc,Felony Driving While Lic Suspd,9,9,High,Low
Female,Female,35,34,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,1,0,M,M,arrest case no charge,arrest case no charge,2,1,Low,Low
Male,Male,36,34,25 - 45,Less than 25,African-American,African-American,0,1,0,0,0,0,9,3,F,M,Deliver Cocaine,Driving While License Revoked,7,7,Medium,Medium
Male,Male,21,21,Less than 25,Less than 25,Other,African-American,0,1,0,0,0,0,1,0,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,6,5,Medium,Medium
Male,Male,25,21,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,9,3,F,F,Pos Cannabis W/Intent Sel/Del,Driving While License Revoked,8,7,High,High
Female,Female,20,21,Less than 25,Less than 25,Caucasian,African-American,0,1,0,0,0,0,0,0,F,F,"Poss3,4 Methylenedioxymethcath","Poss3,4 Methylenedioxymethcath",7,7,Medium,Medium
Male,Male,39,34,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,2,0,F,F,Possession Of Alprazolam,Possession of Cocaine,1,1,Low,Low
Female,Female,54,45,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,0,0,0,M,M,DUI Level 0.15 Or Minor In Veh,DUI Level 0.15 Or Minor In Veh,1,1,Low,Low
Male,Male,19,21,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,0,1,0,M,M,Battery,Battery,4,3,Low,Low
Male,Male,30,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,1,0,F,F,Fail To Redeliv Hire/Leas Prop,Battery,2,1,Low,Low
Female,Female,39,34,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,0,0,F,F,Aggravated Assault W/Dead Weap,Aggravated Assault W/Dead Weap,1,1,Low,Low
Male,Male,30,27,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,0,0,F,F,Possession Of Methamphetamine,Possession of Cocaine,4,3,Low,Low
Male,Male,31,27,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,0,0,M,M,Battery,Battery,5,5,Medium,Low
Female,Female,39,34,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,1,0,F,F,Possession of Morphine,Burglary Structure Unoccup,4,3,Low,Low
Male,Male,38,34,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,5,3,M,M,Possess Cannabis/20 Grams Or Less,Possess Cannabis/20 Grams Or Less,4,3,Low,Low
Male,Male,33,34,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,5,3,F,F,Poss Contr Subst W/o Prescript,Aggrav Battery w/Deadly Weapon,5,5,Medium,Low
Male,Male,37,34,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,3,0,F,F,"Poss3,4 Methylenedioxymethcath","Poss3,4 Methylenedioxymethcath",2,1,Low,Low
Male,Male,22,21,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,0,0,0,F,F,Uttering a Forged Instrument,Uttering a Forged Instrument,4,3,Low,Low
Male,Male,31,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,1,0,M,M,Battery,Battery,7,7,Medium,Medium
Female,Female,30,27,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,0,1,0,F,F,Crim Use of Personal ID Info,Burglary Structure Unoccup,2,1,Low,Low
Male,Male,31,27,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,13,5,F,F,arrest case no charge,arrest case no charge,10,9,High,High
Male,Male,33,34,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,19,7,F,M,arrest case no charge,arrest case no charge,10,9,High,Low
Female,Female,25,21,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,2,0,F,F,arrest case no charge,arrest case no charge,4,3,Low,Low
Female,Female,37,39,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,0,2,3,M,M,Petit Theft,Burglary Structure Unoccup,2,1,Low,Low
Male,Male,44,39,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,2,0,M,M,Battery,Battery,2,1,Low,Low
Male,Male,32,34,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,3,0,F,F,Possession of Cocaine,Battery on Law Enforc Officer,7,7,Medium,Medium
Male,Male,31,27,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,2,0,M,M,Resist/Obstruct W/O Violence,Possession of Cocaine,3,3,Low,Low
Male,Male,31,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,1,0,M,M,Lewdness Violation,Battery,2,1,Low,Low
Male,Male,32,34,25 - 45,Greater than 45,African-American,African-American,0,1,0,0,0,0,11,5,F,F,Poss Pyrrolidinovalerophenone,Battery,6,5,Medium,Low
Male,Male,33,34,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,8,3,M,M,Assault,Battery,5,5,Medium,Low
Female,Female,33,34,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,7,3,F,F,Possession of Cocaine,Possession of Cocaine,9,9,High,Low
Male,Male,27,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,2,0,F,F,Tampering With Physical Evidence,arrest case no charge,9,9,High,High
Female,Female,20,21,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,0,0,0,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,6,5,Medium,Low
Female,Female,26,27,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,0,0,M,M,Fail To Obey Police Officer,arrest case no charge,6,5,Medium,Medium
Female,Male,61,57,Greater than 45,Greater than 45,African-American,African-American,0,1,0,0,0,0,1,0,F,F,Solicit Purchase Cocaine,arrest case no charge,1,1,Low,Low
Male,Male,52,51,Greater than 45,Greater than 45,Other,African-American,0,1,0,0,0,0,13,15,F,F,Felony Petit Theft,Felony Petit Theft,7,7,Medium,Medium
Male,Male,63,67,Greater than 45,Greater than 45,Hispanic,African-American,0,1,0,0,0,0,1,0,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Female,Female,32,34,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,4,0,F,F,arrest case no charge,arrest case no charge,10,9,High,High
Male,Male,29,27,25 - 45,25 - 45,Hispanic,African-American,0,1,0,0,0,0,1,0,F,F,Grand Theft in the 3rd Degree,Driving While License Revoked,4,3,Low,Low
Female,Female,26,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,2,0,M,M,Driving Under The Influence,Driving Under The Influence,4,3,Low,Low
Male,Male,39,34,25 - 45,25 - 45,Caucasian,African-American,1,1,0,0,0,0,1,0,M,M,,Battery,4,3,Low,Low
Female,Female,30,27,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,3,0,F,F,Possession Of Carisoprodol,Possess Cannabis/20 Grams Or Less,7,7,Medium,Medium
Male,Male,30,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,1,0,F,F,Burglary Conveyance Assault/Bat,Battery,7,7,Medium,Medium
Male,Male,46,39,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,0,6,3,F,F,Driving While License Revoked,Driving While License Revoked,1,1,Low,Low
Male,Male,25,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,1,0,M,M,Battery,Battery,2,1,Low,Low
Male,Male,23,21,Less than 25,Less than 25,Hispanic,African-American,0,1,0,0,0,0,0,0,F,F,"Poss3,4 Methylenedioxymethcath",Battery,3,3,Low,Low
Male,Male,52,51,Greater than 45,Greater than 45,Hispanic,African-American,0,1,0,0,0,0,2,0,M,M,Leave Acc/Attend Veh/More $50,Burglary Unoccupied Dwelling,1,1,Low,Low
Male,Male,54,51,Greater than 45,Greater than 45,Hispanic,African-American,0,1,0,0,0,0,2,0,F,F,Burglary Unoccupied Dwelling,Burglary Unoccupied Dwelling,1,1,Low,Low
Male,Male,78,67,Greater than 45,Less than 25,Caucasian,African-American,0,1,0,0,0,0,1,0,M,M,Driving Under The Influence,Battery,1,1,Low,Low
Male,Male,57,57,Greater than 45,Greater than 45,Hispanic,African-American,0,1,0,0,0,0,1,0,F,F,Driving While License Revoked,Driving While License Revoked,1,1,Low,Low
Male,Male,26,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,9,3,F,F,Deliver Cocaine,Driving While License Revoked,9,9,High,High
Male,Male,23,21,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,0,0,0,F,F,Possession of Cannabis,"Poss3,4 Methylenedioxymethcath",3,3,Low,Low
Male,Male,36,34,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,0,2,3,M,M,Battery,Battery,3,3,Low,Low
Male,Male,50,45,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,0,1,0,F,F,Sexual Performance by a Child,arrest case no charge,1,1,Low,Low
Female,Female,37,34,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,0,0,M,M,Leaving Acc/Unattended Veh,Battery,3,3,Low,Low
Male,Male,44,39,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,4,0,M,F,Battery,Battery,4,3,Low,Low
Female,Female,35,34,25 - 45,25 - 45,African-American,African-American,0,1,1,0,0,0,23,15,F,F,Felony Petit Theft,Felony Petit Theft,9,9,High,High
Male,Male,24,21,Less than 25,Less than 25,Other,African-American,0,1,0,0,0,0,5,5,F,F,arrest case no charge,arrest case no charge,5,5,Medium,Medium
Male,Male,27,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,0,0,M,M,Criminal Mischief,DUI Level 0.15 Or Minor In Veh,2,1,Low,Low
Female,Male,28,27,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,7,3,F,F,Felony Petit Theft,Felony Petit Theft,9,9,High,High
Male,Male,38,34,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,2,0,F,F,Driving While License Revoked,Driving While License Revoked,1,1,Low,Low
Male,Male,56,51,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,0,7,3,F,F,Felony Driving While Lic Suspd,Felony Driving While Lic Suspd,1,1,Low,Low
Female,Female,51,45,Greater than 45,Less than 25,Caucasian,African-American,0,1,0,0,0,0,0,0,M,M,Driving Under The Influence,Battery,1,1,Low,Low
Male,Male,48,45,Greater than 45,Greater than 45,African-American,African-American,0,1,0,0,0,0,0,0,F,F,Aggravated Battery (Firearm/Actual Possession),Felony Petit Theft,1,1,Low,Low
Male,Male,37,34,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,4,0,F,F,arrest case no charge,arrest case no charge,3,3,Low,Low
Female,Female,30,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,2,0,F,M,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,7,7,Medium,Medium
Female,Female,41,39,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,5,3,M,M,Battery,Battery,6,5,Medium,Medium
Male,Male,27,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,11,5,F,F,Robbery / No Weapon,Battery,10,9,High,High
Male,Male,37,34,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,0,0,M,M,Battery,Battery,1,1,Low,Low
Male,Male,33,34,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,0,4,3,F,F,Aggravated Assault w/Firearm,arrest case no charge,4,3,Low,Low
Male,Male,23,21,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,0,2,0,F,F,Robbery / Weapon,Felony Driving While Lic Suspd,9,9,High,Low
Male,Male,41,39,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,0,0,M,M,Battery,Battery,1,1,Low,Low
Male,Male,52,45,Greater than 45,Less than 25,Caucasian,African-American,0,1,0,0,0,0,0,0,F,F,Burglary With Assault/battery,Battery,1,1,Low,Low
Male,Male,43,39,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,13,5,F,F,Driving While License Revoked,Driving While License Revoked,4,3,Low,Low
Male,Male,28,27,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,1,0,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,28,27,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,1,0,F,F,Criminal Mischief,Battery,5,5,Medium,Medium
Male,Male,22,21,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,0,0,0,F,F,Pos Cannabis W/Intent Sel/Del,Battery,4,3,Low,Low
Male,Male,30,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,4,0,F,F,Driving While License Revoked,Driving While License Revoked,2,1,Low,Low
Male,Male,31,27,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,0,0,F,F,Burglary Unoccupied Dwelling,Burglary Unoccupied Dwelling,8,7,High,High
Male,Male,37,34,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,0,0,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,2,1,Low,Low
Male,Male,32,34,25 - 45,25 - 45,African-American,African-American,0,1,1,0,0,0,14,5,F,F,Aggravated Battery / Pregnant,Aggravated Battery / Pregnant,9,9,High,Low
Male,Male,53,45,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,0,1,0,M,M,Battery,Battery,1,1,Low,Low
Male,Male,28,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,25,15,F,F,arrest case no charge,arrest case no charge,8,7,High,High
Male,Male,44,39,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,8,3,M,M,Battery,Battery,5,5,Medium,Medium
Male,Male,25,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,0,0,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,3,3,Low,Low
Male,Male,22,21,Less than 25,Less than 25,Caucasian,African-American,0,1,0,0,1,0,1,0,M,M,Voyeurism,Possession of Cocaine,8,7,High,High
Female,Female,37,39,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,0,0,0,M,M,Battery,Grand Theft in the 3rd Degree,1,1,Low,Low
Female,Female,40,39,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,0,3,3,F,F,Driving While License Revoked,Driving While License Revoked,2,1,Low,Low
Female,Female,31,27,25 - 45,25 - 45,Hispanic,African-American,0,1,0,0,0,0,0,0,M,M,Battery,Battery,2,1,Low,Low
Male,Male,23,21,Less than 25,Less than 25,Hispanic,African-American,0,1,0,0,1,0,1,0,F,F,arrest case no charge,arrest case no charge,6,5,Medium,Medium
Female,Male,23,21,Less than 25,Less than 25,Caucasian,African-American,0,1,0,0,4,0,5,3,F,F,arrest case no charge,arrest case no charge,5,5,Medium,Medium
Male,Male,20,21,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,0,1,0,F,F,Carrying Concealed Firearm,Petit Theft,8,7,High,Low
Male,Male,30,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,2,0,F,F,Carrying Concealed Firearm,Agg Battery Grt/Bod/Harm,6,5,Medium,Medium
Male,Male,39,39,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,0,0,0,F,F,Throw In Occupied Dwell,Tamper With Witness/Victim/CI,1,1,Low,Low
Female,Male,37,34,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,2,0,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,22,21,Less than 25,Less than 25,Hispanic,African-American,0,1,0,0,1,0,0,0,F,F,"Poss3,4 Methylenedioxymethcath",Criminal Mischief Damage <$200,7,7,Medium,Medium
Female,Female,52,45,Greater than 45,Greater than 45,African-American,African-American,0,1,0,0,0,0,0,0,F,F,Burglary Conveyance Unoccup,Aggrav Battery w/Deadly Weapon,1,1,Low,Low
Female,Female,23,21,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,0,0,0,F,F,Carrying Concealed Firearm,Burglary Structure Unoccup,4,3,Low,Low
Female,Female,48,45,Greater than 45,Greater than 45,African-American,African-American,0,1,0,0,0,0,0,0,F,F,Aggravated Assault W/Dead Weap,Aggravated Assault W/Dead Weap,2,1,Low,Low
Male,Male,27,27,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,0,0,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,6,5,Medium,Medium
Female,Female,22,21,Less than 25,Less than 25,Caucasian,African-American,0,1,0,0,0,0,1,0,F,F,Pos Cannabis W/Intent Sel/Del,Grand Theft in the 3rd Degree,3,3,Low,Low
Female,Female,41,39,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,2,0,M,M,Battery on Law Enforc Officer,"Poss3,4 Methylenedioxymethcath",3,3,Low,Low
Male,Male,43,39,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,0,0,F,F,Felony Battery (Dom Strang),Felony Battery (Dom Strang),1,1,Low,Low
Male,Male,37,34,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,3,0,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,70,67,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,0,1,0,M,M,Battery,Battery,1,1,Low,Low
Male,Male,46,39,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,0,3,0,F,F,arrest case no charge,arrest case no charge,4,3,Low,Low
Male,Male,21,21,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,0,0,0,M,M,Petit Theft,Petit Theft,9,9,High,Low
Male,Male,38,39,25 - 45,25 - 45,Hispanic,African-American,0,1,0,0,0,0,3,0,F,F,Crim Use of Personal ID Info,Pos Cannabis W/Intent Sel/Del,1,1,Low,Low
Male,Male,34,34,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,5,3,M,F,Battery,Battery,4,3,Low,Low
Male,Male,34,34,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,5,3,M,M,Driving License Suspended,Aggrav Battery w/Deadly Weapon,4,3,Low,Low
Male,Male,23,21,Less than 25,Less than 25,Caucasian,African-American,0,1,0,0,0,0,0,0,F,F,Aggravated Assault W/Dead Weap,Aggravated Assault W/Dead Weap,5,5,Medium,High
