Feature A (i)	Feature A (i)-noRandom_Feature	Feature B (2i)	Feature B (2i)-noRandom_Feature	Feature C (-i)	Feature C (-i)-noRandom_Feature	Constant Feature	Constant Feature-noRandom_Feature	Random Feature	Random Feature-noRandom_Feature	Outcome	Outcome-noRandom_Feature
166	172	332	344	-166	-180	1	1	0.48687563784850674	0.40683512717298975	A	A
167	172	334	344	-167	-180	1	1	0.44445852567547495	0.40683512717298975	A	A
168	172	336	344	-168	-180	1	1	0.8907188245124945	0.40683512717298975	A	A
169	172	338	344	-169	-180	1	1	0.3061689856984916	0.40683512717298975	A	A
170	172	340	344	-170	-180	1	1	0.8798434225240414	0.40683512717298975	A	A
171	242	342	484	-171	-259	1	1	0.0745435733204598	0.40683512717298975	A	A
174	242	348	484	-174	-259	1	1	0.3830656923488178	0.40683512717298975	A	A
175	242	350	484	-175	-259	1	1	0.9920349123789985	0.40683512717298975	A	A
177	107	354	214	-177	-125	1	1	0.9851696042005833	0.40683512717298975	A	A
179	242	358	484	-179	-259	1	1	0.2919342053637328	0.40683512717298975	A	A
180	172	360	344	-180	-180	1	1	0.17815154104628128	0.40683512717298975	A	A
181	107	362	214	-181	-125	1	1	0.8538597292457968	0.40683512717298975	A	A
183	172	366	344	-183	-180	1	1	0.4790305279039493	0.40683512717298975	A	A
184	172	368	344	-184	-180	1	1	0.7147776404233779	0.40683512717298975	A	A
185	242	370	484	-185	-259	1	1	0.8017489925271069	0.40683512717298975	A	A
186	172	372	344	-186	-180	1	1	0.011498010784058432	0.40683512717298975	A	A
187	107	374	214	-187	-125	1	1	0.8371325712700731	0.40683512717298975	A	A
189	242	378	484	-189	-259	1	1	0.5492034535373715	0.40683512717298975	A	A
190	242	380	484	-190	-259	1	1	0.7308845633079191	0.40683512717298975	A	A
191	242	382	484	-191	-259	1	1	0.10921191130855845	0.40683512717298975	A	A
192	242	384	484	-192	-259	1	1	0.9234830037894185	0.40683512717298975	A	A
195	242	390	484	-195	-259	1	1	0.368353272569945	0.40683512717298975	A	A
196	107	392	214	-196	-125	1	1	0.8724991015739577	0.40683512717298975	A	A
197	242	394	484	-197	-259	1	1	0.2922377569551684	0.40683512717298975	A	A
199	107	398	214	-199	-125	1	1	0.5248936171304759	0.40683512717298975	A	A
200	242	400	484	-200	-259	1	1	0.3060569653180567	0.40683512717298975	A	A
201	107	402	214	-201	-125	1	1	0.26199665297179386	0.40683512717298975	A	A
202	242	404	484	-202	-259	1	1	0.47169304505146326	0.40683512717298975	A	A
203	242	406	484	-203	-259	1	1	0.1902830388180744	0.40683512717298975	A	A
204	242	408	484	-204	-259	1	1	0.9093441924168961	0.40683512717298975	A	A
205	242	410	484	-205	-259	1	1	0.7320098361501537	0.40683512717298975	A	A
207	242	414	484	-207	-259	1	1	0.5854106508314816	0.40683512717298975	A	A
208	242	416	484	-208	-259	1	1	0.3262330582153067	0.40683512717298975	A	A
209	107	418	214	-209	-125	1	1	0.510516524939833	0.40683512717298975	A	A
210	172	420	344	-210	-180	1	1	0.5126369798472399	0.40683512717298975	A	A
211	107	422	214	-211	-125	1	1	0.855642868013121	0.40683512717298975	A	A
212	339	424	678	-212	-346	1	1	0.31246113422227684	0.40683512717298975	A	A
213	172	426	344	-213	-180	1	1	0.8445645520264801	0.40683512717298975	A	A
214	242	428	484	-214	-259	1	1	0.4516985791113336	0.40683512717298975	A	A
215	107	430	214	-215	-125	1	1	0.22973536766060942	0.40683512717298975	A	A
220	242	440	484	-220	-259	1	1	0.9231317027545626	0.40683512717298975	A	A
222	339	444	678	-222	-346	1	1	0.743066243381264	0.40683512717298975	A	A
224	172	448	344	-224	-180	1	1	0.8476455748949766	0.40683512717298975	A	A
225	242	450	484	-225	-259	1	1	0.7932621032872628	0.40683512717298975	A	A
226	107	452	214	-226	-125	1	1	0.23826111084097823	0.40683512717298975	A	A
227	172	454	344	-227	-180	1	1	0.5115687808399548	0.40683512717298975	A	A
229	339	458	678	-229	-346	1	1	0.3279480873617552	0.40683512717298975	A	A
230	242	460	484	-230	-259	1	1	0.6259314303093111	0.40683512717298975	A	A
231	242	462	484	-231	-259	1	1	0.8971980029870462	0.40683512717298975	A	A
232	339	464	678	-232	-346	1	1	0.9908711908535485	0.40683512717298975	A	A
233	339	466	678	-233	-346	1	1	0.7584237246845656	0.40683512717298975	A	A
234	172	468	344	-234	-180	1	1	0.8237125253110059	0.40683512717298975	A	A
235	339	470	678	-235	-346	1	1	0.7584120604450391	0.40683512717298975	A	A
236	172	472	344	-236	-180	1	1	0.9575466519742649	0.40683512717298975	A	A
237	172	474	344	-237	-180	1	1	0.4113756427780252	0.40683512717298975	A	A
238	172	476	344	-238	-180	1	1	0.9612472393298356	0.40683512717298975	A	A
240	339	480	678	-240	-346	1	1	0.2764494259327396	0.40683512717298975	A	A
241	242	482	484	-241	-259	1	1	0.938353865972726	0.40683512717298975	A	A
242	242	484	484	-242	-259	1	1	0.6124703511727232	0.40683512717298975	A	A
244	339	488	678	-244	-346	1	1	0.5701127403098096	0.40683512717298975	A	A
245	242	490	484	-245	-259	1	1	0.16751459145622916	0.40683512717298975	A	A
249	242	498	484	-249	-259	1	1	0.9493041759216881	0.40683512717298975	A	A
251	408	502	816	-251	-419	1	1	0.9911899563397208	0.40683512717298975	A	A
252	242	504	484	-252	-259	1	1	0.8316434202957592	0.40683512717298975	A	A
254	339	508	678	-254	-346	1	1	0.5503637737372428	0.40683512717298975	A	A
255	242	510	484	-255	-259	1	1	0.9379948550290127	0.40683512717298975	A	A
256	339	512	678	-256	-346	1	1	0.304195182608067	0.40683512717298975	A	A
257	242	514	484	-257	-259	1	1	0.6041084664351004	0.40683512717298975	A	A
258	242	516	484	-258	-259	1	1	0.8429299266418653	0.40683512717298975	A	A
259	242	518	484	-259	-259	1	1	0.08317559390365592	0.40683512717298975	A	A
260	242	520	484	-260	-259	1	1	0.44232886396111537	0.40683512717298975	A	A
266	242	532	484	-266	-259	1	1	0.10830619248453244	0.40683512717298975	A	A
267	408	534	816	-267	-419	1	1	0.2849481034476822	0.40683512717298975	A	A
268	339	536	678	-268	-346	1	1	0.9421824520090991	0.40683512717298975	A	A
269	408	538	816	-269	-419	1	1	0.32528102413436866	0.40683512717298975	A	A
271	242	542	484	-271	-259	1	1	0.19006142689484962	0.40683512717298975	A	A
273	242	546	484	-273	-259	1	1	0.1804109096654538	0.40683512717298975	A	A
274	172	548	344	-274	-180	1	1	0.11257032597186623	0.40683512717298975	A	A
276	339	552	678	-276	-346	1	1	0.9777169062368408	0.40683512717298975	A	A
278	172	556	344	-278	-180	1	1	0.13597021502270445	0.40683512717298975	A	A
281	172	562	344	-281	-180	1	1	0.6771155863562527	0.40683512717298975	A	A
282	339	564	678	-282	-346	1	1	0.8813731959095698	0.40683512717298975	A	A
283	172	566	344	-283	-180	1	1	0.5462389635950663	0.40683512717298975	A	A
284	242	568	484	-284	-259	1	1	0.3746240959849827	0.40683512717298975	A	A
285	339	570	678	-285	-346	1	1	0.38273465364445847	0.40683512717298975	A	A
287	339	574	678	-287	-346	1	1	0.7221678025804639	0.40683512717298975	A	A
288	172	576	344	-288	-180	1	1	0.39451644860589097	0.40683512717298975	A	A
289	172	578	344	-289	-180	1	1	0.6956345046795808	0.40683512717298975	A	A
295	408	590	816	-295	-419	1	1	0.7309991588805963	0.40683512717298975	A	A
296	408	592	816	-296	-419	1	1	0.751624247387987	0.40683512717298975	A	A
297	339	594	678	-297	-346	1	1	0.8957926671717115	0.40683512717298975	A	A
301	242	602	484	-301	-259	1	1	0.678621897564474	0.40683512717298975	A	A
302	339	604	678	-302	-346	1	1	0.8445248735248361	0.40683512717298975	A	A
304	242	608	484	-304	-259	1	1	0.4354048305112247	0.40683512717298975	A	A
307	242	614	484	-307	-259	1	1	0.44452759464861724	0.40683512717298975	A	A
308	474	616	948	-308	-479	1	1	0.29044071739397614	0.40683512717298975	A	A
309	172	618	344	-309	-180	1	1	0.23874750145564017	0.40683512717298975	A	A
310	339	620	678	-310	-346	1	1	0.3791777074689626	0.40683512717298975	A	A
311	242	622	484	-311	-259	1	1	0.6689599395406561	0.40683512717298975	A	A
312	242	624	484	-312	-259	1	1	0.11640682191707508	0.40683512717298975	A	A
314	408	628	816	-314	-419	1	1	0.9680983063246806	0.40683512717298975	A	A
315	172	630	344	-315	-180	1	1	0.012781374179177019	0.40683512717298975	A	A
316	242	632	484	-316	-259	1	1	0.394203477821936	0.40683512717298975	A	A
317	172	634	344	-317	-180	1	1	0.2716687561530514	0.40683512717298975	A	A
318	408	636	816	-318	-419	1	1	0.982356478691016	0.40683512717298975	A	A
319	339	638	678	-319	-346	1	1	0.6218164244319097	0.40683512717298975	A	A
323	339	646	678	-323	-346	1	1	0.894204299513141	0.40683512717298975	A	A
324	474	648	948	-324	-479	1	1	0.29936365179074487	0.40683512717298975	A	A
325	339	650	678	-325	-346	1	1	0.6191946502475879	0.40683512717298975	A	A
326	242	652	484	-326	-259	1	1	0.03690349437327689	0.40683512717298975	A	A
327	242	654	484	-327	-259	1	1	0.013631094690395917	0.40683512717298975	A	A
328	172	656	344	-328	-180	1	1	0.23767222590019765	0.40683512717298975	A	A
329	408	658	816	-329	-419	1	1	0.5612583125587796	0.40683512717298975	A	A
331	408	662	816	-331	-419	1	1	0.7384855172912195	0.40683512717298975	A	A
332	242	664	484	-332	-259	1	1	0.6711491342736402	0.40683512717298975	A	A
334	339	668	678	-334	-346	1	1	0.7723776452809665	0.40683512717298975	A	A
335	408	670	816	-335	-419	1	1	0.5591999188833854	0.40683512717298975	A	A
336	242	672	484	-336	-259	1	1	0.16350656450403	0.40683512717298975	A	A
337	242	674	484	-337	-259	1	1	0.54553276576695	0.40683512717298975	A	A
338	408	676	816	-338	-419	1	1	0.9469766201838017	0.40683512717298975	A	A
339	339	678	678	-339	-346	1	1	0.7743384898720793	0.40683512717298975	A	A
341	339	682	678	-341	-346	1	1	0.4676774791530549	0.40683512717298975	A	A
342	408	684	816	-342	-419	1	1	0.38318136964683136	0.40683512717298975	A	A
343	474	686	948	-343	-479	1	1	0.5590817017998385	0.40683512717298975	A	A
344	339	688	678	-344	-346	1	1	0.44629035622831603	0.40683512717298975	A	A
345	339	690	678	-345	-346	1	1	0.6480063183173667	0.40683512717298975	A	A
346	339	692	678	-346	-346	1	1	0.815148612887458	0.40683512717298975	A	A
349	474	698	948	-349	-479	1	1	0.7263800352756986	0.40683512717298975	A	A
352	339	704	678	-352	-346	1	1	0.40752477742041615	0.40683512717298975	A	A
353	339	706	678	-353	-346	1	1	0.10496952066073251	0.40683512717298975	A	A
354	242	708	484	-354	-259	1	1	0.5420479648617993	0.40683512717298975	A	A
355	242	710	484	-355	-259	1	1	0.03444345273883331	0.40683512717298975	A	A
356	242	712	484	-356	-259	1	1	0.5019387836693746	0.40683512717298975	A	A
358	242	716	484	-358	-259	1	1	0.1606913529373336	0.40683512717298975	A	A
361	474	722	948	-361	-479	1	1	0.7248533491587095	0.40683512717298975	A	A
362	339	724	678	-362	-346	1	1	0.4449149795727033	0.40683512717298975	A	A
363	474	726	948	-363	-479	1	1	0.7439371159842326	0.40683512717298975	A	A
364	547	728	1094	-364	-567	1	1	0.32026569031615437	0.40683512717298975	A	A
365	408	730	816	-365	-419	1	1	0.3694185732602101	0.40683512717298975	A	A
366	339	732	678	-366	-346	1	1	0.7883088102180945	0.40683512717298975	A	A
367	242	734	484	-367	-259	1	1	0.009431753548861166	0.40683512717298975	A	A
368	172	736	344	-368	-180	1	1	0.2569330702828112	0.40683512717298975	A	A
370	408	740	816	-370	-419	1	1	0.9240869149846782	0.40683512717298975	A	A
371	547	742	1094	-371	-567	1	1	0.2989157114516917	0.40683512717298975	A	A
373	339	746	678	-373	-346	1	1	0.6130334048993574	0.40683512717298975	A	A
374	616	748	1232	-374	-634	1	1	0.27561248698508045	0.40683512717298975	A	A
375	242	750	484	-375	-259	1	1	0.2709332579101378	0.40683512717298975	A	A
376	547	752	1094	-376	-567	1	1	0.7325924887022567	0.40683512717298975	A	A
377	339	754	678	-377	-346	1	1	0.678657414669274	0.40683512717298975	A	A
378	408	756	816	-378	-419	1	1	0.7890655754445042	0.40683512717298975	A	A
379	474	758	948	-379	-479	1	1	0.9768988801162586	0.40683512717298975	A	A
380	474	760	948	-380	-479	1	1	0.9472071687964871	0.40683512717298975	A	A
382	408	764	816	-382	-419	1	1	0.8207048737119446	0.40683512717298975	A	A
383	474	766	948	-383	-479	1	1	0.5903819938969364	0.40683512717298975	A	A
384	547	768	1094	-384	-567	1	1	0.7634237045485027	0.40683512717298975	A	A
385	408	770	816	-385	-419	1	1	0.37516038885827363	0.40683512717298975	A	A
386	339	772	678	-386	-346	1	1	0.834891335025827	0.40683512717298975	A	A
388	408	776	816	-388	-419	1	1	0.8535755010247054	0.40683512717298975	A	A
389	339	778	678	-389	-346	1	1	0.5018566589612492	0.40683512717298975	A	A
390	408	780	816	-390	-419	1	1	0.8419524347923883	0.40683512717298975	A	A
391	408	782	816	-391	-419	1	1	0.8299202942173313	0.40683512717298975	A	A
395	408	790	816	-395	-419	1	1	0.6267238074438565	0.40683512717298975	A	A
396	408	792	816	-396	-419	1	1	0.16492553218706107	0.40683512717298975	A	A
397	242	794	484	-397	-259	1	1	0.22107135132537903	0.40683512717298975	A	A
400	616	800	1232	-400	-634	1	1	0.7185972171257222	0.40683512717298975	A	A
402	339	804	678	-402	-346	1	1	0.5074926719327431	0.40683512717298975	A	A
403	339	806	678	-403	-346	1	1	0.023153673121733442	0.40683512717298975	A	A
404	408	808	816	-404	-419	1	1	0.8037410046819706	0.40683512717298975	A	A
406	339	812	678	-406	-346	1	1	0.03982515835776257	0.40683512717298975	A	A
407	339	814	678	-407	-346	1	1	0.431160810420833	0.40683512717298975	A	A
408	408	816	816	-408	-419	1	1	0.9268482330062446	0.40683512717298975	A	A
409	408	818	816	-409	-419	1	1	0.4778728315800652	0.40683512717298975	A	A
410	408	820	816	-410	-419	1	1	0.3485024391686822	0.40683512717298975	A	A
413	408	826	816	-413	-419	1	1	0.17540967161125165	0.40683512717298975	A	A
416	242	832	484	-416	-259	1	1	0.1528358092022869	0.40683512717298975	A	A
417	474	834	948	-417	-479	1	1	0.952849313046448	0.40683512717298975	A	A
418	408	836	816	-418	-419	1	1	0.6426489537716861	0.40683512717298975	A	A
419	408	838	816	-419	-419	1	1	0.9036166532384952	0.40683512717298975	A	A
421	616	842	1232	-421	-634	1	1	0.3100316077774148	0.40683512717298975	A	A
422	408	844	816	-422	-419	1	1	0.45421835131292554	0.40683512717298975	A	A
423	339	846	678	-423	-346	1	1	0.5346249499903778	0.40683512717298975	A	A
424	408	848	816	-424	-419	1	1	0.20761927554937865	0.40683512717298975	A	A
425	474	850	948	-425	-479	1	1	0.5561610000270887	0.40683512717298975	A	A
426	474	852	948	-426	-479	1	1	0.9851583240203498	0.40683512717298975	A	A
428	616	856	1232	-428	-634	1	1	0.7502392296509925	0.40683512717298975	A	A
429	547	858	1094	-429	-567	1	1	0.9552656214467534	0.40683512717298975	A	A
430	474	860	948	-430	-479	1	1	0.3503350747657311	0.40683512717298975	A	A
432	339	864	678	-432	-346	1	1	0.009732910446077048	0.40683512717298975	A	A
434	474	868	948	-434	-479	1	1	0.8136430768106707	0.40683512717298975	A	A
435	242	870	484	-435	-259	1	1	0.25992037883502095	0.40683512717298975	A	A
440	474	880	948	-440	-479	1	1	0.8062564737325466	0.40683512717298975	A	A
441	408	882	816	-441	-419	1	1	0.4250216874909256	0.40683512717298975	A	A
443	474	886	948	-443	-479	1	1	0.7840590074854497	0.40683512717298975	A	A
446	616	892	1232	-446	-634	1	1	0.31679581611559915	0.40683512717298975	A	A
447	408	894	816	-447	-419	1	1	0.3900941042163707	0.40683512717298975	A	A
448	408	896	816	-448	-419	1	1	0.3833812594048591	0.40683512717298975	A	A
449	474	898	948	-449	-479	1	1	0.33145150487008557	0.40683512717298975	A	A
451	339	902	678	-451	-346	1	1	0.6900448584468925	0.40683512717298975	A	A
452	547	904	1094	-452	-567	1	1	0.9512721208523415	0.40683512717298975	A	A
453	408	906	816	-453	-419	1	1	0.39516903429714223	0.40683512717298975	A	A
454	408	908	816	-454	-419	1	1	0.0389263465584716	0.40683512717298975	A	A
455	408	910	816	-455	-419	1	1	0.07106882344906051	0.40683512717298975	A	A
456	689	912	1378	-456	-693	1	1	0.2996797103160549	0.40683512717298975	A	A
457	408	914	816	-457	-419	1	1	0.8249614345925032	0.40683512717298975	A	A
458	408	916	816	-458	-419	1	1	0.1899474468909772	0.40683512717298975	A	A
459	474	918	948	-459	-479	1	1	0.07771418984655731	0.40683512717298975	A	A
461	474	922	948	-461	-479	1	1	0.4499290343572615	0.40683512717298975	A	A
462	474	924	948	-462	-479	1	1	0.924962341235342	0.40683512717298975	A	A
463	474	926	948	-463	-479	1	1	0.0612500986114628	0.40683512717298975	A	A
468	474	936	948	-468	-479	1	1	0.6320419259309551	0.40683512717298975	A	A
469	616	938	1232	-469	-634	1	1	0.7205731002761605	0.40683512717298975	A	A
471	547	942	1094	-471	-567	1	1	0.5898053222234434	0.40683512717298975	A	A
472	474	944	948	-472	-479	1	1	0.8910701817005761	0.40683512717298975	A	A
474	474	948	948	-474	-479	1	1	0.4303517072854365	0.40683512717298975	A	A
475	339	950	678	-475	-346	1	1	0.6823065203912035	0.40683512717298975	A	A
476	547	952	1094	-476	-567	1	1	0.9543852723607621	0.40683512717298975	A	A
477	474	954	948	-477	-479	1	1	0.8632755345077058	0.40683512717298975	A	A
478	474	956	948	-478	-479	1	1	0.0764677232812021	0.40683512717298975	A	A
479	474	958	948	-479	-479	1	1	0.3544980651228179	0.40683512717298975	A	A
480	547	960	1094	-480	-567	1	1	0.5593498357898485	0.40683512717298975	A	A
481	547	962	1094	-481	-567	1	1	0.9789209221281394	0.40683512717298975	A	A
482	547	964	1094	-482	-567	1	1	0.06140087961272889	0.40683512717298975	A	A
484	474	968	948	-484	-479	1	1	0.17371535718610254	0.40683512717298975	A	A
485	339	970	678	-485	-346	1	1	0.16032435665697564	0.40683512717298975	A	A
488	408	976	816	-488	-419	1	1	0.1517002214555101	0.40683512717298975	A	A
489	547	978	1094	-489	-567	1	1	0.5969715985027864	0.40683512717298975	A	A
490	474	980	948	-490	-479	1	1	0.4208080615948371	0.40683512717298975	A	A
491	547	982	1094	-491	-567	1	1	0.8172100839411818	0.40683512717298975	A	A
493	689	986	1378	-493	-693	1	1	0.7545530318165024	0.40683512717298975	A	A
494	616	988	1232	-494	-634	1	1	0.9509054252239306	0.40683512717298975	A	A
495	339	990	678	-495	-346	1	1	0.5353236586329564	0.40683512717298975	A	A
498	339	996	678	-498	-346	1	1	0.2460840155670766	0.40683512717298975	A	A
499	474	998	948	-499	-479	1	1	0.20833379708727728	0.40683512717298975	A	A
502	408	1004	816	-502	-419	1	1	0.03006498819985337	0.40683512717298975	A	A
503	474	1006	948	-503	-479	1	1	0.6131987069751813	0.40683512717298975	A	A
