Feature A (i)	Feature A (i)-noFeature_B_(2i)	Feature B (2i)	Feature B (2i)-noFeature_B_(2i)	Feature C (-i)	Feature C (-i)-noFeature_B_(2i)	Constant Feature	Constant Feature-noFeature_B_(2i)	Random Feature	Random Feature-noFeature_B_(2i)	Outcome	Outcome-noFeature_B_(2i)
154	3125	308	9574	-154	-3125	1	1	0.328939054410314	0.30887378737929305	A	A
156	3125	312	9574	-156	-3125	1	1	0.41848078614115325	0.41436990175995514	A	A
157	3130	314	9574	-157	-3131	1	1	0.9756041135596359	0.9708335991200716	A	A
158	3130	316	9574	-158	-3131	1	1	0.35344865233845213	0.33085674641798635	A	A
160	3130	320	9574	-160	-3131	1	1	0.5547361732143491	0.5184576116122209	A	A
161	3130	322	9574	-161	-3131	1	1	0.0891336921094471	0.08139052448728146	A	A
162	3130	324	9574	-162	-3131	1	1	0.4086551213893691	0.3994271172644791	A	A
163	3136	326	9574	-163	-3137	1	1	0.25029279515328706	0.20479149534265284	A	A
166	3136	332	9574	-166	-3137	1	1	0.48687563784850674	0.4686479736942557	A	A
167	3136	334	9574	-167	-3137	1	1	0.44445852567547495	0.43084017934406293	A	A
168	3142	336	9574	-168	-3143	1	1	0.8907188245124945	0.8659373859054671	A	A
169	3142	338	9574	-169	-3143	1	1	0.3061689856984916	0.2705870793149804	A	A
170	3142	340	9574	-170	-3143	1	1	0.8798434225240414	0.8483288367488273	A	A
171	3142	342	9574	-171	-3143	1	1	0.0745435733204598	0.06575410935862658	A	A
174	3148	348	9574	-174	-3148	1	1	0.3830656923488178	0.36326959483172827	A	A
175	3148	350	9574	-175	-3148	1	1	0.9920349123789985	0.9867277963524416	A	A
177	3148	354	9574	-177	-3148	1	1	0.9851696042005833	0.9708335991200716	A	A
179	3148	358	9574	-179	-3148	1	1	0.2919342053637328	0.23139716590926385	A	A
180	3153	360	9574	-180	-3154	1	1	0.17815154104628128	0.1556084896784825	A	A
181	3153	362	9574	-181	-3154	1	1	0.8538597292457968	0.836604570279811	A	A
183	3153	366	9574	-183	-3154	1	1	0.4790305279039493	0.45443658440763757	A	A
184	3153	368	9574	-184	-3154	1	1	0.7147776404233779	0.6676345312549455	A	A
185	3153	370	9574	-185	-3154	1	1	0.8017489925271069	0.7752105467541478	A	A
186	3159	372	9574	-186	-3160	1	1	0.011498010784058432	0.009431753548861166	A	A
187	3159	374	9574	-187	-3160	1	1	0.8371325712700731	0.81093086149687	A	A
189	3159	378	9574	-189	-3160	1	1	0.5492034535373715	0.5057843245177359	A	A
190	3159	380	9574	-190	-3160	1	1	0.7308845633079191	0.6865687000926515	A	A
191	3159	382	9574	-191	-3160	1	1	0.10921191130855845	0.09584927697217083	A	A
192	3165	384	9574	-192	-3166	1	1	0.9234830037894185	0.897897211542344	A	A
195	3165	390	9574	-195	-3166	1	1	0.368353272569945	0.34394625120281785	A	A
196	3165	392	9574	-196	-3166	1	1	0.8724991015739577	0.8483288367488273	A	A
197	3171	394	9574	-197	-3172	1	1	0.2922377569551684	0.23139716590926385	A	A
199	3171	398	9574	-199	-3172	1	1	0.5248936171304759	0.4863973973956013	A	A
200	3171	400	9574	-200	-3172	1	1	0.3060569653180567	0.2556376638625464	A	A
201	3171	402	9574	-201	-3172	1	1	0.26199665297179386	0.2200783515824032	A	A
202	3171	404	9574	-202	-3172	1	1	0.47169304505146326	0.45443658440763757	A	A
203	3177	406	9574	-203	-3177	1	1	0.1902830388180744	0.17573684250755928	A	A
204	3177	408	9574	-204	-3177	1	1	0.9093441924168961	0.897897211542344	A	A
205	3177	410	9574	-205	-3177	1	1	0.7320098361501537	0.7124266951977283	A	A
207	3177	414	9574	-207	-3177	1	1	0.5854106508314816	0.5287072142744291	A	A
208	3177	416	9574	-208	-3177	1	1	0.3262330582153067	0.29312155847436416	A	A
209	3182	418	9574	-209	-3183	1	1	0.510516524939833	0.4686479736942557	A	A
210	3182	420	9574	-210	-3183	1	1	0.5126369798472399	0.4863973973956013	A	A
211	3182	422	9574	-211	-3183	1	1	0.855642868013121	0.836604570279811	A	A
212	3182	424	9574	-212	-3183	1	1	0.31246113422227684	0.2705870793149804	A	A
213	3182	426	9574	-213	-3183	1	1	0.8445645520264801	0.81093086149687	A	A
214	3182	428	9574	-214	-3183	1	1	0.4516985791113336	0.43084017934406293	A	A
215	3188	430	9574	-215	-3189	1	1	0.22973536766060942	0.18991284810616926	A	A
220	3188	440	9574	-220	-3189	1	1	0.9231317027545626	0.897897211542344	A	A
222	3194	444	9574	-222	-3195	1	1	0.743066243381264	0.7124266951977283	A	A
224	3194	448	9574	-224	-3195	1	1	0.8476455748949766	0.836604570279811	A	A
225	3194	450	9574	-225	-3195	1	1	0.7932621032872628	0.7650504588350444	A	A
226	3200	452	9574	-226	-3201	1	1	0.23826111084097823	0.20479149534265284	A	A
227	3200	454	9574	-227	-3201	1	1	0.5115687808399548	0.4863973973956013	A	A
229	3200	458	9574	-229	-3201	1	1	0.3279480873617552	0.29312155847436416	A	A
230	3200	460	9574	-230	-3201	1	1	0.6259314303093111	0.5970130310756897	A	A
231	3200	462	9574	-231	-3201	1	1	0.8971980029870462	0.8844562399641169	A	A
232	3206	464	9574	-232	-3206	1	1	0.9908711908535485	0.9867277963524416	A	A
233	3206	466	9574	-233	-3206	1	1	0.7584237246845656	0.7248533491587095	A	A
234	3206	468	9574	-234	-3206	1	1	0.8237125253110059	0.7978402972390728	A	A
235	3206	470	9574	-235	-3206	1	1	0.7584120604450391	0.7248533491587095	A	A
236	3206	472	9574	-236	-3206	1	1	0.9575466519742649	0.9556519694980462	A	A
237	3206	474	9574	-237	-3206	1	1	0.4113756427780252	0.3994271172644791	A	A
238	3211	476	9574	-238	-3212	1	1	0.9612472393298356	0.9556519694980462	A	A
240	3211	480	9574	-240	-3212	1	1	0.2764494259327396	0.2200783515824032	A	A
241	3211	482	9574	-241	-3212	1	1	0.938353865972726	0.9155804834289545	A	A
242	3211	484	9574	-242	-3212	1	1	0.6124703511727232	0.5738128596868537	A	A
244	3217	488	9574	-244	-3218	1	1	0.5701127403098096	0.5184576116122209	A	A
245	3217	490	9574	-245	-3218	1	1	0.16751459145622916	0.14001508031831478	A	A
249	3217	498	9574	-249	-3218	1	1	0.9493041759216881	0.9358892092224953	A	A
251	3223	502	9574	-251	-3224	1	1	0.9911899563397208	0.9867277963524416	A	A
252	3223	504	9574	-252	-3224	1	1	0.8316434202957592	0.7978402972390728	A	A
254	3223	508	9574	-254	-3224	1	1	0.5503637737372428	0.5184576116122209	A	A
255	3223	510	9574	-255	-3224	1	1	0.9379948550290127	0.9155804834289545	A	A
256	3229	512	9574	-256	-3230	1	1	0.304195182608067	0.2556376638625464	A	A
257	3229	514	9574	-257	-3230	1	1	0.6041084664351004	0.5603876811308924	A	A
258	3229	516	9574	-258	-3230	1	1	0.8429299266418653	0.81093086149687	A	A
259	3229	518	9574	-259	-3230	1	1	0.08317559390365592	0.06575410935862658	A	A
260	3229	520	9574	-260	-3230	1	1	0.44232886396111537	0.43084017934406293	A	A
266	3235	532	9574	-266	-3235	1	1	0.10830619248453244	0.09584927697217083	A	A
267	3240	534	9574	-267	-3241	1	1	0.2849481034476822	0.23139716590926385	A	A
268	3240	536	9574	-268	-3241	1	1	0.9421824520090991	0.9358892092224953	A	A
269	3240	538	9574	-269	-3241	1	1	0.32528102413436866	0.29312155847436416	A	A
271	3240	542	9574	-271	-3241	1	1	0.19006142689484962	0.17573684250755928	A	A
273	3246	546	9574	-273	-3247	1	1	0.1804109096654538	0.1556084896784825	A	A
274	3246	548	9574	-274	-3247	1	1	0.11257032597186623	0.09584927697217083	A	A
276	3246	552	9574	-276	-3247	1	1	0.9777169062368408	0.9708335991200716	A	A
278	3246	556	9574	-278	-3247	1	1	0.13597021502270445	0.11766008071769851	A	A
281	3252	562	9574	-281	-3253	1	1	0.6771155863562527	0.6403485791625139	A	A
282	3252	564	9574	-282	-3253	1	1	0.8813731959095698	0.8483288367488273	A	A
283	3252	566	9574	-283	-3253	1	1	0.5462389635950663	0.5057843245177359	A	A
284	3252	568	9574	-284	-3253	1	1	0.3746240959849827	0.34394625120281785	A	A
285	3258	570	9574	-285	-3258	1	1	0.38273465364445847	0.36326959483172827	A	A
287	3258	574	9574	-287	-3258	1	1	0.7221678025804639	0.6676345312549455	A	A
288	3258	576	9574	-288	-3258	1	1	0.39451644860589097	0.3838453928986345	A	A
289	3258	578	9574	-289	-3258	1	1	0.6956345046795808	0.6567225731105883	A	A
295	3263	590	9574	-295	-3264	1	1	0.7309991588805963	0.6865687000926515	A	A
296	3269	592	9574	-296	-3270	1	1	0.751624247387987	0.7248533491587095	A	A
297	3269	594	9574	-297	-3270	1	1	0.8957926671717115	0.8844562399641169	A	A
301	3269	602	9574	-301	-3270	1	1	0.678621897564474	0.6403485791625139	A	A
302	3275	604	9574	-302	-3276	1	1	0.8445248735248361	0.81093086149687	A	A
304	3275	608	9574	-304	-3276	1	1	0.4354048305112247	0.41436990175995514	A	A
307	3275	614	9574	-307	-3276	1	1	0.44452759464861724	0.43084017934406293	A	A
308	3281	616	9574	-308	-3282	1	1	0.29044071739397614	0.23139716590926385	A	A
309	3281	618	9574	-309	-3282	1	1	0.23874750145564017	0.20479149534265284	A	A
310	3281	620	9574	-310	-3282	1	1	0.3791777074689626	0.36326959483172827	A	A
311	3281	622	9574	-311	-3282	1	1	0.6689599395406561	0.6403485791625139	A	A
312	3281	624	9574	-312	-3282	1	1	0.11640682191707508	0.09584927697217083	A	A
314	3287	628	9574	-314	-3287	1	1	0.9680983063246806	0.9708335991200716	A	A
315	3287	630	9574	-315	-3287	1	1	0.012781374179177019	0.02540337192260267	A	A
316	3287	632	9574	-316	-3287	1	1	0.394203477821936	0.3838453928986345	A	A
317	3287	634	9574	-317	-3287	1	1	0.2716687561530514	0.2200783515824032	A	A
318	3287	636	9574	-318	-3287	1	1	0.982356478691016	0.9708335991200716	A	A
319	3292	638	9574	-319	-3293	1	1	0.6218164244319097	0.5738128596868537	A	A
323	3292	646	9574	-323	-3293	1	1	0.894204299513141	0.8659373859054671	A	A
324	3292	648	9574	-324	-3293	1	1	0.29936365179074487	0.2556376638625464	A	A
325	3298	650	9574	-325	-3299	1	1	0.6191946502475879	0.5738128596868537	A	A
326	3298	652	9574	-326	-3299	1	1	0.03690349437327689	0.02540337192260267	A	A
327	3298	654	9574	-327	-3299	1	1	0.013631094690395917	0.02540337192260267	A	A
328	3298	656	9574	-328	-3299	1	1	0.23767222590019765	0.20479149534265284	A	A
329	3298	658	9574	-329	-3299	1	1	0.5612583125587796	0.5184576116122209	A	A
331	2974	662	9574	-331	-2975	1	1	0.7384855172912195	0.74048802736636	A	A
332	2974	664	9574	-332	-2975	1	1	0.6711491342736402	0.6865687000926515	A	A
334	2974	668	9574	-334	-2975	1	1	0.7723776452809665	0.7752105467541478	A	A
335	2974	670	9574	-335	-2975	1	1	0.5591999188833854	0.5738128596868537	A	A
336	2974	672	9574	-336	-2975	1	1	0.16350656450403	0.18991284810616926	A	A
337	2980	674	9574	-337	-2981	1	1	0.54553276576695	0.5603876811308924	A	A
338	2980	676	9574	-338	-2981	1	1	0.9469766201838017	0.9358892092224953	A	A
339	2980	678	9574	-339	-2981	1	1	0.7743384898720793	0.7752105467541478	A	A
341	2980	682	9574	-341	-2981	1	1	0.4676774791530549	0.4863973973956013	A	A
342	2980	684	9574	-342	-2981	1	1	0.38318136964683136	0.3994271172644791	A	A
343	2986	686	9574	-343	-2986	1	1	0.5590817017998385	0.5738128596868537	A	A
344	2986	688	9574	-344	-2986	1	1	0.44629035622831603	0.4686479736942557	A	A
345	2986	690	9574	-345	-2986	1	1	0.6480063183173667	0.6567225731105883	A	A
346	2986	692	9574	-346	-2986	1	1	0.815148612887458	0.836604570279811	A	A
349	2991	698	9574	-349	-2992	1	1	0.7263800352756986	0.7248533491587095	A	A
352	2991	704	9574	-352	-2992	1	1	0.40752477742041615	0.43084017934406293	A	A
353	2991	706	9574	-353	-2992	1	1	0.10496952066073251	0.14001508031831478	A	A
354	2997	708	9574	-354	-2998	1	1	0.5420479648617993	0.5603876811308924	A	A
355	2997	710	9574	-355	-2998	1	1	0.03444345273883331	0.046636926221635844	A	A
356	2997	712	9574	-356	-2998	1	1	0.5019387836693746	0.5184576116122209	A	A
358	2997	716	9574	-358	-2998	1	1	0.1606913529373336	0.17573684250755928	A	A
361	3003	722	9574	-361	-3004	1	1	0.7248533491587095	0.7248533491587095	A	A
362	3003	724	9574	-362	-3004	1	1	0.4449149795727033	0.4686479736942557	A	A
363	3003	726	9574	-363	-3004	1	1	0.7439371159842326	0.74048802736636	A	A
364	3003	728	9574	-364	-3004	1	1	0.32026569031615437	0.33085674641798635	A	A
365	3003	730	9574	-365	-3004	1	1	0.3694185732602101	0.3838453928986345	A	A
366	3009	732	9574	-366	-3010	1	1	0.7883088102180945	0.7978402972390728	A	A
367	3009	734	9574	-367	-3010	1	1	0.009431753548861166	0.009431753548861166	A	A
368	3009	736	9574	-368	-3010	1	1	0.2569330702828112	0.2705870793149804	A	A
370	3009	740	9574	-370	-3010	1	1	0.9240869149846782	0.897897211542344	A	A
371	3009	742	9574	-371	-3010	1	1	0.2989157114516917	0.30887378737929305	A	A
373	3015	746	9574	-373	-3015	1	1	0.6130334048993574	0.6185616736968093	A	A
374	3015	748	9574	-374	-3015	1	1	0.27561248698508045	0.29312155847436416	A	A
375	3015	750	9574	-375	-3015	1	1	0.2709332579101378	0.2705870793149804	A	A
376	3015	752	9574	-376	-3015	1	1	0.7325924887022567	0.74048802736636	A	A
377	3020	754	9574	-377	-3021	1	1	0.678657414669274	0.6865687000926515	A	A
378	3020	756	9574	-378	-3021	1	1	0.7890655754445042	0.7978402972390728	A	A
379	3020	758	9574	-379	-3021	1	1	0.9768988801162586	0.9708335991200716	A	A
380	3020	760	9574	-380	-3021	1	1	0.9472071687964871	0.9358892092224953	A	A
382	3020	764	9574	-382	-3021	1	1	0.8207048737119446	0.836604570279811	A	A
383	3026	766	9574	-383	-3027	1	1	0.5903819938969364	0.6185616736968093	A	A
384	3026	768	9574	-384	-3027	1	1	0.7634237045485027	0.7650504588350444	A	A
385	3026	770	9574	-385	-3027	1	1	0.37516038885827363	0.3994271172644791	A	A
386	3026	772	9574	-386	-3027	1	1	0.834891335025827	0.8483288367488273	A	A
388	3026	776	9574	-388	-3027	1	1	0.8535755010247054	0.8659373859054671	A	A
389	3032	778	9574	-389	-3033	1	1	0.5018566589612492	0.5184576116122209	A	A
390	3032	780	9574	-390	-3033	1	1	0.8419524347923883	0.8659373859054671	A	A
391	3032	782	9574	-391	-3033	1	1	0.8299202942173313	0.8483288367488273	A	A
395	3038	790	9574	-395	-3038	1	1	0.6267238074438565	0.6403485791625139	A	A
396	3038	792	9574	-396	-3038	1	1	0.16492553218706107	0.18991284810616926	A	A
397	3038	794	9574	-397	-3038	1	1	0.22107135132537903	0.2556376638625464	A	A
400	3043	800	9574	-400	-3044	1	1	0.7185972171257222	0.7124266951977283	A	A
402	3043	804	9574	-402	-3044	1	1	0.5074926719327431	0.5184576116122209	A	A
403	3043	806	9574	-403	-3044	1	1	0.023153673121733442	0.02540337192260267	A	A
404	3043	808	9574	-404	-3044	1	1	0.8037410046819706	0.81093086149687	A	A
406	3049	812	9574	-406	-3050	1	1	0.03982515835776257	0.046636926221635844	A	A
407	3049	814	9574	-407	-3050	1	1	0.431160810420833	0.4686479736942557	A	A
408	3049	816	9574	-408	-3050	1	1	0.9268482330062446	0.9155804834289545	A	A
409	3049	818	9574	-409	-3050	1	1	0.4778728315800652	0.5057843245177359	A	A
410	3049	820	9574	-410	-3050	1	1	0.3485024391686822	0.36326959483172827	A	A
413	3055	826	9574	-413	-3056	1	1	0.17540967161125165	0.20479149534265284	A	A
416	3055	832	9574	-416	-3056	1	1	0.1528358092022869	0.17573684250755928	A	A
417	3055	834	9574	-417	-3056	1	1	0.952849313046448	0.9556519694980462	A	A
418	3061	836	9574	-418	-3062	1	1	0.6426489537716861	0.6567225731105883	A	A
419	3061	838	9574	-419	-3062	1	1	0.9036166532384952	0.897897211542344	A	A
421	3061	842	9574	-421	-3062	1	1	0.3100316077774148	0.33085674641798635	A	A
422	3061	844	9574	-422	-3062	1	1	0.45421835131292554	0.4863973973956013	A	A
423	3061	846	9574	-423	-3062	1	1	0.5346249499903778	0.5437811418999469	A	A
424	3067	848	9574	-424	-3067	1	1	0.20761927554937865	0.23139716590926385	A	A
425	3067	850	9574	-425	-3067	1	1	0.5561610000270887	0.5603876811308924	A	A
426	3067	852	9574	-426	-3067	1	1	0.9851583240203498	0.9867277963524416	A	A
428	3067	856	9574	-428	-3067	1	1	0.7502392296509925	0.7650504588350444	A	A
429	3072	858	9574	-429	-3073	1	1	0.9552656214467534	0.9556519694980462	A	A
430	3072	860	9574	-430	-3073	1	1	0.3503350747657311	0.36326959483172827	A	A
432	3072	864	9574	-432	-3073	1	1	0.009732910446077048	0.009431753548861166	A	A
434	3072	868	9574	-434	-3073	1	1	0.8136430768106707	0.836604570279811	A	A
435	3078	870	9574	-435	-3079	1	1	0.25992037883502095	0.2705870793149804	A	A
440	3078	880	9574	-440	-3079	1	1	0.8062564737325466	0.81093086149687	A	A
441	3084	882	9574	-441	-3085	1	1	0.4250216874909256	0.45443658440763757	A	A
443	3084	886	9574	-443	-3085	1	1	0.7840590074854497	0.7978402972390728	A	A
446	3084	892	9574	-446	-3085	1	1	0.31679581611559915	0.33085674641798635	A	A
447	3090	894	9574	-447	-3091	1	1	0.3900941042163707	0.41436990175995514	A	A
448	3090	896	9574	-448	-3091	1	1	0.3833812594048591	0.3994271172644791	A	A
449	3090	898	9574	-449	-3091	1	1	0.33145150487008557	0.34394625120281785	A	A
451	3090	902	9574	-451	-3091	1	1	0.6900448584468925	0.7124266951977283	A	A
452	3090	904	9574	-452	-3091	1	1	0.9512721208523415	0.9556519694980462	A	A
453	3096	906	9574	-453	-3096	1	1	0.39516903429714223	0.41436990175995514	A	A
454	3096	908	9574	-454	-3096	1	1	0.0389263465584716	0.046636926221635844	A	A
455	3096	910	9574	-455	-3096	1	1	0.07106882344906051	0.09584927697217083	A	A
456	3096	912	9574	-456	-3096	1	1	0.2996797103160549	0.30887378737929305	A	A
457	3096	914	9574	-457	-3096	1	1	0.8249614345925032	0.8483288367488273	A	A
458	3101	916	9574	-458	-3102	1	1	0.1899474468909772	0.2200783515824032	A	A
459	3101	918	9574	-459	-3102	1	1	0.07771418984655731	0.11766008071769851	A	A
461	3101	922	9574	-461	-3102	1	1	0.4499290343572615	0.4686479736942557	A	A
462	3101	924	9574	-462	-3102	1	1	0.924962341235342	0.9155804834289545	A	A
463	3101	926	9574	-463	-3102	1	1	0.0612500986114628	0.08139052448728146	A	A
468	3107	936	9574	-468	-3108	1	1	0.6320419259309551	0.6403485791625139	A	A
469	3107	938	9574	-469	-3108	1	1	0.7205731002761605	0.7248533491587095	A	A
