Feature A (i)	Feature A (i)-noFeature_C_(-i)	Feature B (2i)	Feature B (2i)-noFeature_C_(-i)	Feature C (-i)	Feature C (-i)-noFeature_C_(-i)	Constant Feature	Constant Feature-noFeature_C_(-i)	Random Feature	Random Feature-noFeature_C_(-i)	Outcome	Outcome-noFeature_C_(-i)
154	2793	308	5586	-154	-1212	1	1	0.328939054410314	0.3154430469533932	A	A
156	2798	312	5596	-156	-1212	1	1	0.41848078614115325	0.3976380625702378	A	A
157	2798	314	5596	-157	-1212	1	1	0.9756041135596359	0.9708335991200716	A	A
158	2798	316	5596	-158	-1212	1	1	0.35344865233845213	0.3328687627974606	A	A
160	2798	320	5596	-160	-1212	1	1	0.5547361732143491	0.4982817158659174	A	A
161	2804	322	5608	-161	-1212	1	1	0.0891336921094471	0.07522454865778105	A	A
162	2804	324	5608	-162	-1212	1	1	0.4086551213893691	0.3976380625702378	A	A
163	2804	326	5608	-163	-1212	1	1	0.25029279515328706	0.20132664405148248	A	A
166	2804	332	5608	-166	-1212	1	1	0.48687563784850674	0.45243048498421456	A	A
167	2810	334	5620	-167	-1212	1	1	0.44445852567547495	0.41618841333222234	A	A
168	2810	336	5620	-168	-1212	1	1	0.8907188245124945	0.8710826164665462	A	A
169	2810	338	5620	-169	-1212	1	1	0.3061689856984916	0.27476148850200977	A	A
170	2810	340	5620	-170	-1212	1	1	0.8798434225240414	0.8457692599892734	A	A
171	2810	342	5620	-171	-1212	1	1	0.0745435733204598	0.040223196869210165	A	A
174	2816	348	5632	-174	-1212	1	1	0.3830656923488178	0.3645500084328399	A	A
175	2816	350	5632	-175	-1212	1	1	0.9920349123789985	0.985744768217679	A	A
177	2816	354	5632	-177	-1212	1	1	0.9851696042005833	0.9708335991200716	A	A
179	2822	358	5644	-179	-1212	1	1	0.2919342053637328	0.23168224529179748	A	A
180	2822	360	5644	-180	-1212	1	1	0.17815154104628128	0.1520372454774349	A	A
181	2822	362	5644	-181	-1212	1	1	0.8538597292457968	0.8285385294664941	A	A
183	2822	366	5644	-183	-1212	1	1	0.4790305279039493	0.45243048498421456	A	A
184	2827	368	5654	-184	-1212	1	1	0.7147776404233779	0.6482322739693153	A	A
185	2827	370	5654	-185	-1212	1	1	0.8017489925271069	0.7741845154294321	A	A
186	2827	372	5654	-186	-1212	1	1	0.011498010784058432	0.008592140326145858	A	A
187	2827	374	5654	-187	-1212	1	1	0.8371325712700731	0.8055533991471695	A	A
189	2827	378	5654	-189	-1212	1	1	0.5492034535373715	0.4982817158659174	A	A
190	2833	380	5666	-190	-1212	1	1	0.7308845633079191	0.6618908494241688	A	A
191	2833	382	5666	-191	-1212	1	1	0.10921191130855845	0.09631320509214214	A	A
192	2833	384	5666	-192	-1212	1	1	0.9234830037894185	0.9027350063094405	A	A
195	2833	390	5666	-195	-1212	1	1	0.368353272569945	0.3328687627974606	A	A
196	2839	392	5678	-196	-1212	1	1	0.8724991015739577	0.8457692599892734	A	A
197	2839	394	5678	-197	-1212	1	1	0.2922377569551684	0.23168224529179748	A	A
199	2839	398	5678	-199	-1212	1	1	0.5248936171304759	0.4824381759363401	A	A
200	2839	400	5678	-200	-1212	1	1	0.3060569653180567	0.27476148850200977	A	A
201	2839	402	5678	-201	-1212	1	1	0.26199665297179386	0.22041899908405316	A	A
202	2845	404	5690	-202	-1212	1	1	0.47169304505146326	0.45243048498421456	A	A
203	2845	406	5690	-203	-1212	1	1	0.1902830388180744	0.1642650866458556	A	A
204	2845	408	5690	-204	-1212	1	1	0.9093441924168961	0.8839101610867179	A	A
205	2845	410	5690	-205	-1212	1	1	0.7320098361501537	0.6618908494241688	A	A
207	2845	414	5690	-207	-1212	1	1	0.5854106508314816	0.5364676566761873	A	A
208	2851	416	5702	-208	-1212	1	1	0.3262330582153067	0.3154430469533932	A	A
209	2851	418	5702	-209	-1212	1	1	0.510516524939833	0.47641504446250105	A	A
210	2851	420	5702	-210	-1212	1	1	0.5126369798472399	0.47641504446250105	A	A
211	2851	422	5702	-211	-1212	1	1	0.855642868013121	0.8457692599892734	A	A
212	2851	424	5702	-212	-1212	1	1	0.31246113422227684	0.27476148850200977	A	A
213	2856	426	5712	-213	-1212	1	1	0.8445645520264801	0.8285385294664941	A	A
214	2856	428	5712	-214	-1212	1	1	0.4516985791113336	0.4283262058113855	A	A
215	2856	430	5712	-215	-1212	1	1	0.22973536766060942	0.18513987923672703	A	A
220	2862	440	5724	-220	-1212	1	1	0.9231317027545626	0.8839101610867179	A	A
222	2862	444	5724	-222	-1212	1	1	0.743066243381264	0.6827160525262556	A	A
224	2862	448	5724	-224	-1212	1	1	0.8476455748949766	0.8285385294664941	A	A
225	2868	450	5736	-225	-1212	1	1	0.7932621032872628	0.7588862688703896	A	A
226	2868	452	5736	-226	-1212	1	1	0.23826111084097823	0.18513987923672703	A	A
227	2868	454	5736	-227	-1212	1	1	0.5115687808399548	0.47641504446250105	A	A
229	2868	458	5736	-229	-1212	1	1	0.3279480873617552	0.3154430469533932	A	A
230	2868	460	5736	-230	-1212	1	1	0.6259314303093111	0.582537627789942	A	A
231	2874	462	5748	-231	-1212	1	1	0.8971980029870462	0.8839101610867179	A	A
232	2874	464	5748	-232	-1212	1	1	0.9908711908535485	0.9708335991200716	A	A
233	2874	466	5748	-233	-1212	1	1	0.7584237246845656	0.7191643211606201	A	A
234	2874	468	5748	-234	-1212	1	1	0.8237125253110059	0.7922948059168434	A	A
235	2874	470	5748	-235	-1212	1	1	0.7584120604450391	0.7191643211606201	A	A
236	2879	472	5758	-236	-1212	1	1	0.9575466519742649	0.940938327787818	A	A
237	2879	474	5758	-237	-1212	1	1	0.4113756427780252	0.3976380625702378	A	A
238	2879	476	5758	-238	-1212	1	1	0.9612472393298356	0.9550538593999985	A	A
240	2879	480	5758	-240	-1212	1	1	0.2764494259327396	0.22041899908405316	A	A
241	2879	482	5758	-241	-1212	1	1	0.938353865972726	0.9201280995449436	A	A
242	2885	484	5770	-242	-1212	1	1	0.6124703511727232	0.5687152792565979	A	A
244	2885	488	5770	-244	-1212	1	1	0.5701127403098096	0.5200480604633302	A	A
245	2885	490	5770	-245	-1212	1	1	0.16751459145622916	0.13575200988301828	A	A
249	2891	498	5782	-249	-1212	1	1	0.9493041759216881	0.940938327787818	A	A
251	2891	502	5782	-251	-1212	1	1	0.9911899563397208	0.985744768217679	A	A
252	2891	504	5782	-252	-1212	1	1	0.8316434202957592	0.8055533991471695	A	A
254	2897	508	5794	-254	-1212	1	1	0.5503637737372428	0.4982817158659174	A	A
255	2897	510	5794	-255	-1212	1	1	0.9379948550290127	0.9201280995449436	A	A
256	2897	512	5794	-256	-1212	1	1	0.304195182608067	0.25854697252696457	A	A
257	2897	514	5794	-257	-1212	1	1	0.6041084664351004	0.5468257337781519	A	A
258	2897	516	5794	-258	-1212	1	1	0.8429299266418653	0.8055533991471695	A	A
259	2897	518	5794	-259	-1212	1	1	0.08317559390365592	0.062353353740606354	A	A
260	2903	520	5806	-260	-1212	1	1	0.44232886396111537	0.41618841333222234	A	A
266	2908	532	5816	-266	-1212	1	1	0.10830619248453244	0.07522454865778105	A	A
267	2908	534	5816	-267	-1212	1	1	0.2849481034476822	0.23168224529179748	A	A
268	2908	536	5816	-268	-1212	1	1	0.9421824520090991	0.9201280995449436	A	A
269	2908	538	5816	-269	-1212	1	1	0.32528102413436866	0.3154430469533932	A	A
271	2914	542	5828	-271	-1212	1	1	0.19006142689484962	0.1520372454774349	A	A
273	2914	546	5828	-273	-1212	1	1	0.1804109096654538	0.1520372454774349	A	A
274	2914	548	5828	-274	-1212	1	1	0.11257032597186623	0.09631320509214214	A	A
276	2914	552	5828	-276	-1212	1	1	0.9777169062368408	0.9708335991200716	A	A
278	2920	556	5840	-278	-1212	1	1	0.13597021502270445	0.1179020570763114	A	A
281	2920	562	5840	-281	-1212	1	1	0.6771155863562527	0.6131793130866995	A	A
282	2920	564	5840	-282	-1212	1	1	0.8813731959095698	0.8710826164665462	A	A
283	2926	566	5852	-283	-1212	1	1	0.5462389635950663	0.4982817158659174	A	A
284	2926	568	5852	-284	-1212	1	1	0.3746240959849827	0.350578695746261	A	A
285	2926	570	5852	-285	-1212	1	1	0.38273465364445847	0.3645500084328399	A	A
287	2926	574	5852	-287	-1212	1	1	0.7221678025804639	0.6482322739693153	A	A
288	2926	576	5852	-288	-1212	1	1	0.39451644860589097	0.3837438429114993	A	A
289	2932	578	5864	-289	-1212	1	1	0.6956345046795808	0.6336483877439453	A	A
295	2937	590	5874	-295	-1212	1	1	0.7309991588805963	0.6618908494241688	A	A
296	2937	592	5874	-296	-1212	1	1	0.751624247387987	0.7191643211606201	A	A
297	2937	594	5874	-297	-1212	1	1	0.8957926671717115	0.8710826164665462	A	A
301	2943	602	5886	-301	-1212	1	1	0.678621897564474	0.6131793130866995	A	A
302	2943	604	5886	-302	-1212	1	1	0.8445248735248361	0.8285385294664941	A	A
304	2943	608	5886	-304	-1212	1	1	0.4354048305112247	0.41618841333222234	A	A
307	2949	614	5898	-307	-1212	1	1	0.44452759464861724	0.41618841333222234	A	A
308	2949	616	5898	-308	-1212	1	1	0.29044071739397614	0.23168224529179748	A	A
309	2949	618	5898	-309	-1212	1	1	0.23874750145564017	0.20132664405148248	A	A
310	2949	620	5898	-310	-1212	1	1	0.3791777074689626	0.350578695746261	A	A
311	2949	622	5898	-311	-1212	1	1	0.6689599395406561	0.6131793130866995	A	A
312	2955	624	5910	-312	-1212	1	1	0.11640682191707508	0.09631320509214214	A	A
314	2955	628	5910	-314	-1212	1	1	0.9680983063246806	0.9550538593999985	A	A
315	2955	630	5910	-315	-1212	1	1	0.012781374179177019	0.008592140326145858	A	A
316	2955	632	5910	-316	-1212	1	1	0.394203477821936	0.3837438429114993	A	A
317	2955	634	5910	-317	-1212	1	1	0.2716687561530514	0.22041899908405316	A	A
318	2961	636	5922	-318	-1212	1	1	0.982356478691016	0.9708335991200716	A	A
319	2961	638	5922	-319	-1212	1	1	0.6218164244319097	0.5687152792565979	A	A
323	2966	646	5932	-323	-1212	1	1	0.894204299513141	0.8710826164665462	A	A
324	2966	648	5932	-324	-1212	1	1	0.29936365179074487	0.25854697252696457	A	A
325	2966	650	5932	-325	-1212	1	1	0.6191946502475879	0.5687152792565979	A	A
326	2966	652	5932	-326	-1212	1	1	0.03690349437327689	0.024809866852586904	A	A
327	2966	654	5932	-327	-1212	1	1	0.013631094690395917	0.024809866852586904	A	A
328	2966	656	5932	-328	-1212	1	1	0.23767222590019765	0.18513987923672703	A	A
329	2972	658	5944	-329	-1212	1	1	0.5612583125587796	0.5200480604633302	A	A
331	2972	662	5944	-331	-1212	1	1	0.7384855172912195	0.6827160525262556	A	A
332	2972	664	5944	-332	-1212	1	1	0.6711491342736402	0.6131793130866995	A	A
334	2972	668	5944	-334	-1212	1	1	0.7723776452809665	0.7386408776802375	A	A
335	2978	670	5956	-335	-1212	1	1	0.5591999188833854	0.5200480604633302	A	A
336	2978	672	5956	-336	-1212	1	1	0.16350656450403	0.13575200988301828	A	A
337	2978	674	5956	-337	-1212	1	1	0.54553276576695	0.4982817158659174	A	A
338	2978	676	5956	-338	-1212	1	1	0.9469766201838017	0.940938327787818	A	A
339	2978	678	5956	-339	-1212	1	1	0.7743384898720793	0.7386408776802375	A	A
341	2984	682	5968	-341	-1212	1	1	0.4676774791530549	0.4283262058113855	A	A
342	2984	684	5968	-342	-1212	1	1	0.38318136964683136	0.3645500084328399	A	A
343	2984	686	5968	-343	-1212	1	1	0.5590817017998385	0.5200480604633302	A	A
344	2984	688	5968	-344	-1212	1	1	0.44629035622831603	0.4283262058113855	A	A
345	2984	690	5968	-345	-1212	1	1	0.6480063183173667	0.5979874343679255	A	A
346	2989	692	5978	-346	-1212	1	1	0.815148612887458	0.7741845154294321	A	A
349	2989	698	5978	-349	-1212	1	1	0.7263800352756986	0.6482322739693153	A	A
352	2995	704	5990	-352	-1212	1	1	0.40752477742041615	0.3976380625702378	A	A
353	2995	706	5990	-353	-1212	1	1	0.10496952066073251	0.07522454865778105	A	A
354	2995	708	5990	-354	-1212	1	1	0.5420479648617993	0.4824381759363401	A	A
355	2995	710	5990	-355	-1212	1	1	0.03444345273883331	0.024809866852586904	A	A
356	2995	712	5990	-356	-1212	1	1	0.5019387836693746	0.47641504446250105	A	A
358	3001	716	6002	-358	-1212	1	1	0.1606913529373336	0.1179020570763114	A	A
361	3001	722	6002	-361	-1212	1	1	0.7248533491587095	0.6482322739693153	A	A
362	3001	724	6002	-362	-1212	1	1	0.4449149795727033	0.4283262058113855	A	A
363	3001	726	6002	-363	-1212	1	1	0.7439371159842326	0.6827160525262556	A	A
364	3007	728	6014	-364	-1212	1	1	0.32026569031615437	0.2944125893639117	A	A
365	3007	730	6014	-365	-1212	1	1	0.3694185732602101	0.3328687627974606	A	A
366	3007	732	6014	-366	-1212	1	1	0.7883088102180945	0.7588862688703896	A	A
367	3007	734	6014	-367	-1212	1	1	0.009431753548861166	0.008592140326145858	A	A
368	3007	736	6014	-368	-1212	1	1	0.2569330702828112	0.20132664405148248	A	A
370	3013	740	6026	-370	-1212	1	1	0.9240869149846782	0.9027350063094405	A	A
371	3013	742	6026	-371	-1212	1	1	0.2989157114516917	0.25854697252696457	A	A
373	3013	746	6026	-373	-1212	1	1	0.6130334048993574	0.5687152792565979	A	A
374	3013	748	6026	-374	-1212	1	1	0.27561248698508045	0.22041899908405316	A	A
375	3018	750	6036	-375	-1212	1	1	0.2709332579101378	0.22041899908405316	A	A
376	3018	752	6036	-376	-1212	1	1	0.7325924887022567	0.6827160525262556	A	A
377	3018	754	6036	-377	-1212	1	1	0.678657414669274	0.6336483877439453	A	A
378	3018	756	6036	-378	-1212	1	1	0.7890655754445042	0.7588862688703896	A	A
379	3018	758	6036	-379	-1212	1	1	0.9768988801162586	0.9708335991200716	A	A
380	3018	760	6036	-380	-1212	1	1	0.9472071687964871	0.940938327787818	A	A
382	3024	764	6048	-382	-1212	1	1	0.8207048737119446	0.7922948059168434	A	A
383	3024	766	6048	-383	-1212	1	1	0.5903819938969364	0.5364676566761873	A	A
384	3024	768	6048	-384	-1212	1	1	0.7634237045485027	0.7191643211606201	A	A
385	3024	770	6048	-385	-1212	1	1	0.37516038885827363	0.350578695746261	A	A
386	3024	772	6048	-386	-1212	1	1	0.834891335025827	0.8055533991471695	A	A
388	2700	776	5400	-388	-1212	1	1	0.8535755010247054	0.8710826164665462	A	A
389	2700	778	5400	-389	-1212	1	1	0.5018566589612492	0.5364676566761873	A	A
390	2700	780	5400	-390	-1212	1	1	0.8419524347923883	0.8457692599892734	A	A
391	2700	782	5400	-391	-1212	1	1	0.8299202942173313	0.8457692599892734	A	A
395	2706	790	5412	-395	-1212	1	1	0.6267238074438565	0.6336483877439453	A	A
396	2706	792	5412	-396	-1212	1	1	0.16492553218706107	0.20132664405148248	A	A
397	2706	794	5412	-397	-1212	1	1	0.22107135132537903	0.27476148850200977	A	A
400	2712	800	5424	-400	-1212	1	1	0.7185972171257222	0.7025024851846564	A	A
402	2712	804	5424	-402	-1212	1	1	0.5074926719327431	0.5364676566761873	A	A
403	2712	806	5424	-403	-1212	1	1	0.023153673121733442	0.024809866852586904	A	A
404	2717	808	5434	-404	-1212	1	1	0.8037410046819706	0.7922948059168434	A	A
406	2717	812	5434	-406	-1212	1	1	0.03982515835776257	0.040223196869210165	A	A
407	2717	814	5434	-407	-1212	1	1	0.431160810420833	0.4824381759363401	A	A
408	2717	816	5434	-408	-1212	1	1	0.9268482330062446	0.9201280995449436	A	A
409	2717	818	5434	-409	-1212	1	1	0.4778728315800652	0.5200480604633302	A	A
410	2723	820	5446	-410	-1212	1	1	0.3485024391686822	0.3837438429114993	A	A
413	2723	826	5446	-413	-1212	1	1	0.17540967161125165	0.22041899908405316	A	A
416	2729	832	5458	-416	-1212	1	1	0.1528358092022869	0.18513987923672703	A	A
417	2729	834	5458	-417	-1212	1	1	0.952849313046448	0.9550538593999985	A	A
418	2729	836	5458	-418	-1212	1	1	0.6426489537716861	0.6482322739693153	A	A
419	2729	838	5458	-419	-1212	1	1	0.9036166532384952	0.9027350063094405	A	A
421	2729	842	5458	-421	-1212	1	1	0.3100316077774148	0.3328687627974606	A	A
422	2735	844	5470	-422	-1212	1	1	0.45421835131292554	0.4824381759363401	A	A
423	2735	846	5470	-423	-1212	1	1	0.5346249499903778	0.5687152792565979	A	A
424	2735	848	5470	-424	-1212	1	1	0.20761927554937865	0.25854697252696457	A	A
425	2735	850	5470	-425	-1212	1	1	0.5561610000270887	0.582537627789942	A	A
426	2735	852	5470	-426	-1212	1	1	0.9851583240203498	0.985744768217679	A	A
428	2741	856	5482	-428	-1212	1	1	0.7502392296509925	0.7386408776802375	A	A
429	2741	858	5482	-429	-1212	1	1	0.9552656214467534	0.9550538593999985	A	A
430	2741	860	5482	-430	-1212	1	1	0.3503350747657311	0.3976380625702378	A	A
432	2741	864	5482	-432	-1212	1	1	0.009732910446077048	0.008592140326145858	A	A
434	2746	868	5492	-434	-1212	1	1	0.8136430768106707	0.8055533991471695	A	A
435	2746	870	5492	-435	-1212	1	1	0.25992037883502095	0.2944125893639117	A	A
440	2752	880	5504	-440	-1212	1	1	0.8062564737325466	0.7922948059168434	A	A
441	2752	882	5504	-441	-1212	1	1	0.4250216874909256	0.47641504446250105	A	A
443	2752	886	5504	-443	-1212	1	1	0.7840590074854497	0.7588862688703896	A	A
446	2758	892	5516	-446	-1212	1	1	0.31679581611559915	0.350578695746261	A	A
447	2758	894	5516	-447	-1212	1	1	0.3900941042163707	0.4283262058113855	A	A
448	2758	896	5516	-448	-1212	1	1	0.3833812594048591	0.41618841333222234	A	A
449	2758	898	5516	-449	-1212	1	1	0.33145150487008557	0.3645500084328399	A	A
451	2764	902	5528	-451	-1212	1	1	0.6900448584468925	0.6827160525262556	A	A
452	2764	904	5528	-452	-1212	1	1	0.9512721208523415	0.9550538593999985	A	A
453	2764	906	5528	-453	-1212	1	1	0.39516903429714223	0.4283262058113855	A	A
454	2764	908	5528	-454	-1212	1	1	0.0389263465584716	0.040223196869210165	A	A
455	2764	910	5528	-455	-1212	1	1	0.07106882344906051	0.09631320509214214	A	A
456	2769	912	5538	-456	-1212	1	1	0.2996797103160549	0.3328687627974606	A	A
457	2769	914	5538	-457	-1212	1	1	0.8249614345925032	0.8285385294664941	A	A
458	2769	916	5538	-458	-1212	1	1	0.1899474468909772	0.22041899908405316	A	A
459	2769	918	5538	-459	-1212	1	1	0.07771418984655731	0.1179020570763114	A	A
461	2769	922	5538	-461	-1212	1	1	0.4499290343572615	0.4824381759363401	A	A
462	2775	924	5550	-462	-1212	1	1	0.924962341235342	0.9201280995449436	A	A
463	2775	926	5550	-463	-1212	1	1	0.0612500986114628	0.07522454865778105	A	A
468	2781	936	5562	-468	-1212	1	1	0.6320419259309551	0.6482322739693153	A	A
469	2781	938	5562	-469	-1212	1	1	0.7205731002761605	0.7191643211606201	A	A
