Feature_A_(i),Feature_A_(i)-noConstant_Feature,Feature_B_(2i),Feature_B_(2i)-noConstant_Feature,Feature_C_(-i),Feature_C_(-i)-noConstant_Feature,Constant_Feature,Constant_Feature-noConstant_Feature,Random_Feature,Random_Feature-noConstant_Feature,Outcome,Outcome-noConstant_Feature
76,76,152,152,-76,-76,1,1,0.07574345645986724,0.07574345645986724,A,A
77,77,154,154,-77,-77,1,1,0.9576917662311247,0.9576917662311247,A,A
78,78,156,156,-78,-78,1,1,0.3444122032974388,0.3444122032974388,A,A
79,79,158,158,-79,-79,1,1,0.00018798835706279604,0.00018798835706279604,A,A
81,81,162,162,-81,-81,1,1,0.08338800327535068,0.08338800327535068,A,A
82,82,164,164,-82,-82,1,1,0.8371076701450203,0.8371076701450203,A,A
86,86,172,172,-86,-86,1,1,0.5928400284910654,0.5928400284910654,A,A
87,87,174,174,-87,-87,1,1,0.31353758449725977,0.31353758449725977,A,A
89,89,178,178,-89,-89,1,1,0.2044281416563637,0.2044281416563637,A,A
90,90,180,180,-90,-90,1,1,0.46052453367336,0.46052453367336,A,A
91,91,182,182,-91,-91,1,1,0.27655555095419226,0.27655555095419226,A,A
93,93,186,186,-93,-93,1,1,0.2156697601069203,0.2156697601069203,A,A
94,94,188,188,-94,-94,1,1,0.14628113311681623,0.14628113311681623,A,A
95,95,190,190,-95,-95,1,1,0.6364167409499052,0.6364167409499052,A,A
96,96,192,192,-96,-96,1,1,0.2323360157373191,0.2323360157373191,A,A
99,99,198,198,-99,-99,1,1,0.7964356400542186,0.7964356400542186,A,A
100,100,200,200,-100,-100,1,1,0.2875327944914716,0.2875327944914716,A,A
101,101,202,202,-101,-101,1,1,0.49383332900746946,0.49383332900746946,A,A
102,102,204,204,-102,-102,1,1,0.19739142058166181,0.19739142058166181,A,A
103,103,206,206,-103,-103,1,1,0.7548063603256833,0.7548063603256833,A,A
104,104,208,208,-104,-104,1,1,0.3645628592530845,0.3645628592530845,A,A
105,105,210,210,-105,-105,1,1,0.3656840437206773,0.3656840437206773,A,A
106,106,212,212,-106,-106,1,1,0.84754785192232,0.84754785192232,A,A
107,107,214,214,-107,-107,1,1,0.15569631768405867,0.15569631768405867,A,A
109,109,218,218,-109,-109,1,1,0.8776157882608909,0.8776157882608909,A,A
111,111,222,222,-111,-111,1,1,0.6848139489241195,0.6848139489241195,A,A
114,114,228,228,-114,-114,1,1,0.8967573771245423,0.8967573771245423,A,A
115,115,230,230,-115,-115,1,1,0.5144574291580433,0.5144574291580433,A,A
118,118,236,236,-118,-118,1,1,0.9119564155005877,0.9119564155005877,A,A
120,120,240,240,-120,-120,1,1,0.7449259240416669,0.7449259240416669,A,A
122,122,244,244,-122,-122,1,1,0.0025256535814799363,0.0025256535814799363,A,A
124,124,248,248,-124,-124,1,1,0.4804421953497041,0.4804421953497041,A,A
125,125,250,250,-125,-125,1,1,0.039918173844016636,0.039918173844016636,A,A
126,126,252,252,-126,-126,1,1,0.8019859002940205,0.8019859002940205,A,A
127,127,254,254,-127,-127,1,1,0.7404676807815441,0.7404676807815441,A,A
128,128,256,256,-128,-128,1,1,0.35394898011032017,0.35394898011032017,A,A
132,132,264,264,-132,-132,1,1,0.9985188230254209,0.9985188230254209,A,A
134,134,268,268,-134,-134,1,1,0.08753180441541364,0.08753180441541364,A,A
135,135,270,270,-135,-135,1,1,0.45693399513245136,0.45693399513245136,A,A
136,136,272,272,-136,-136,1,1,0.5420084319709784,0.5420084319709784,A,A
138,138,276,276,-138,-138,1,1,0.7235440909847851,0.7235440909847851,A,A
139,139,278,278,-139,-139,1,1,0.08298791698125008,0.08298791698125008,A,A
140,140,280,280,-140,-140,1,1,0.2098672099761597,0.2098672099761597,A,A
141,141,282,282,-141,-141,1,1,0.9361882248606086,0.9361882248606086,A,A
144,144,288,288,-144,-144,1,1,0.6409335998781611,0.6409335998781611,A,A
145,145,290,290,-145,-145,1,1,0.31936333175165044,0.31936333175165044,A,A
146,146,292,292,-146,-146,1,1,0.6530281546879411,0.6530281546879411,A,A
147,147,294,294,-147,-147,1,1,0.7307944381478196,0.7307944381478196,A,A
148,148,296,296,-148,-148,1,1,0.3234850816431194,0.3234850816431194,A,A
149,149,298,298,-149,-149,1,1,0.5389870398960958,0.5389870398960958,A,A
150,150,300,300,-150,-150,1,1,0.7314529725710204,0.7314529725710204,A,A
152,152,304,304,-152,-152,1,1,0.10907559554219015,0.10907559554219015,A,A
154,154,308,308,-154,-154,1,1,0.328939054410314,0.328939054410314,A,A
156,156,312,312,-156,-156,1,1,0.41848078614115325,0.41848078614115325,A,A
157,157,314,314,-157,-157,1,1,0.9756041135596359,0.9756041135596359,A,A
158,158,316,316,-158,-158,1,1,0.35344865233845213,0.35344865233845213,A,A
160,160,320,320,-160,-160,1,1,0.5547361732143491,0.5547361732143491,A,A
161,161,322,322,-161,-161,1,1,0.0891336921094471,0.0891336921094471,A,A
162,162,324,324,-162,-162,1,1,0.4086551213893691,0.4086551213893691,A,A
163,163,326,326,-163,-163,1,1,0.25029279515328706,0.25029279515328706,A,A
166,166,332,332,-166,-166,1,1,0.48687563784850674,0.48687563784850674,A,A
167,167,334,334,-167,-167,1,1,0.44445852567547495,0.44445852567547495,A,A
168,168,336,336,-168,-168,1,1,0.8907188245124945,0.8907188245124945,A,A
169,169,338,338,-169,-169,1,1,0.3061689856984916,0.3061689856984916,A,A
170,170,340,340,-170,-170,1,1,0.8798434225240414,0.8798434225240414,A,A
171,171,342,342,-171,-171,1,1,0.0745435733204598,0.0745435733204598,A,A
174,174,348,348,-174,-174,1,1,0.3830656923488178,0.3830656923488178,A,A
175,175,350,350,-175,-175,1,1,0.9920349123789985,0.9920349123789985,A,A
177,177,354,354,-177,-177,1,1,0.9851696042005833,0.9851696042005833,A,A
179,179,358,358,-179,-179,1,1,0.2919342053637328,0.2919342053637328,A,A
180,180,360,360,-180,-180,1,1,0.17815154104628128,0.17815154104628128,A,A
181,181,362,362,-181,-181,1,1,0.8538597292457968,0.8538597292457968,A,A
183,183,366,366,-183,-183,1,1,0.4790305279039493,0.4790305279039493,A,A
184,184,368,368,-184,-184,1,1,0.7147776404233779,0.7147776404233779,A,A
185,185,370,370,-185,-185,1,1,0.8017489925271069,0.8017489925271069,A,A
186,186,372,372,-186,-186,1,1,0.011498010784058432,0.011498010784058432,A,A
187,187,374,374,-187,-187,1,1,0.8371325712700731,0.8371325712700731,A,A
189,189,378,378,-189,-189,1,1,0.5492034535373715,0.5492034535373715,A,A
190,190,380,380,-190,-190,1,1,0.7308845633079191,0.7308845633079191,A,A
191,191,382,382,-191,-191,1,1,0.10921191130855845,0.10921191130855845,A,A
192,192,384,384,-192,-192,1,1,0.9234830037894185,0.9234830037894185,A,A
195,195,390,390,-195,-195,1,1,0.368353272569945,0.368353272569945,A,A
196,196,392,392,-196,-196,1,1,0.8724991015739577,0.8724991015739577,A,A
197,197,394,394,-197,-197,1,1,0.2922377569551684,0.2922377569551684,A,A
199,199,398,398,-199,-199,1,1,0.5248936171304759,0.5248936171304759,A,A
200,200,400,400,-200,-200,1,1,0.3060569653180567,0.3060569653180567,A,A
201,201,402,402,-201,-201,1,1,0.26199665297179386,0.26199665297179386,A,A
202,202,404,404,-202,-202,1,1,0.47169304505146326,0.47169304505146326,A,A
203,203,406,406,-203,-203,1,1,0.1902830388180744,0.1902830388180744,A,A
204,204,408,408,-204,-204,1,1,0.9093441924168961,0.9093441924168961,A,A
205,205,410,410,-205,-205,1,1,0.7320098361501537,0.7320098361501537,A,A
207,207,414,414,-207,-207,1,1,0.5854106508314816,0.5854106508314816,A,A
208,208,416,416,-208,-208,1,1,0.3262330582153067,0.3262330582153067,A,A
209,209,418,418,-209,-209,1,1,0.510516524939833,0.510516524939833,A,A
210,210,420,420,-210,-210,1,1,0.5126369798472399,0.5126369798472399,A,A
211,211,422,422,-211,-211,1,1,0.855642868013121,0.855642868013121,A,A
212,212,424,424,-212,-212,1,1,0.31246113422227684,0.31246113422227684,A,A
213,213,426,426,-213,-213,1,1,0.8445645520264801,0.8445645520264801,A,A
214,214,428,428,-214,-214,1,1,0.4516985791113336,0.4516985791113336,A,A
215,215,430,430,-215,-215,1,1,0.22973536766060942,0.22973536766060942,A,A
220,220,440,440,-220,-220,1,1,0.9231317027545626,0.9231317027545626,A,A
222,222,444,444,-222,-222,1,1,0.743066243381264,0.743066243381264,A,A
224,224,448,448,-224,-224,1,1,0.8476455748949766,0.8476455748949766,A,A
225,225,450,450,-225,-225,1,1,0.7932621032872628,0.7932621032872628,A,A
226,226,452,452,-226,-226,1,1,0.23826111084097823,0.23826111084097823,A,A
227,227,454,454,-227,-227,1,1,0.5115687808399548,0.5115687808399548,A,A
229,229,458,458,-229,-229,1,1,0.3279480873617552,0.3279480873617552,A,A
230,230,460,460,-230,-230,1,1,0.6259314303093111,0.6259314303093111,A,A
231,231,462,462,-231,-231,1,1,0.8971980029870462,0.8971980029870462,A,A
232,232,464,464,-232,-232,1,1,0.9908711908535485,0.9908711908535485,A,A
233,233,466,466,-233,-233,1,1,0.7584237246845656,0.7584237246845656,A,A
234,234,468,468,-234,-234,1,1,0.8237125253110059,0.8237125253110059,A,A
235,235,470,470,-235,-235,1,1,0.7584120604450391,0.7584120604450391,A,A
236,236,472,472,-236,-236,1,1,0.9575466519742649,0.9575466519742649,A,A
237,237,474,474,-237,-237,1,1,0.4113756427780252,0.4113756427780252,A,A
238,238,476,476,-238,-238,1,1,0.9612472393298356,0.9612472393298356,A,A
240,240,480,480,-240,-240,1,1,0.2764494259327396,0.2764494259327396,A,A
241,241,482,482,-241,-241,1,1,0.938353865972726,0.938353865972726,A,A
242,242,484,484,-242,-242,1,1,0.6124703511727232,0.6124703511727232,A,A
244,244,488,488,-244,-244,1,1,0.5701127403098096,0.5701127403098096,A,A
245,245,490,490,-245,-245,1,1,0.16751459145622916,0.16751459145622916,A,A
249,249,498,498,-249,-249,1,1,0.9493041759216881,0.9493041759216881,A,A
251,251,502,502,-251,-251,1,1,0.9911899563397208,0.9911899563397208,A,A
252,252,504,504,-252,-252,1,1,0.8316434202957592,0.8316434202957592,A,A
254,254,508,508,-254,-254,1,1,0.5503637737372428,0.5503637737372428,A,A
255,255,510,510,-255,-255,1,1,0.9379948550290127,0.9379948550290127,A,A
256,256,512,512,-256,-256,1,1,0.304195182608067,0.304195182608067,A,A
257,257,514,514,-257,-257,1,1,0.6041084664351004,0.6041084664351004,A,A
258,258,516,516,-258,-258,1,1,0.8429299266418653,0.8429299266418653,A,A
259,259,518,518,-259,-259,1,1,0.08317559390365592,0.08317559390365592,A,A
260,260,520,520,-260,-260,1,1,0.44232886396111537,0.44232886396111537,A,A
266,266,532,532,-266,-266,1,1,0.10830619248453244,0.10830619248453244,A,A
267,267,534,534,-267,-267,1,1,0.2849481034476822,0.2849481034476822,A,A
268,268,536,536,-268,-268,1,1,0.9421824520090991,0.9421824520090991,A,A
269,269,538,538,-269,-269,1,1,0.32528102413436866,0.32528102413436866,A,A
271,271,542,542,-271,-271,1,1,0.19006142689484962,0.19006142689484962,A,A
273,273,546,546,-273,-273,1,1,0.1804109096654538,0.1804109096654538,A,A
274,274,548,548,-274,-274,1,1,0.11257032597186623,0.11257032597186623,A,A
276,276,552,552,-276,-276,1,1,0.9777169062368408,0.9777169062368408,A,A
278,278,556,556,-278,-278,1,1,0.13597021502270445,0.13597021502270445,A,A
281,281,562,562,-281,-281,1,1,0.6771155863562527,0.6771155863562527,A,A
282,282,564,564,-282,-282,1,1,0.8813731959095698,0.8813731959095698,A,A
283,283,566,566,-283,-283,1,1,0.5462389635950663,0.5462389635950663,A,A
284,284,568,568,-284,-284,1,1,0.3746240959849827,0.3746240959849827,A,A
285,285,570,570,-285,-285,1,1,0.38273465364445847,0.38273465364445847,A,A
287,287,574,574,-287,-287,1,1,0.7221678025804639,0.7221678025804639,A,A
288,288,576,576,-288,-288,1,1,0.39451644860589097,0.39451644860589097,A,A
289,289,578,578,-289,-289,1,1,0.6956345046795808,0.6956345046795808,A,A
295,295,590,590,-295,-295,1,1,0.7309991588805963,0.7309991588805963,A,A
296,296,592,592,-296,-296,1,1,0.751624247387987,0.751624247387987,A,A
297,297,594,594,-297,-297,1,1,0.8957926671717115,0.8957926671717115,A,A
301,301,602,602,-301,-301,1,1,0.678621897564474,0.678621897564474,A,A
302,302,604,604,-302,-302,1,1,0.8445248735248361,0.8445248735248361,A,A
304,304,608,608,-304,-304,1,1,0.4354048305112247,0.4354048305112247,A,A
307,307,614,614,-307,-307,1,1,0.44452759464861724,0.44452759464861724,A,A
308,308,616,616,-308,-308,1,1,0.29044071739397614,0.29044071739397614,A,A
309,309,618,618,-309,-309,1,1,0.23874750145564017,0.23874750145564017,A,A
310,310,620,620,-310,-310,1,1,0.3791777074689626,0.3791777074689626,A,A
311,311,622,622,-311,-311,1,1,0.6689599395406561,0.6689599395406561,A,A
312,312,624,624,-312,-312,1,1,0.11640682191707508,0.11640682191707508,A,A
314,314,628,628,-314,-314,1,1,0.9680983063246806,0.9680983063246806,A,A
315,315,630,630,-315,-315,1,1,0.012781374179177019,0.012781374179177019,A,A
316,316,632,632,-316,-316,1,1,0.394203477821936,0.394203477821936,A,A
317,317,634,634,-317,-317,1,1,0.2716687561530514,0.2716687561530514,A,A
318,318,636,636,-318,-318,1,1,0.982356478691016,0.982356478691016,A,A
319,319,638,638,-319,-319,1,1,0.6218164244319097,0.6218164244319097,A,A
323,323,646,646,-323,-323,1,1,0.894204299513141,0.894204299513141,A,A
324,324,648,648,-324,-324,1,1,0.29936365179074487,0.29936365179074487,A,A
325,325,650,650,-325,-325,1,1,0.6191946502475879,0.6191946502475879,A,A
326,326,652,652,-326,-326,1,1,0.03690349437327689,0.03690349437327689,A,A
327,327,654,654,-327,-327,1,1,0.013631094690395917,0.013631094690395917,A,A
328,328,656,656,-328,-328,1,1,0.23767222590019765,0.23767222590019765,A,A
329,329,658,658,-329,-329,1,1,0.5612583125587796,0.5612583125587796,A,A
331,331,662,662,-331,-331,1,1,0.7384855172912195,0.7384855172912195,A,A
332,332,664,664,-332,-332,1,1,0.6711491342736402,0.6711491342736402,A,A
334,334,668,668,-334,-334,1,1,0.7723776452809665,0.7723776452809665,A,A
335,335,670,670,-335,-335,1,1,0.5591999188833854,0.5591999188833854,A,A
336,336,672,672,-336,-336,1,1,0.16350656450403,0.16350656450403,A,A
337,337,674,674,-337,-337,1,1,0.54553276576695,0.54553276576695,A,A
338,338,676,676,-338,-338,1,1,0.9469766201838017,0.9469766201838017,A,A
339,339,678,678,-339,-339,1,1,0.7743384898720793,0.7743384898720793,A,A
341,341,682,682,-341,-341,1,1,0.4676774791530549,0.4676774791530549,A,A
342,342,684,684,-342,-342,1,1,0.38318136964683136,0.38318136964683136,A,A
343,343,686,686,-343,-343,1,1,0.5590817017998385,0.5590817017998385,A,A
344,344,688,688,-344,-344,1,1,0.44629035622831603,0.44629035622831603,A,A
345,345,690,690,-345,-345,1,1,0.6480063183173667,0.6480063183173667,A,A
346,346,692,692,-346,-346,1,1,0.815148612887458,0.815148612887458,A,A
349,349,698,698,-349,-349,1,1,0.7263800352756986,0.7263800352756986,A,A
352,352,704,704,-352,-352,1,1,0.40752477742041615,0.40752477742041615,A,A
353,353,706,706,-353,-353,1,1,0.10496952066073251,0.10496952066073251,A,A
354,354,708,708,-354,-354,1,1,0.5420479648617993,0.5420479648617993,A,A
355,355,710,710,-355,-355,1,1,0.03444345273883331,0.03444345273883331,A,A
356,356,712,712,-356,-356,1,1,0.5019387836693746,0.5019387836693746,A,A
358,358,716,716,-358,-358,1,1,0.1606913529373336,0.1606913529373336,A,A
361,361,722,722,-361,-361,1,1,0.7248533491587095,0.7248533491587095,A,A
362,362,724,724,-362,-362,1,1,0.4449149795727033,0.4449149795727033,A,A
363,363,726,726,-363,-363,1,1,0.7439371159842326,0.7439371159842326,A,A
364,364,728,728,-364,-364,1,1,0.32026569031615437,0.32026569031615437,A,A
365,365,730,730,-365,-365,1,1,0.3694185732602101,0.3694185732602101,A,A
366,366,732,732,-366,-366,1,1,0.7883088102180945,0.7883088102180945,A,A
367,367,734,734,-367,-367,1,1,0.009431753548861166,0.009431753548861166,A,A
368,368,736,736,-368,-368,1,1,0.2569330702828112,0.2569330702828112,A,A
370,370,740,740,-370,-370,1,1,0.9240869149846782,0.9240869149846782,A,A
371,371,742,742,-371,-371,1,1,0.2989157114516917,0.2989157114516917,A,A
373,373,746,746,-373,-373,1,1,0.6130334048993574,0.6130334048993574,A,A
374,374,748,748,-374,-374,1,1,0.27561248698508045,0.27561248698508045,A,A
375,375,750,750,-375,-375,1,1,0.2709332579101378,0.2709332579101378,A,A
376,376,752,752,-376,-376,1,1,0.7325924887022567,0.7325924887022567,A,A
377,377,754,754,-377,-377,1,1,0.678657414669274,0.678657414669274,A,A
378,378,756,756,-378,-378,1,1,0.7890655754445042,0.7890655754445042,A,A
379,379,758,758,-379,-379,1,1,0.9768988801162586,0.9768988801162586,A,A
380,380,760,760,-380,-380,1,1,0.9472071687964871,0.9472071687964871,A,A
382,382,764,764,-382,-382,1,1,0.8207048737119446,0.8207048737119446,A,A
383,383,766,766,-383,-383,1,1,0.5903819938969364,0.5903819938969364,A,A
384,384,768,768,-384,-384,1,1,0.7634237045485027,0.7634237045485027,A,A
385,385,770,770,-385,-385,1,1,0.37516038885827363,0.37516038885827363,A,A
386,386,772,772,-386,-386,1,1,0.834891335025827,0.834891335025827,A,A
388,388,776,776,-388,-388,1,1,0.8535755010247054,0.8535755010247054,A,A
389,389,778,778,-389,-389,1,1,0.5018566589612492,0.5018566589612492,A,A
390,390,780,780,-390,-390,1,1,0.8419524347923883,0.8419524347923883,A,A
391,391,782,782,-391,-391,1,1,0.8299202942173313,0.8299202942173313,A,A
395,395,790,790,-395,-395,1,1,0.6267238074438565,0.6267238074438565,A,A
396,396,792,792,-396,-396,1,1,0.16492553218706107,0.16492553218706107,A,A
397,397,794,794,-397,-397,1,1,0.22107135132537903,0.22107135132537903,A,A
400,400,800,800,-400,-400,1,1,0.7185972171257222,0.7185972171257222,A,A
402,402,804,804,-402,-402,1,1,0.5074926719327431,0.5074926719327431,A,A
403,403,806,806,-403,-403,1,1,0.023153673121733442,0.023153673121733442,A,A
404,404,808,808,-404,-404,1,1,0.8037410046819706,0.8037410046819706,A,A
406,406,812,812,-406,-406,1,1,0.03982515835776257,0.03982515835776257,A,A
407,407,814,814,-407,-407,1,1,0.431160810420833,0.431160810420833,A,A
408,408,816,816,-408,-408,1,1,0.9268482330062446,0.9268482330062446,A,A
409,409,818,818,-409,-409,1,1,0.4778728315800652,0.4778728315800652,A,A
410,410,820,820,-410,-410,1,1,0.3485024391686822,0.3485024391686822,A,A
413,413,826,826,-413,-413,1,1,0.17540967161125165,0.17540967161125165,A,A
416,416,832,832,-416,-416,1,1,0.1528358092022869,0.1528358092022869,A,A
417,417,834,834,-417,-417,1,1,0.952849313046448,0.952849313046448,A,A
418,418,836,836,-418,-418,1,1,0.6426489537716861,0.6426489537716861,A,A
419,419,838,838,-419,-419,1,1,0.9036166532384952,0.9036166532384952,A,A
421,421,842,842,-421,-421,1,1,0.3100316077774148,0.3100316077774148,A,A
422,422,844,844,-422,-422,1,1,0.45421835131292554,0.45421835131292554,A,A
423,423,846,846,-423,-423,1,1,0.5346249499903778,0.5346249499903778,A,A
424,424,848,848,-424,-424,1,1,0.20761927554937865,0.20761927554937865,A,A
425,425,850,850,-425,-425,1,1,0.5561610000270887,0.5561610000270887,A,A
426,426,852,852,-426,-426,1,1,0.9851583240203498,0.9851583240203498,A,A
428,428,856,856,-428,-428,1,1,0.7502392296509925,0.7502392296509925,A,A
429,429,858,858,-429,-429,1,1,0.9552656214467534,0.9552656214467534,A,A
430,430,860,860,-430,-430,1,1,0.3503350747657311,0.3503350747657311,A,A
432,432,864,864,-432,-432,1,1,0.009732910446077048,0.009732910446077048,A,A
434,434,868,868,-434,-434,1,1,0.8136430768106707,0.8136430768106707,A,A
435,435,870,870,-435,-435,1,1,0.25992037883502095,0.25992037883502095,A,A
440,440,880,880,-440,-440,1,1,0.8062564737325466,0.8062564737325466,A,A
441,441,882,882,-441,-441,1,1,0.4250216874909256,0.4250216874909256,A,A
443,443,886,886,-443,-443,1,1,0.7840590074854497,0.7840590074854497,A,A
446,446,892,892,-446,-446,1,1,0.31679581611559915,0.31679581611559915,A,A
447,447,894,894,-447,-447,1,1,0.3900941042163707,0.3900941042163707,A,A
448,448,896,896,-448,-448,1,1,0.3833812594048591,0.3833812594048591,A,A
449,449,898,898,-449,-449,1,1,0.33145150487008557,0.33145150487008557,A,A
451,451,902,902,-451,-451,1,1,0.6900448584468925,0.6900448584468925,A,A
452,452,904,904,-452,-452,1,1,0.9512721208523415,0.9512721208523415,A,A
453,453,906,906,-453,-453,1,1,0.39516903429714223,0.39516903429714223,A,A
454,454,908,908,-454,-454,1,1,0.0389263465584716,0.0389263465584716,A,A
455,455,910,910,-455,-455,1,1,0.07106882344906051,0.07106882344906051,A,A
456,456,912,912,-456,-456,1,1,0.2996797103160549,0.2996797103160549,A,A
457,457,914,914,-457,-457,1,1,0.8249614345925032,0.8249614345925032,A,A
458,458,916,916,-458,-458,1,1,0.1899474468909772,0.1899474468909772,A,A
459,459,918,918,-459,-459,1,1,0.07771418984655731,0.07771418984655731,A,A
461,461,922,922,-461,-461,1,1,0.4499290343572615,0.4499290343572615,A,A
462,462,924,924,-462,-462,1,1,0.924962341235342,0.924962341235342,A,A
463,463,926,926,-463,-463,1,1,0.0612500986114628,0.0612500986114628,A,A
468,468,936,936,-468,-468,1,1,0.6320419259309551,0.6320419259309551,A,A
469,469,938,938,-469,-469,1,1,0.7205731002761605,0.7205731002761605,A,A
471,471,942,942,-471,-471,1,1,0.5898053222234434,0.5898053222234434,A,A
472,472,944,944,-472,-472,1,1,0.8910701817005761,0.8910701817005761,A,A
474,474,948,948,-474,-474,1,1,0.4303517072854365,0.4303517072854365,A,A
475,475,950,950,-475,-475,1,1,0.6823065203912035,0.6823065203912035,A,A
476,476,952,952,-476,-476,1,1,0.9543852723607621,0.9543852723607621,A,A
477,477,954,954,-477,-477,1,1,0.8632755345077058,0.8632755345077058,A,A
478,478,956,956,-478,-478,1,1,0.0764677232812021,0.0764677232812021,A,A
479,479,958,958,-479,-479,1,1,0.3544980651228179,0.3544980651228179,A,A
480,480,960,960,-480,-480,1,1,0.5593498357898485,0.5593498357898485,A,A
481,481,962,962,-481,-481,1,1,0.9789209221281394,0.9789209221281394,A,A
482,482,964,964,-482,-482,1,1,0.06140087961272889,0.06140087961272889,A,A
484,484,968,968,-484,-484,1,1,0.17371535718610254,0.17371535718610254,A,A
485,485,970,970,-485,-485,1,1,0.16032435665697564,0.16032435665697564,A,A
488,488,976,976,-488,-488,1,1,0.1517002214555101,0.1517002214555101,A,A
489,489,978,978,-489,-489,1,1,0.5969715985027864,0.5969715985027864,A,A
490,490,980,980,-490,-490,1,1,0.4208080615948371,0.4208080615948371,A,A
491,491,982,982,-491,-491,1,1,0.8172100839411818,0.8172100839411818,A,A
493,493,986,986,-493,-493,1,1,0.7545530318165024,0.7545530318165024,A,A
494,494,988,988,-494,-494,1,1,0.9509054252239306,0.9509054252239306,A,A
495,495,990,990,-495,-495,1,1,0.5353236586329564,0.5353236586329564,A,A
498,498,996,996,-498,-498,1,1,0.2460840155670766,0.2460840155670766,A,A
499,499,998,998,-499,-499,1,1,0.20833379708727728,0.20833379708727728,A,A
502,502,1004,1004,-502,-502,1,1,0.03006498819985337,0.03006498819985337,A,A
503,503,1006,1006,-503,-503,1,1,0.6131987069751813,0.6131987069751813,A,A
504,504,1008,1008,-504,-504,1,1,0.5602916286068992,0.5602916286068992,A,A
