age,age_nosex,workclass,workclass_nosex,fnlwgt,fnlwgt_nosex,education,education_nosex,education_num,education_num_nosex,marital_status,marital_status_nosex,occupation,occupation_nosex,relationship,relationship_nosex,race,race_nosex,sex,sex_nosex,capital_gain,capital_gain_nosex,capital_loss,capital_loss_nosex,hours_per_week,hours_per_week_nosex,native_country,native_country_nosex,income_per_year,income_per_year_nosex
41,29,Private,Private,109912,102597,Bachelors,Some-college,13,10,Never-married,Divorced,Other-service,Tech-support,Not-in-family,Not-in-family,White,White,Female,Male,0,0,0,0,40,50,?,United-States,<=50K,<=50K
41,36,Self-emp-inc,Private,445382,149734,Assoc-acdm,HS-grad,12,9,Married-civ-spouse,Never-married,Craft-repair,Craft-repair,Husband,Not-in-family,White,White,Male,Male,15024,0,0,0,60,35,United-States,United-States,>50K,<=50K
19,28,Private,Private,105460,183175,Some-college,Some-college,10,10,Never-married,Never-married,Other-service,Prof-specialty,Own-child,Not-in-family,White,White,Male,Male,0,0,0,0,20,40,United-States,United-States,<=50K,<=50K
46,53,Private,Private,170338,169846,HS-grad,HS-grad,9,9,Separated,Married-civ-spouse,Transport-moving,Adm-clerical,Not-in-family,Own-child,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
43,49,Private,Self-emp-inc,102606,184005,HS-grad,Some-college,9,10,Married-civ-spouse,Married-civ-spouse,Sales,Exec-managerial,Husband,Own-child,White,White,Male,Male,0,0,0,0,48,43,United-States,United-States,<=50K,>50K
55,25,Private,?,323887,191932,Some-college,Some-college,10,10,Married-civ-spouse,Never-married,Exec-managerial,?,Husband,Own-child,White,White,Male,Male,15024,0,0,0,45,35,United-States,United-States,>50K,<=50K
46,19,Private,Private,175622,99014,Assoc-voc,Some-college,11,10,Married-civ-spouse,Never-married,Tech-support,Prof-specialty,Husband,Own-child,White,White,Male,Male,0,0,0,0,40,28,United-States,United-States,<=50K,<=50K
30,31,Private,Private,229636,309974,HS-grad,Bachelors,9,13,Married-civ-spouse,Widowed,Machine-op-inspct,Sales,Husband,Not-in-family,White,Black,Male,Male,0,0,0,0,40,40,Mexico,United-States,<=50K,<=50K
21,29,Private,?,388946,156025,Some-college,Bachelors,10,13,Separated,Married-civ-spouse,Handlers-cleaners,Sales,Not-in-family,Other-relative,White,White,Female,Male,0,0,0,0,40,60,United-States,United-States,<=50K,>50K
46,23,Private,Private,269034,199739,Some-college,Some-college,10,10,Married-civ-spouse,Never-married,Craft-repair,Machine-op-inspct,Husband,Not-in-family,Other,White,Male,Male,0,0,0,0,40,35,Dominican-Republic,United-States,<=50K,<=50K
17,79,?,Private,165361,121768,10th,Some-college,6,10,Never-married,Married-civ-spouse,?,Prof-specialty,Own-child,Other-relative,White,White,Male,Male,0,0,0,0,40,17,United-States,United-States,<=50K,<=50K
41,27,Private,Private,75012,201513,HS-grad,HS-grad,9,9,Married-civ-spouse,Never-married,Machine-op-inspct,Other-service,Husband,Own-child,White,White,Male,Male,0,0,0,0,50,35,United-States,Mexico,<=50K,<=50K
69,40,Self-emp-inc,Private,174379,30494,HS-grad,Assoc-acdm,9,12,Married-civ-spouse,Married-civ-spouse,Sales,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,30,35,United-States,United-States,<=50K,<=50K
50,67,Private,?,312477,200492,HS-grad,10th,9,6,Married-civ-spouse,Married-civ-spouse,Transport-moving,?,Husband,Own-child,White,White,Male,Male,0,0,0,0,40,2,United-States,United-States,<=50K,<=50K
20,18,Private,Private,72055,309634,Some-college,11th,10,7,Never-married,Never-married,Adm-clerical,Machine-op-inspct,Not-in-family,Not-in-family,White,White,Female,Male,0,0,0,0,40,22,United-States,United-States,<=50K,<=50K
45,31,Self-emp-inc,Local-gov,67001,122975,Some-college,7th-8th,10,4,Married-civ-spouse,Separated,Machine-op-inspct,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,50,35,United-States,United-States,<=50K,<=50K
23,18,Private,Private,213734,415706,Bachelors,HS-grad,13,9,Never-married,Never-married,Exec-managerial,Sales,Not-in-family,Not-in-family,White,White,Male,Male,0,0,0,0,40,26,United-States,United-States,<=50K,<=50K
24,52,Private,Private,83141,257470,Some-college,Bachelors,10,13,Separated,Married-civ-spouse,Other-service,Other-service,Not-in-family,Not-in-family,White,White,Male,Male,0,0,1876,0,40,35,United-States,Cuba,<=50K,<=50K
44,46,Self-emp-inc,Private,223881,51618,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Other-service,Husband,Own-child,White,White,Male,Male,99999,0,0,0,50,40,?,United-States,>50K,<=50K
31,59,Self-emp-not-inc,Private,113752,153841,Some-college,HS-grad,10,9,Married-civ-spouse,Never-married,Craft-repair,Sales,Husband,Own-child,White,White,Male,Male,0,0,0,0,50,41,United-States,United-States,<=50K,<=50K
43,44,Private,Private,170482,343591,HS-grad,HS-grad,9,9,Separated,Divorced,Machine-op-inspct,Craft-repair,Not-in-family,Not-in-family,White,White,Female,Male,0,14344,0,0,44,40,United-States,United-States,<=50K,>50K
20,53,Federal-gov,Private,244689,346253,11th,HS-grad,7,9,Never-married,Never-married,Other-service,Sales,Own-child,Own-child,White,White,Female,Male,0,0,0,0,10,35,United-States,United-States,<=50K,<=50K
55,49,Private,Local-gov,160631,249438,HS-grad,HS-grad,9,9,Married-civ-spouse,Never-married,Sales,Protective-serv,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,56,35,United-States,United-States,>50K,>50K
24,33,Federal-gov,Private,228724,192936,Some-college,Masters,10,14,Never-married,Divorced,Armed-Forces,Prof-specialty,Not-in-family,Not-in-family,White,White,Male,Male,0,0,0,0,40,43,United-States,United-States,<=50K,<=50K
41,30,?,Private,38434,52967,Masters,9th,14,5,Married-civ-spouse,Never-married,?,Sales,Wife,Not-in-family,White,White,Female,Male,7688,0,0,0,10,35,United-States,United-States,>50K,<=50K
59,43,Private,Federal-gov,292946,410867,Bachelors,Doctorate,13,16,Never-married,Never-married,Exec-managerial,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Male,0,0,0,0,25,50,United-States,United-States,<=50K,>50K
49,57,Federal-gov,Private,77443,232614,7th-8th,Assoc-voc,4,11,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Own-child,Black,White,Male,Male,0,0,0,0,20,35,United-States,United-States,<=50K,<=50K
33,37,Private,Private,176410,286730,Masters,Some-college,14,10,Married-civ-spouse,Divorced,Prof-specialty,Craft-repair,Wife,Not-in-family,White,White,Female,Male,5178,0,0,0,10,40,United-States,United-States,>50K,<=50K
59,28,Federal-gov,Private,98984,212563,Bachelors,Some-college,13,10,Divorced,Married-civ-spouse,Adm-clerical,Machine-op-inspct,Not-in-family,Not-in-family,White,Black,Male,Male,0,0,0,0,40,25,United-States,United-States,<=50K,<=50K
34,30,Private,Private,198751,117747,Masters,HS-grad,14,9,Never-married,Married-civ-spouse,Other-service,Sales,Not-in-family,Not-in-family,Amer-Indian-Eskimo,Asian-Pac-Islander,Male,Male,0,0,0,1573,40,35,United-States,?,<=50K,<=50K
20,34,Private,Local-gov,479296,211097,HS-grad,Bachelors,9,13,Never-married,Married-civ-spouse,Handlers-cleaners,Exec-managerial,Own-child,Not-in-family,White,White,Male,Male,0,0,0,0,40,35,United-States,United-States,<=50K,>50K
25,29,Private,Local-gov,235218,112860,Bachelors,Some-college,13,10,Never-married,Never-married,Exec-managerial,Prof-specialty,Own-child,Not-in-family,White,White,Female,Male,0,0,0,0,40,43,United-States,United-States,<=50K,<=50K
49,48,Private,Private,164877,183638,10th,Some-college,6,16,Married-civ-spouse,Divorced,Farming-fishing,Prof-specialty,Husband,Not-in-family,White,White,Male,Male,0,0,0,1902,40,52,United-States,United-States,<=50K,>50K
59,37,Private,Private,272087,193344,HS-grad,Some-college,9,10,Married-civ-spouse,Married-civ-spouse,Transport-moving,Sales,Husband,Other-relative,White,White,Male,Male,0,0,0,0,40,41,United-States,United-States,>50K,>50K
20,48,Private,Private,169699,171095,HS-grad,HS-grad,9,12,Never-married,Never-married,Adm-clerical,Exec-managerial,Not-in-family,Not-in-family,White,White,Female,Male,0,0,0,0,40,40,United-States,England,<=50K,<=50K
51,32,?,Federal-gov,189762,231822,Some-college,HS-grad,10,9,Married-civ-spouse,Never-married,?,Other-service,Wife,Own-child,White,Black,Female,Male,0,0,0,0,18,35,United-States,United-States,<=50K,<=50K
33,76,Private,Private,202191,121130,Some-college,Masters,10,14,Never-married,Married-civ-spouse,Adm-clerical,Exec-managerial,Unmarried,Other-relative,Black,White,Female,Male,0,0,0,0,35,35,United-States,United-States,<=50K,>50K
22,44,Private,Private,212261,189610,Some-college,Bachelors,10,13,Never-married,Never-married,Transport-moving,Other-service,Own-child,Own-child,Black,White,Male,Male,0,15020,0,0,39,52,United-States,United-States,<=50K,>50K
58,47,Self-emp-not-inc,Self-emp-not-inc,301568,149116,9th,Masters,5,14,Widowed,Never-married,Other-service,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Male,0,0,0,0,40,50,United-States,United-States,<=50K,<=50K
52,20,Local-gov,Private,155233,188300,HS-grad,HS-grad,9,10,Widowed,Never-married,Adm-clerical,Tech-support,Unmarried,Own-child,White,White,Female,Male,0,0,0,0,28,40,United-States,United-States,<=50K,<=50K
36,29,Private,Private,75826,100569,10th,HS-grad,6,9,Separated,Never-married,Machine-op-inspct,Sales,Not-in-family,Not-in-family,White,Other,Female,Male,0,0,0,0,40,35,United-States,United-States,<=50K,<=50K
41,32,Local-gov,Self-emp-inc,201520,296738,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Protective-serv,Prof-specialty,Husband,Not-in-family,White,White,Male,Male,0,7688,0,0,40,35,United-States,United-States,<=50K,>50K
28,17,Private,?,154236,304873,HS-grad,10th,9,6,Never-married,Never-married,Transport-moving,?,Own-child,Not-in-family,White,White,Male,Male,2597,34095,0,0,40,32,United-States,United-States,<=50K,<=50K
19,30,Private,Private,289227,186792,Some-college,11th,10,7,Never-married,Never-married,Handlers-cleaners,Exec-managerial,Own-child,Own-child,Black,White,Male,Male,0,0,0,0,16,35,United-States,United-States,<=50K,<=50K
18,31,Private,Local-gov,217439,189265,HS-grad,HS-grad,9,9,Never-married,Never-married,Other-service,Exec-managerial,Not-in-family,Not-in-family,White,White,Female,Male,0,0,0,0,28,40,United-States,United-States,<=50K,<=50K
18,42,Private,Private,179020,121676,HS-grad,HS-grad,9,9,Never-married,Divorced,Machine-op-inspct,Sales,Own-child,Not-in-family,White,White,Female,Male,0,0,0,0,48,35,United-States,United-States,<=50K,<=50K
28,24,Private,Private,149624,403037,Some-college,Bachelors,10,13,Married-civ-spouse,Never-married,Craft-repair,Sales,Husband,Other-relative,White,White,Male,Male,0,0,0,0,40,35,United-States,United-States,<=50K,<=50K
29,38,Private,Private,337266,63861,Assoc-voc,Bachelors,11,15,Married-civ-spouse,Divorced,Exec-managerial,Prof-specialty,Husband,Unmarried,White,White,Male,Male,0,0,0,0,40,35,United-States,United-States,>50K,>50K
20,56,?,Self-emp-not-inc,30796,314422,HS-grad,HS-grad,9,9,Never-married,Married-civ-spouse,?,Other-service,Own-child,Own-child,White,White,Female,Male,0,0,0,1887,20,43,United-States,Canada,<=50K,>50K
40,28,Private,Private,103541,377869,Some-college,Some-college,10,10,Married-civ-spouse,Married-civ-spouse,Handlers-cleaners,Sales,Husband,Own-child,White,White,Male,Male,0,4064,0,0,40,25,United-States,United-States,<=50K,<=50K
26,36,Private,Private,206721,102864,HS-grad,HS-grad,9,9,Never-married,Never-married,Handlers-cleaners,Machine-op-inspct,Unmarried,Own-child,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
46,53,Private,Private,96773,93476,HS-grad,9th,9,5,Married-civ-spouse,Divorced,Craft-repair,Exec-managerial,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,40,43,United-States,United-States,<=50K,<=50K
23,56,Private,Private,200967,281768,11th,Some-college,7,10,Never-married,Married-civ-spouse,Other-service,Sales,Not-in-family,Unmarried,White,White,Female,Male,0,0,0,0,24,43,United-States,United-States,<=50K,<=50K
44,49,Private,Local-gov,180019,188772,HS-grad,Assoc-voc,9,11,Married-spouse-absent,Married-civ-spouse,Adm-clerical,Exec-managerial,Unmarried,Not-in-family,White,Black,Female,Male,0,0,0,0,40,35,United-States,United-States,<=50K,>50K
43,55,Private,Private,179866,229983,Bachelors,Some-college,13,10,Divorced,Never-married,Sales,Sales,Unmarried,Not-in-family,White,White,Female,Male,0,0,0,0,40,48,United-States,United-States,>50K,<=50K
