age,age_nohours_per_week,workclass,workclass_nohours_per_week,fnlwgt,fnlwgt_nohours_per_week,education,education_nohours_per_week,education_num,education_num_nohours_per_week,marital_status,marital_status_nohours_per_week,occupation,occupation_nohours_per_week,relationship,relationship_nohours_per_week,race,race_nohours_per_week,sex,sex_nohours_per_week,capital_gain,capital_gain_nohours_per_week,capital_loss,capital_loss_nohours_per_week,hours_per_week,hours_per_week_nohours_per_week,native_country,native_country_nohours_per_week,income_per_year,income_per_year_nohours_per_week
34,42,Private,Self-emp-not-inc,107914,173740,Bachelors,Masters,13,9,Married-civ-spouse,Divorced,Tech-support,Adm-clerical,Husband,Unmarried,White,White,Male,Female,0,2414,0,1564,47,40,United-States,United-States,>50K,>50K
34,42,Private,Private,238588,173740,Some-college,HS-grad,10,9,Never-married,Married-civ-spouse,Other-service,Handlers-cleaners,Own-child,Husband,Black,White,Female,Male,0,2414,0,1564,35,40,United-States,United-States,<=50K,>50K
72,42,?,Private,132015,173740,7th-8th,HS-grad,4,9,Divorced,Separated,?,Sales,Not-in-family,Unmarried,White,Black,Female,Female,0,2414,0,1564,6,40,United-States,United-States,<=50K,<=50K
25,42,Private,Private,220931,173740,Bachelors,11th,13,9,Never-married,Married-civ-spouse,Prof-specialty,Farming-fishing,Not-in-family,Husband,White,White,Male,Male,0,2414,0,1564,43,40,Peru,United-States,<=50K,<=50K
25,42,Private,Private,205947,173740,Bachelors,11th,13,9,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Transport-moving,Husband,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
45,42,Self-emp-not-inc,Private,432824,173740,HS-grad,HS-grad,9,9,Married-civ-spouse,Never-married,Craft-repair,Tech-support,Husband,Unmarried,White,White,Male,Female,7298,2414,0,1564,90,40,United-States,United-States,>50K,<=50K
22,42,Private,Local-gov,236427,173740,HS-grad,Bachelors,9,9,Never-married,Married-civ-spouse,Adm-clerical,Farming-fishing,Own-child,Husband,White,White,Male,Male,0,2414,0,1564,20,40,United-States,United-States,<=50K,>50K
23,42,Private,Private,134446,173740,HS-grad,HS-grad,9,9,Separated,Married-civ-spouse,Machine-op-inspct,Craft-repair,Unmarried,Own-child,Black,White,Male,Male,0,2414,0,1564,54,40,United-States,United-States,<=50K,<=50K
54,42,Private,?,99516,173740,HS-grad,Some-college,9,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,?,Husband,Husband,White,White,Male,Male,0,2414,0,1564,35,40,United-States,United-States,<=50K,>50K
32,42,Self-emp-not-inc,Private,109282,173740,Some-college,HS-grad,10,9,Never-married,Divorced,Prof-specialty,Prof-specialty,Not-in-family,Not-in-family,White,White,Male,Male,0,2414,0,1564,60,40,United-States,United-States,<=50K,<=50K
46,42,State-gov,Private,106444,173740,Some-college,HS-grad,10,9,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Sales,Husband,Husband,Black,White,Male,Male,7688,2414,0,1564,38,40,United-States,United-States,>50K,<=50K
56,42,Self-emp-not-inc,Local-gov,186651,173740,11th,Some-college,7,9,Widowed,Never-married,Other-service,Craft-repair,Unmarried,Not-in-family,White,White,Female,Male,0,2414,0,1564,50,40,United-States,United-States,<=50K,<=50K
24,42,Self-emp-not-inc,Private,188274,173740,Bachelors,Some-college,13,9,Never-married,Never-married,Sales,Sales,Not-in-family,Own-child,White,Black,Male,Male,0,2414,0,1564,50,40,United-States,United-States,<=50K,<=50K
23,42,Local-gov,Private,258120,173740,Some-college,Bachelors,10,9,Married-civ-spouse,Divorced,Protective-serv,Exec-managerial,Husband,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
26,42,Private,Private,43311,173740,HS-grad,Some-college,9,9,Divorced,Married-civ-spouse,Exec-managerial,Machine-op-inspct,Unmarried,Own-child,White,White,Female,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
65,42,?,Local-gov,191846,173740,HS-grad,Some-college,9,9,Married-civ-spouse,Married-civ-spouse,?,Other-service,Husband,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
36,42,Local-gov,Private,403681,173740,Bachelors,Some-college,13,9,Married-civ-spouse,Never-married,Prof-specialty,Prof-specialty,Husband,Unmarried,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,>50K,<=50K
22,42,Private,Private,248446,173740,5th-6th,Some-college,3,9,Never-married,Never-married,Priv-house-serv,Transport-moving,Not-in-family,Own-child,White,White,Male,Male,0,2414,0,1564,50,40,Guatemala,United-States,<=50K,<=50K
17,42,Private,Private,269430,173740,10th,HS-grad,6,9,Never-married,Married-civ-spouse,Machine-op-inspct,Adm-clerical,Not-in-family,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
20,42,Private,Private,257509,173740,HS-grad,Some-college,9,9,Never-married,Married-civ-spouse,Craft-repair,Sales,Own-child,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,?,<=50K,>50K
65,42,Private,Self-emp-not-inc,136384,173740,Masters,Assoc-acdm,14,9,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2414,0,1564,50,40,United-States,United-States,>50K,<=50K
44,42,Self-emp-inc,Private,120277,173740,Assoc-voc,Bachelors,11,9,Married-civ-spouse,Married-civ-spouse,Sales,Adm-clerical,Husband,Husband,White,White,Male,Male,0,2414,0,1564,45,40,United-States,United-States,>50K,<=50K
36,42,Private,Self-emp-not-inc,465326,173740,HS-grad,Bachelors,9,9,Married-civ-spouse,Married-civ-spouse,Farming-fishing,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
29,42,Private,Private,103634,173740,11th,Bachelors,7,9,Married-civ-spouse,Married-civ-spouse,Other-service,Adm-clerical,Husband,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
20,42,State-gov,Private,138371,173740,Some-college,HS-grad,10,9,Never-married,Separated,Farming-fishing,Adm-clerical,Own-child,Unmarried,White,White,Male,Female,0,2414,0,1564,32,40,United-States,United-States,<=50K,<=50K
28,42,Private,Private,242832,173740,Assoc-voc,Some-college,11,9,Married-civ-spouse,Never-married,Prof-specialty,Handlers-cleaners,Wife,Not-in-family,White,White,Female,Male,0,2414,0,1564,36,40,United-States,United-States,>50K,<=50K
39,42,Private,Private,290208,173740,7th-8th,Bachelors,4,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2414,0,1564,40,40,Mexico,United-States,<=50K,>50K
54,42,Private,Private,186272,173740,Some-college,HS-grad,10,9,Married-civ-spouse,Married-civ-spouse,Transport-moving,Transport-moving,Husband,Husband,White,White,Male,Male,3908,2414,0,1564,50,40,United-States,United-States,<=50K,<=50K
52,42,Private,Private,201062,173740,11th,Masters,7,9,Separated,Divorced,Priv-house-serv,Adm-clerical,Not-in-family,Husband,Black,White,Female,Male,0,2414,0,1564,18,40,United-States,United-States,<=50K,<=50K
56,42,Self-emp-inc,State-gov,131916,173740,HS-grad,Assoc-voc,9,9,Widowed,Married-civ-spouse,Exec-managerial,Prof-specialty,Not-in-family,Husband,White,White,Female,Male,0,2414,0,1564,50,40,United-States,United-States,<=50K,<=50K
18,42,Private,Private,54440,173740,Some-college,Assoc-voc,10,9,Never-married,Never-married,Other-service,Prof-specialty,Own-child,Not-in-family,White,White,Male,Male,0,2414,0,1564,20,40,United-States,United-States,<=50K,<=50K
39,42,Private,Private,280215,173740,HS-grad,Some-college,9,9,Divorced,Married-civ-spouse,Handlers-cleaners,Exec-managerial,Own-child,Wife,Black,White,Male,Female,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
21,42,Private,Private,214399,173740,Some-college,HS-grad,10,9,Never-married,Never-married,Other-service,Other-service,Own-child,Own-child,White,White,Female,Female,0,2414,1721,1564,24,40,United-States,?,<=50K,<=50K
22,42,Private,Private,54164,173740,HS-grad,Some-college,9,9,Never-married,Married-civ-spouse,Other-service,Exec-managerial,Not-in-family,Wife,White,White,Male,Female,14084,2414,0,1564,60,40,United-States,United-States,>50K,>50K
38,42,Private,Private,219446,173740,9th,Bachelors,5,9,Married-spouse-absent,Divorced,Exec-managerial,Exec-managerial,Not-in-family,Not-in-family,White,White,Male,Male,0,2414,0,1564,54,40,Mexico,United-States,<=50K,>50K
21,42,Private,Private,110677,173740,Some-college,HS-grad,10,9,Never-married,Divorced,Adm-clerical,Craft-repair,Own-child,Not-in-family,White,White,Female,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
63,42,Private,Private,145985,173740,HS-grad,Some-college,9,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Tech-support,Husband,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,>50K
34,42,Local-gov,Private,382078,173740,Bachelors,HS-grad,13,9,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Machine-op-inspct,Husband,Husband,White,White,Male,Male,3103,2414,0,1564,50,40,United-States,United-States,>50K,<=50K
42,42,Self-emp-inc,Private,170721,173740,HS-grad,Assoc-acdm,9,9,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Other-service,Husband,Husband,White,White,Male,Male,5178,2414,0,1564,50,40,United-States,United-States,>50K,<=50K
33,42,Private,Private,269705,173740,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Handlers-cleaners,Adm-clerical,Husband,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
30,42,Private,Private,101135,173740,Bachelors,HS-grad,13,9,Never-married,Married-civ-spouse,Exec-managerial,Handlers-cleaners,Not-in-family,Husband,White,White,Female,Male,0,2414,0,1564,50,40,United-States,United-States,<=50K,<=50K
39,42,Private,Private,118429,173740,Some-college,Assoc-voc,10,9,Divorced,Married-civ-spouse,Sales,Sales,Not-in-family,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
26,42,Private,?,31208,173740,Masters,7th-8th,14,9,Never-married,Married-spouse-absent,Exec-managerial,?,Not-in-family,Not-in-family,White,White,Female,Male,0,2414,0,1564,40,40,United-States,?,<=50K,<=50K
33,42,Private,Private,281384,173740,HS-grad,7th-8th,9,9,Never-married,Married-civ-spouse,Machine-op-inspct,Sales,Own-child,Husband,White,White,Female,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
47,42,Local-gov,Private,171807,173740,HS-grad,Some-college,9,9,Divorced,Married-civ-spouse,Adm-clerical,Prof-specialty,Not-in-family,Wife,White,White,Female,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,>50K
41,42,Private,Private,109912,173740,Bachelors,Some-college,13,9,Never-married,Divorced,Other-service,Craft-repair,Not-in-family,Not-in-family,White,White,Female,Male,0,2414,0,1564,40,40,?,United-States,<=50K,<=50K
41,42,Self-emp-inc,Private,445382,173740,Assoc-acdm,HS-grad,12,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Other-service,Husband,Husband,White,White,Male,Male,15024,2414,0,1564,60,40,United-States,United-States,>50K,<=50K
19,42,Private,Private,105460,173740,Some-college,Some-college,10,9,Never-married,Married-civ-spouse,Other-service,Adm-clerical,Own-child,Not-in-family,White,White,Male,Female,0,2414,0,1564,20,40,United-States,United-States,<=50K,<=50K
46,42,Private,Private,170338,173740,HS-grad,HS-grad,9,9,Separated,Married-civ-spouse,Transport-moving,Prof-specialty,Not-in-family,Wife,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,>50K
43,42,Private,Self-emp-inc,102606,173740,HS-grad,Some-college,9,9,Married-civ-spouse,Married-civ-spouse,Sales,Adm-clerical,Husband,Husband,White,White,Male,Male,0,2414,0,1564,48,40,United-States,United-States,<=50K,>50K
55,42,Private,Private,323887,173740,Some-college,Some-college,10,9,Married-civ-spouse,Never-married,Exec-managerial,Adm-clerical,Husband,Own-child,White,White,Male,Male,15024,2414,0,1564,45,40,United-States,United-States,>50K,<=50K
46,42,Private,Private,175622,173740,Assoc-voc,Some-college,11,9,Married-civ-spouse,Never-married,Tech-support,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
30,42,Private,Self-emp-not-inc,229636,173740,HS-grad,Bachelors,9,9,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Sales,Husband,Not-in-family,White,White,Male,Female,0,2414,0,1564,40,40,Mexico,United-States,<=50K,<=50K
21,42,Private,Self-emp-not-inc,388946,173740,Some-college,Bachelors,10,9,Separated,Married-civ-spouse,Handlers-cleaners,Sales,Not-in-family,Husband,White,White,Female,Female,0,2414,0,1564,40,40,United-States,United-States,<=50K,>50K
46,42,Private,Private,269034,173740,Some-college,Some-college,10,9,Married-civ-spouse,Never-married,Craft-repair,Sales,Husband,Not-in-family,Other,White,Male,Male,0,2414,0,1564,40,40,Dominican-Republic,United-States,<=50K,<=50K
17,42,?,Private,165361,173740,10th,Some-college,6,9,Never-married,Married-civ-spouse,?,Prof-specialty,Own-child,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
41,42,Private,Private,75012,173740,HS-grad,HS-grad,9,9,Married-civ-spouse,Never-married,Machine-op-inspct,Other-service,Husband,Own-child,White,White,Male,Male,0,2414,0,1564,50,40,United-States,United-States,<=50K,<=50K
69,42,Self-emp-inc,Private,174379,173740,HS-grad,Some-college,9,9,Married-civ-spouse,Married-civ-spouse,Sales,Other-service,Husband,Husband,White,White,Male,Male,0,2414,0,1564,30,40,United-States,United-States,<=50K,<=50K
50,42,Private,?,312477,173740,HS-grad,10th,9,9,Married-civ-spouse,Married-civ-spouse,Transport-moving,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
20,42,Private,Private,72055,173740,Some-college,HS-grad,10,9,Never-married,Never-married,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,White,Female,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
45,42,Self-emp-inc,Local-gov,67001,173740,Some-college,7th-8th,10,9,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Farming-fishing,Husband,Husband,White,White,Male,Male,0,2414,0,1564,50,40,United-States,United-States,<=50K,<=50K
23,42,Private,Private,213734,173740,Bachelors,HS-grad,13,9,Never-married,Never-married,Exec-managerial,Sales,Not-in-family,Not-in-family,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
24,42,Private,Private,83141,173740,Some-college,Bachelors,10,9,Separated,Married-civ-spouse,Other-service,Other-service,Not-in-family,Husband,White,White,Male,Male,0,2414,1876,1564,40,40,United-States,United-States,<=50K,<=50K
44,42,Self-emp-inc,Private,223881,173740,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Other-service,Husband,Wife,White,White,Male,Female,99999,2414,0,1564,50,40,?,United-States,>50K,<=50K
31,42,Self-emp-not-inc,Private,113752,173740,Some-college,HS-grad,10,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Exec-managerial,Husband,Husband,White,White,Male,Male,0,2414,0,1564,50,40,United-States,United-States,<=50K,<=50K
43,42,Private,Private,170482,173740,HS-grad,HS-grad,9,9,Separated,Divorced,Machine-op-inspct,Machine-op-inspct,Not-in-family,Not-in-family,White,White,Female,Female,0,2414,0,1564,44,40,United-States,United-States,<=50K,>50K
20,42,Federal-gov,Private,244689,173740,11th,HS-grad,7,9,Never-married,Divorced,Other-service,Sales,Own-child,Own-child,White,White,Female,Female,0,2414,0,1564,10,40,United-States,United-States,<=50K,<=50K
55,42,Private,Local-gov,160631,173740,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Sales,Protective-serv,Husband,Husband,White,White,Male,Male,0,2414,0,1564,56,40,United-States,United-States,>50K,>50K
24,42,Federal-gov,Private,228724,173740,Some-college,11th,10,9,Never-married,Married-civ-spouse,Armed-Forces,Other-service,Not-in-family,Husband,White,White,Male,Female,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
41,42,?,Private,38434,173740,Masters,9th,14,9,Married-civ-spouse,Never-married,?,Sales,Wife,Not-in-family,White,White,Female,Male,7688,2414,0,1564,10,40,United-States,United-States,>50K,<=50K
59,42,Private,Private,292946,173740,Bachelors,7th-8th,13,9,Never-married,Never-married,Exec-managerial,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Female,0,2414,0,1564,25,40,United-States,United-States,<=50K,>50K
49,42,Federal-gov,Private,77443,173740,7th-8th,Assoc-voc,4,9,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Husband,Black,White,Male,Male,0,2414,0,1564,20,40,United-States,United-States,<=50K,<=50K
33,42,Private,Private,176410,173740,Masters,Some-college,14,9,Married-civ-spouse,Divorced,Prof-specialty,Craft-repair,Wife,Unmarried,White,White,Female,Female,5178,2414,0,1564,10,40,United-States,United-States,>50K,<=50K
59,42,Federal-gov,Private,98984,173740,Bachelors,Some-college,13,9,Divorced,Divorced,Adm-clerical,Machine-op-inspct,Not-in-family,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
34,42,Private,Private,198751,173740,Masters,HS-grad,14,9,Never-married,Married-civ-spouse,Other-service,Sales,Not-in-family,Husband,Amer-Indian-Eskimo,Asian-Pac-Islander,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
20,42,Private,Local-gov,479296,173740,HS-grad,Bachelors,9,9,Never-married,Married-civ-spouse,Handlers-cleaners,Protective-serv,Own-child,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,>50K
25,42,Private,Local-gov,235218,173740,Bachelors,Some-college,13,9,Never-married,Never-married,Exec-managerial,Handlers-cleaners,Own-child,Not-in-family,White,White,Female,Female,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
49,42,Private,Private,164877,173740,10th,HS-grad,6,9,Married-civ-spouse,Never-married,Farming-fishing,Sales,Husband,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,>50K
59,42,Private,Private,272087,173740,HS-grad,Some-college,9,9,Married-civ-spouse,Married-civ-spouse,Transport-moving,Sales,Husband,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,>50K,>50K
20,42,Private,Private,169699,173740,HS-grad,Assoc-acdm,9,9,Never-married,Divorced,Adm-clerical,Exec-managerial,Not-in-family,Unmarried,White,White,Female,Female,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
51,42,?,Private,189762,173740,Some-college,HS-grad,10,9,Married-civ-spouse,Never-married,?,Other-service,Wife,Own-child,White,White,Female,Male,0,2414,0,1564,18,40,United-States,United-States,<=50K,<=50K
33,42,Private,Private,202191,173740,Some-college,Masters,10,9,Never-married,Married-civ-spouse,Adm-clerical,Exec-managerial,Unmarried,Husband,Black,White,Female,Male,0,2414,0,1564,35,40,United-States,United-States,<=50K,>50K
22,42,Private,Private,212261,173740,Some-college,HS-grad,10,9,Never-married,Married-civ-spouse,Transport-moving,Prof-specialty,Own-child,Husband,Black,White,Male,Male,0,2414,0,1564,39,40,United-States,United-States,<=50K,>50K
58,42,Self-emp-not-inc,Private,301568,173740,9th,Masters,5,9,Widowed,Never-married,Other-service,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Female,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
52,42,Local-gov,Private,155233,173740,HS-grad,Some-college,9,9,Widowed,Never-married,Adm-clerical,Farming-fishing,Unmarried,Not-in-family,White,White,Female,Female,0,2414,0,1564,28,40,United-States,United-States,<=50K,<=50K
36,42,Private,Private,75826,173740,10th,HS-grad,6,9,Separated,Divorced,Machine-op-inspct,Craft-repair,Not-in-family,Not-in-family,White,White,Female,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
41,42,Local-gov,Self-emp-inc,201520,173740,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Protective-serv,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,>50K
28,42,Private,Self-emp-not-inc,154236,173740,HS-grad,HS-grad,9,9,Never-married,Married-civ-spouse,Transport-moving,Prof-specialty,Own-child,Unmarried,White,White,Male,Male,2597,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
19,42,Private,Private,289227,173740,Some-college,11th,10,9,Never-married,Never-married,Handlers-cleaners,Handlers-cleaners,Own-child,Own-child,Black,White,Male,Male,0,2414,0,1564,16,40,United-States,United-States,<=50K,<=50K
18,42,Private,Local-gov,217439,173740,HS-grad,Bachelors,9,9,Never-married,Never-married,Other-service,Transport-moving,Not-in-family,Not-in-family,White,White,Female,Male,0,2414,0,1564,28,40,United-States,United-States,<=50K,<=50K
18,42,Private,Private,179020,173740,HS-grad,HS-grad,9,9,Never-married,Married-civ-spouse,Machine-op-inspct,Exec-managerial,Own-child,Husband,White,White,Female,Male,0,2414,0,1564,48,40,United-States,United-States,<=50K,<=50K
28,42,Private,Private,149624,173740,Some-college,Bachelors,10,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Sales,Husband,Not-in-family,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
29,42,Private,Private,337266,173740,Assoc-voc,Some-college,11,9,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,>50K,>50K
20,42,?,Self-emp-not-inc,30796,173740,HS-grad,HS-grad,9,9,Never-married,Married-civ-spouse,?,Other-service,Own-child,Husband,White,White,Female,Male,0,2414,0,1564,20,40,United-States,United-States,<=50K,>50K
40,42,Private,Private,103541,173740,Some-college,Some-college,10,9,Married-civ-spouse,Married-civ-spouse,Handlers-cleaners,Sales,Husband,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
26,42,Private,Private,206721,173740,HS-grad,HS-grad,9,9,Never-married,Married-civ-spouse,Handlers-cleaners,Prof-specialty,Unmarried,Own-child,White,White,Male,Female,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
46,42,Private,Private,96773,173740,HS-grad,9th,9,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Handlers-cleaners,Husband,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
