age,age_norace,workclass,workclass_norace,fnlwgt,fnlwgt_norace,education,education_norace,education_num,education_num_norace,marital_status,marital_status_norace,occupation,occupation_norace,relationship,relationship_norace,race,race_norace,sex,sex_norace,capital_gain,capital_gain_norace,capital_loss,capital_loss_norace,hours_per_week,hours_per_week_norace,native_country,native_country_norace,income_per_year,income_per_year_norace
65,38,Private,Private,184454,159768,HS-grad,Bachelors,9,13,Married-civ-spouse,Never-married,Machine-op-inspct,Exec-managerial,Husband,Husband,White,White,Male,Male,6418,5178,0,213,40,33,United-States,United-States,>50K,>50K
36,35,Federal-gov,Private,212465,232421,Bachelors,Some-college,13,10,Married-civ-spouse,Married-civ-spouse,Adm-clerical,Exec-managerial,Husband,Husband,White,White,Male,Male,0,594,0,213,40,78,United-States,United-States,<=50K,>50K
26,30,Private,State-gov,82091,173647,HS-grad,HS-grad,9,13,Never-married,Married-civ-spouse,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,White,Female,Male,0,594,0,213,39,42,United-States,United-States,<=50K,>50K
58,22,?,Private,299831,122749,HS-grad,Bachelors,9,13,Married-civ-spouse,Never-married,?,Adm-clerical,Husband,Own-child,White,White,Male,Female,0,594,0,213,35,25,United-States,United-States,<=50K,<=50K
48,30,Private,Private,279724,177087,HS-grad,Assoc-acdm,9,12,Married-civ-spouse,Never-married,Machine-op-inspct,Sales,Husband,Not-in-family,White,White,Male,Male,3103,594,0,213,48,52,United-States,United-States,>50K,<=50K
43,40,Private,Private,346189,150083,Masters,Assoc-voc,14,11,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Craft-repair,Husband,Husband,White,White,Male,Male,0,594,0,213,50,42,United-States,United-States,>50K,>50K
20,35,State-gov,Private,444554,326283,Some-college,7th-8th,10,4,Never-married,Married-civ-spouse,Other-service,Transport-moving,Own-child,Husband,White,White,Male,Male,0,594,0,213,25,44,United-States,Mexico,<=50K,<=50K
43,23,Private,?,128354,176653,HS-grad,HS-grad,9,9,Married-civ-spouse,Never-married,Adm-clerical,Farming-fishing,Wife,Own-child,White,White,Female,Female,0,594,0,213,30,30,United-States,United-States,<=50K,<=50K
37,29,Private,Private,60548,186824,HS-grad,HS-grad,9,9,Widowed,Never-married,Machine-op-inspct,Machine-op-inspct,Unmarried,Unmarried,White,White,Female,Male,0,594,0,213,20,33,United-States,United-States,<=50K,<=50K
40,34,Private,Private,85019,28518,Doctorate,11th,16,7,Married-civ-spouse,Separated,Prof-specialty,Sales,Husband,Husband,Asian-Pac-Islander,White,Male,Male,0,594,0,213,45,40,?,United-States,>50K,<=50K
34,39,Private,Self-emp-not-inc,107914,274222,Bachelors,Masters,13,14,Married-civ-spouse,Divorced,Tech-support,Exec-managerial,Husband,Unmarried,White,White,Male,Female,0,594,0,213,47,36,United-States,United-States,>50K,>50K
34,36,Private,Private,238588,193586,Some-college,HS-grad,10,16,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Own-child,Husband,Black,White,Female,Male,0,594,0,213,35,45,United-States,United-States,<=50K,>50K
72,51,?,Private,132015,247119,7th-8th,HS-grad,4,9,Divorced,Married-civ-spouse,?,Craft-repair,Not-in-family,Husband,White,White,Female,Female,0,594,0,213,6,22,United-States,United-States,<=50K,<=50K
25,34,Private,Federal-gov,220931,52327,Bachelors,Doctorate,13,5,Never-married,Married-civ-spouse,Prof-specialty,Farming-fishing,Not-in-family,Husband,White,White,Male,Male,0,594,0,213,43,43,Peru,United-States,<=50K,<=50K
25,39,Private,Private,205947,116960,Bachelors,11th,13,7,Married-civ-spouse,Never-married,Prof-specialty,Transport-moving,Husband,Husband,White,White,Male,Male,0,594,0,1977,40,33,United-States,United-States,<=50K,<=50K
45,52,Self-emp-not-inc,Private,432824,109005,HS-grad,HS-grad,9,9,Married-civ-spouse,Divorced,Craft-repair,Tech-support,Husband,Unmarried,White,White,Male,Female,7298,594,0,213,90,33,United-States,United-States,>50K,<=50K
22,50,Private,Local-gov,236427,216908,HS-grad,Bachelors,9,13,Never-married,Married-civ-spouse,Adm-clerical,Exec-managerial,Own-child,Husband,White,White,Male,Male,0,594,0,213,20,33,United-States,United-States,<=50K,>50K
23,18,Private,Private,134446,168211,HS-grad,HS-grad,9,9,Separated,Never-married,Machine-op-inspct,Craft-repair,Unmarried,Own-child,Black,White,Male,Male,0,594,0,213,54,33,United-States,United-States,<=50K,<=50K
54,53,Private,?,99516,207513,HS-grad,Some-college,9,10,Married-civ-spouse,Married-civ-spouse,Craft-repair,?,Husband,Not-in-family,White,White,Male,Male,0,594,0,213,35,56,United-States,?,<=50K,>50K
32,35,Self-emp-not-inc,Private,109282,359397,Some-college,HS-grad,10,9,Never-married,Divorced,Prof-specialty,Exec-managerial,Not-in-family,Not-in-family,White,White,Male,Male,0,594,0,213,60,63,United-States,United-States,<=50K,<=50K
46,44,State-gov,Private,106444,193586,Some-college,HS-grad,10,9,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Craft-repair,Husband,Husband,Black,White,Male,Male,7688,594,0,213,38,33,United-States,United-States,>50K,<=50K
56,22,Self-emp-not-inc,Local-gov,186651,190454,11th,Assoc-acdm,7,12,Widowed,Never-married,Other-service,Protective-serv,Unmarried,Not-in-family,White,White,Female,Female,0,594,0,213,50,42,United-States,United-States,<=50K,<=50K
24,19,Self-emp-not-inc,Private,188274,224870,Bachelors,Some-college,13,10,Never-married,Never-married,Sales,Sales,Not-in-family,Own-child,White,White,Male,Male,0,594,0,213,50,45,United-States,United-States,<=50K,<=50K
23,40,Local-gov,Private,258120,379768,Some-college,Bachelors,10,13,Married-civ-spouse,Divorced,Protective-serv,Exec-managerial,Husband,Own-child,White,White,Male,Male,0,594,0,1485,40,33,United-States,United-States,<=50K,<=50K
26,28,Private,Federal-gov,43311,70240,HS-grad,Some-college,9,10,Divorced,Never-married,Exec-managerial,Adm-clerical,Unmarried,Own-child,White,White,Female,Male,0,594,0,213,40,33,United-States,United-States,<=50K,<=50K
65,22,?,State-gov,191846,252930,HS-grad,Prof-school,9,10,Married-civ-spouse,Married-civ-spouse,?,Other-service,Husband,Husband,White,White,Male,Male,0,594,0,213,40,19,United-States,United-States,<=50K,<=50K
36,43,Local-gov,Private,403681,232991,Bachelors,11th,13,7,Married-civ-spouse,Never-married,Prof-specialty,Machine-op-inspct,Husband,Unmarried,White,White,Male,Male,0,594,0,213,40,33,United-States,Puerto-Rico,>50K,<=50K
22,21,Private,Private,248446,197148,5th-6th,Some-college,3,10,Never-married,Never-married,Priv-house-serv,Machine-op-inspct,Not-in-family,Own-child,White,White,Male,Male,0,594,0,213,50,33,Guatemala,United-States,<=50K,<=50K
17,18,Private,Private,269430,451327,10th,HS-grad,6,9,Never-married,Married-AF-spouse,Machine-op-inspct,Adm-clerical,Not-in-family,Wife,White,White,Male,Female,0,594,0,213,40,22,United-States,United-States,<=50K,<=50K
20,28,Private,Private,257509,84231,HS-grad,Some-college,9,10,Never-married,Married-civ-spouse,Craft-repair,Other-service,Own-child,Unmarried,White,White,Male,Male,0,594,0,213,40,32,United-States,?,<=50K,>50K
65,43,Private,?,136384,250238,Masters,Assoc-acdm,14,12,Married-civ-spouse,Never-married,Prof-specialty,Prof-specialty,Husband,Not-in-family,White,White,Male,Male,0,594,0,213,50,33,United-States,United-States,>50K,<=50K
44,28,Self-emp-inc,Private,120277,440607,Assoc-voc,9th,11,5,Married-civ-spouse,Married-civ-spouse,Sales,Machine-op-inspct,Husband,Husband,White,White,Male,Male,0,594,0,213,45,35,United-States,United-States,>50K,<=50K
36,47,Private,Self-emp-not-inc,465326,87905,HS-grad,Bachelors,9,13,Married-civ-spouse,Married-civ-spouse,Farming-fishing,Prof-specialty,Husband,Husband,White,White,Male,Male,0,594,0,213,40,33,United-States,United-States,<=50K,<=50K
29,23,Private,Private,103634,172970,11th,Bachelors,7,13,Married-civ-spouse,Married-civ-spouse,Other-service,Tech-support,Husband,Husband,White,White,Male,Male,0,594,0,213,40,40,United-States,United-States,<=50K,<=50K
20,44,State-gov,Private,138371,95078,Some-college,HS-grad,10,9,Never-married,Separated,Farming-fishing,Adm-clerical,Own-child,Unmarried,White,White,Male,Female,0,594,0,213,32,33,United-States,United-States,<=50K,<=50K
28,23,Private,Private,242832,273536,Assoc-voc,HS-grad,11,9,Married-civ-spouse,Never-married,Prof-specialty,Handlers-cleaners,Wife,Not-in-family,White,White,Female,Male,0,594,0,213,36,30,United-States,United-States,>50K,<=50K
39,53,Private,Federal-gov,290208,274222,7th-8th,Bachelors,4,13,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Husband,White,White,Male,Male,0,594,0,213,40,43,Mexico,United-States,<=50K,>50K
54,47,Private,Private,186272,144084,Some-college,HS-grad,10,9,Married-civ-spouse,Married-civ-spouse,Transport-moving,Machine-op-inspct,Husband,Husband,White,White,Male,Male,3908,594,0,213,50,32,United-States,United-States,<=50K,<=50K
52,39,Private,Private,201062,128586,11th,Masters,7,14,Separated,Divorced,Priv-house-serv,Exec-managerial,Not-in-family,Unmarried,Black,White,Female,Female,0,594,0,213,18,33,United-States,United-States,<=50K,<=50K
56,36,Self-emp-inc,State-gov,131916,101352,HS-grad,Assoc-voc,9,11,Widowed,Married-civ-spouse,Exec-managerial,Craft-repair,Not-in-family,Other-relative,White,White,Female,Male,0,594,0,213,50,33,United-States,United-States,<=50K,<=50K
18,27,Private,Private,54440,253642,Some-college,Assoc-voc,10,11,Never-married,Never-married,Other-service,Prof-specialty,Own-child,Not-in-family,White,White,Male,Male,0,594,0,213,20,35,United-States,United-States,<=50K,<=50K
39,27,Private,Local-gov,280215,30412,HS-grad,Some-college,9,10,Divorced,Married-civ-spouse,Handlers-cleaners,Exec-managerial,Own-child,Wife,Black,White,Male,Female,0,594,0,213,40,40,United-States,United-States,<=50K,<=50K
21,18,Private,Private,214399,225879,Some-college,HS-grad,10,9,Never-married,Never-married,Other-service,Other-service,Own-child,Own-child,White,White,Female,Female,0,594,1721,213,24,25,United-States,?,<=50K,<=50K
22,43,Private,Private,54164,65624,HS-grad,Prof-school,9,15,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Wife,White,White,Male,Female,14084,594,0,1887,60,45,United-States,Honduras,>50K,>50K
38,45,Private,Federal-gov,219446,241444,9th,Bachelors,5,13,Married-spouse-absent,Divorced,Exec-managerial,Exec-managerial,Not-in-family,Not-in-family,White,White,Male,Male,0,594,0,213,54,43,Mexico,United-States,<=50K,>50K
21,43,Private,State-gov,110677,109609,Some-college,HS-grad,10,9,Never-married,Divorced,Adm-clerical,Adm-clerical,Own-child,Not-in-family,White,White,Female,Male,0,594,0,213,40,45,United-States,United-States,<=50K,<=50K
63,39,Private,Private,145985,230657,HS-grad,Some-college,9,10,Married-civ-spouse,Married-civ-spouse,Craft-repair,Tech-support,Husband,Husband,White,White,Male,Male,0,594,0,213,40,33,United-States,United-States,<=50K,>50K
34,41,Local-gov,Private,382078,216908,Bachelors,5th-6th,13,3,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Machine-op-inspct,Husband,Wife,White,White,Male,Male,3103,594,0,213,50,33,United-States,Mexico,>50K,<=50K
42,32,Self-emp-inc,Private,170721,69236,HS-grad,Some-college,9,11,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Other-service,Husband,Husband,White,White,Male,Male,5178,594,0,213,50,33,United-States,Puerto-Rico,>50K,<=50K
33,36,Private,Private,269705,147551,HS-grad,HS-grad,9,9,Married-civ-spouse,Never-married,Handlers-cleaners,Adm-clerical,Husband,Husband,White,White,Male,Male,0,594,0,213,40,37,United-States,United-States,<=50K,<=50K
30,28,Private,Private,101135,188246,Bachelors,HS-grad,13,9,Never-married,Married-civ-spouse,Exec-managerial,Machine-op-inspct,Not-in-family,Husband,White,White,Female,Male,0,4865,0,213,50,33,United-States,United-States,<=50K,<=50K
39,28,Private,Private,118429,70240,Some-college,Bachelors,10,13,Divorced,Never-married,Sales,Sales,Not-in-family,Husband,White,White,Male,Male,0,2354,0,213,40,33,United-States,United-States,<=50K,<=50K
26,29,Private,?,31208,281356,Masters,7th-8th,14,4,Never-married,Married-spouse-absent,Exec-managerial,?,Not-in-family,Not-in-family,White,White,Female,Male,0,594,0,213,40,33,United-States,?,<=50K,<=50K
33,43,Private,Private,281384,149368,HS-grad,HS-grad,9,9,Never-married,Married-civ-spouse,Machine-op-inspct,Transport-moving,Own-child,Husband,White,White,Female,Male,0,594,0,213,40,33,United-States,United-States,<=50K,<=50K
47,38,Local-gov,Private,171807,116371,HS-grad,Doctorate,9,16,Divorced,Married-civ-spouse,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,White,Female,Female,0,594,0,213,40,36,United-States,United-States,<=50K,>50K
41,27,Private,Private,109912,105585,Bachelors,Some-college,13,10,Never-married,Divorced,Other-service,Tech-support,Not-in-family,Not-in-family,White,White,Female,Male,0,594,0,213,40,44,?,United-States,<=50K,<=50K
41,33,Self-emp-inc,Private,445382,155919,Assoc-acdm,HS-grad,12,9,Married-civ-spouse,Never-married,Craft-repair,Craft-repair,Husband,Unmarried,White,White,Male,Male,15024,594,0,213,60,33,United-States,United-States,>50K,<=50K
19,26,Private,Private,105460,183151,Some-college,Some-college,10,10,Never-married,Divorced,Other-service,Adm-clerical,Own-child,Not-in-family,White,White,Male,Female,0,594,0,213,20,33,United-States,United-States,<=50K,<=50K
46,47,Private,Private,170338,169955,HS-grad,HS-grad,9,9,Separated,Married-civ-spouse,Transport-moving,Adm-clerical,Not-in-family,Wife,White,White,Male,Female,0,594,0,213,40,33,United-States,United-States,<=50K,>50K
43,44,Private,Federal-gov,102606,191529,HS-grad,Some-college,9,10,Married-civ-spouse,Married-civ-spouse,Sales,Machine-op-inspct,Husband,Husband,White,White,Male,Male,0,594,0,213,48,40,United-States,United-States,<=50K,>50K
55,23,Private,?,323887,200916,Some-college,Some-college,10,10,Married-civ-spouse,Never-married,Exec-managerial,?,Husband,Own-child,White,White,Male,Male,15024,594,0,213,45,33,United-States,United-States,>50K,<=50K
46,18,Private,Private,175622,101352,Assoc-voc,Some-college,11,10,Married-civ-spouse,Never-married,Tech-support,?,Husband,Own-child,White,White,Male,Male,0,594,0,213,40,28,United-States,United-States,<=50K,<=50K
30,30,Private,Private,229636,251990,HS-grad,Bachelors,9,13,Married-civ-spouse,Separated,Machine-op-inspct,Sales,Husband,Own-child,White,White,Male,Female,0,594,0,213,40,43,Mexico,United-States,<=50K,<=50K
21,27,Private,?,388946,162580,Some-college,Some-college,10,13,Separated,Married-civ-spouse,Handlers-cleaners,Sales,Not-in-family,Unmarried,White,White,Female,Male,0,594,0,213,40,52,United-States,United-States,<=50K,>50K
46,22,Private,Private,269034,211938,Some-college,Some-college,10,10,Married-civ-spouse,Never-married,Craft-repair,Machine-op-inspct,Husband,Not-in-family,Other,White,Male,Male,0,594,0,213,40,33,Dominican-Republic,United-States,<=50K,<=50K
17,70,?,Private,165361,124464,10th,Some-college,6,10,Never-married,Married-civ-spouse,?,Prof-specialty,Own-child,Other-relative,White,White,Male,Male,0,594,0,213,40,19,United-States,United-States,<=50K,<=50K
41,26,Private,Private,75012,213512,HS-grad,HS-grad,9,9,Married-civ-spouse,Never-married,Machine-op-inspct,Other-service,Husband,Own-child,White,White,Male,Male,0,594,0,213,50,33,United-States,Mexico,<=50K,<=50K
69,36,Self-emp-inc,Private,174379,31848,HS-grad,Assoc-acdm,9,12,Married-civ-spouse,Married-civ-spouse,Sales,Adm-clerical,Husband,Husband,White,White,Male,Male,0,594,0,213,30,33,United-States,United-States,<=50K,<=50K
50,58,Private,?,312477,212847,HS-grad,10th,9,6,Married-civ-spouse,Married-civ-spouse,Transport-moving,?,Husband,Husband,White,White,Male,Male,0,594,0,213,40,1,United-States,United-States,<=50K,<=50K
20,18,Private,Private,72055,292370,Some-college,11th,10,7,Never-married,Never-married,Adm-clerical,Other-service,Not-in-family,Own-child,White,White,Female,Female,0,594,0,213,40,19,United-States,United-States,<=50K,<=50K
45,28,Self-emp-inc,Local-gov,67001,126133,Some-college,7th-8th,10,4,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Farming-fishing,Husband,Unmarried,White,White,Male,Male,0,594,0,213,50,33,United-States,United-States,<=50K,<=50K
23,18,Private,Private,213734,414910,Bachelors,HS-grad,13,9,Never-married,Never-married,Exec-managerial,Sales,Not-in-family,Not-in-family,White,White,Male,Male,0,594,0,213,40,25,United-States,United-States,<=50K,<=50K
24,46,Private,Private,83141,260019,Some-college,Bachelors,10,13,Separated,Married-civ-spouse,Other-service,Other-service,Not-in-family,Husband,White,White,Male,Male,0,594,1876,213,40,33,United-States,Cuba,<=50K,<=50K
44,41,Self-emp-inc,Private,223881,65624,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Other-service,Husband,Wife,White,White,Male,Female,99999,594,0,213,50,33,?,United-States,>50K,<=50K
31,52,Self-emp-not-inc,Private,113752,159768,Some-college,HS-grad,10,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Other-service,Husband,Husband,White,White,Male,Male,0,594,0,213,50,37,United-States,United-States,<=50K,<=50K
43,39,Private,Private,170482,326931,HS-grad,HS-grad,9,9,Separated,Divorced,Machine-op-inspct,Craft-repair,Not-in-family,Not-in-family,White,White,Female,Female,0,15020,0,213,44,33,United-States,United-States,<=50K,>50K
20,47,Federal-gov,Private,244689,328663,11th,HS-grad,7,9,Never-married,Divorced,Other-service,Sales,Own-child,Own-child,White,White,Female,Female,0,594,0,213,10,30,United-States,United-States,<=50K,<=50K
55,44,Private,Local-gov,160631,252413,HS-grad,HS-grad,9,9,Married-civ-spouse,Never-married,Sales,Protective-serv,Husband,Own-child,White,White,Male,Male,0,594,0,213,56,33,United-States,United-States,>50K,>50K
24,30,Federal-gov,Private,228724,202053,Some-college,11th,10,14,Never-married,Married-civ-spouse,Armed-Forces,Prof-specialty,Not-in-family,Wife,White,White,Male,Male,0,594,0,213,40,40,United-States,United-States,<=50K,<=50K
41,28,?,Private,38434,67222,Masters,9th,14,5,Married-civ-spouse,Never-married,?,Sales,Wife,Not-in-family,White,White,Female,Male,7688,594,0,213,10,33,United-States,United-States,>50K,<=50K
59,39,Private,Federal-gov,292946,392082,Bachelors,Assoc-acdm,13,16,Never-married,Never-married,Exec-managerial,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Female,0,594,0,213,25,40,United-States,United-States,<=50K,>50K
49,50,Federal-gov,Private,77443,241021,7th-8th,11th,4,11,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Husband,Black,White,Male,Female,0,594,0,213,20,33,United-States,United-States,<=50K,<=50K
33,34,Private,Private,176410,269604,Masters,Some-college,14,10,Married-civ-spouse,Divorced,Prof-specialty,Craft-repair,Wife,Unmarried,White,White,Female,Female,5178,594,0,213,10,33,United-States,United-States,>50K,<=50K
59,27,Federal-gov,Private,98984,183151,Bachelors,Some-college,13,10,Divorced,Divorced,Adm-clerical,Machine-op-inspct,Not-in-family,Unmarried,White,White,Male,Female,0,594,0,213,40,28,United-States,United-States,<=50K,<=50K
34,30,Private,Private,198751,144084,Masters,HS-grad,14,9,Never-married,Married-civ-spouse,Other-service,Sales,Not-in-family,Wife,Amer-Indian-Eskimo,White,Male,Female,0,594,0,1485,40,36,United-States,United-States,<=50K,<=50K
20,32,Private,Local-gov,479296,224870,HS-grad,HS-grad,9,13,Never-married,Married-civ-spouse,Handlers-cleaners,Protective-serv,Own-child,Husband,White,White,Male,Male,0,594,0,213,40,33,United-States,United-States,<=50K,>50K
25,27,Private,Local-gov,235218,115705,Bachelors,Some-college,13,10,Never-married,Never-married,Exec-managerial,Handlers-cleaners,Own-child,Not-in-family,White,White,Female,Female,0,594,0,213,40,40,United-States,United-States,<=50K,<=50K
49,43,Private,Self-emp-not-inc,164877,191529,10th,10th,6,16,Married-civ-spouse,Married-civ-spouse,Farming-fishing,?,Husband,Husband,White,White,Male,Male,0,594,0,1887,40,45,United-States,United-States,<=50K,>50K
59,34,Private,Private,272087,202745,HS-grad,Some-college,9,10,Married-civ-spouse,Married-civ-spouse,Transport-moving,Sales,Husband,Husband,White,White,Male,Male,0,594,0,213,40,37,United-States,United-States,>50K,>50K
20,43,Private,Private,169699,171111,HS-grad,Assoc-acdm,9,12,Never-married,Divorced,Adm-clerical,?,Not-in-family,Unmarried,White,White,Female,Female,0,594,0,213,40,33,United-States,England,<=50K,<=50K
51,30,?,Self-emp-not-inc,189762,211208,Some-college,HS-grad,10,9,Married-civ-spouse,Never-married,?,Sales,Wife,Own-child,White,White,Female,Male,0,594,0,213,18,43,United-States,United-States,<=50K,<=50K
33,67,Private,Private,202191,124464,Some-college,11th,10,14,Never-married,Never-married,Adm-clerical,Exec-managerial,Unmarried,Husband,Black,White,Female,Male,0,594,0,213,35,33,United-States,United-States,<=50K,>50K
22,39,Private,Private,212261,198170,Some-college,Bachelors,10,13,Never-married,Divorced,Transport-moving,Exec-managerial,Own-child,Husband,Black,White,Male,Male,0,15020,0,213,39,45,United-States,United-States,<=50K,>50K
58,43,Self-emp-not-inc,Federal-gov,301568,149368,9th,Masters,5,14,Widowed,Never-married,Other-service,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Female,0,594,0,213,40,40,United-States,United-States,<=50K,<=50K
52,19,Local-gov,Private,155233,188246,HS-grad,Some-college,9,10,Widowed,Never-married,Adm-clerical,Tech-support,Unmarried,Own-child,White,White,Female,Female,0,594,0,213,28,33,United-States,United-States,<=50K,<=50K
36,27,Private,Private,75826,103456,10th,HS-grad,6,9,Separated,Never-married,Machine-op-inspct,Craft-repair,Not-in-family,Not-in-family,White,White,Female,Male,0,594,0,213,40,33,United-States,United-States,<=50K,<=50K
41,29,Local-gov,Federal-gov,201520,298635,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Protective-serv,Craft-repair,Husband,Husband,White,White,Male,Male,0,7688,0,213,40,33,United-States,United-States,<=50K,>50K
28,17,Private,?,154236,291547,HS-grad,10th,9,6,Never-married,Never-married,Transport-moving,?,Own-child,Own-child,White,White,Male,Female,2597,27828,0,213,40,28,United-States,United-States,<=50K,<=50K
19,28,Private,Private,289227,194809,Some-college,11th,10,7,Never-married,Never-married,Handlers-cleaners,Handlers-cleaners,Own-child,Own-child,Black,White,Male,Male,0,594,0,213,16,33,United-States,United-States,<=50K,<=50K
18,28,Private,Local-gov,217439,189194,HS-grad,HS-grad,9,9,Never-married,Never-married,Other-service,Adm-clerical,Not-in-family,Not-in-family,White,White,Female,Female,0,594,0,213,28,33,United-States,United-States,<=50K,<=50K
18,38,Private,Private,179020,124464,HS-grad,HS-grad,9,9,Never-married,Married-civ-spouse,Machine-op-inspct,Handlers-cleaners,Own-child,Husband,White,White,Female,Female,0,594,0,213,48,33,United-States,United-States,<=50K,<=50K
28,23,Private,Private,149624,409622,Some-college,HS-grad,10,13,Married-civ-spouse,Never-married,Craft-repair,Sales,Husband,Other-relative,White,White,Male,Male,0,594,0,213,40,33,United-States,United-States,<=50K,<=50K
29,34,Private,Private,337266,71592,Assoc-voc,Some-college,11,15,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Prof-specialty,Husband,Husband,White,White,Male,Male,0,594,0,213,40,33,United-States,United-States,>50K,>50K
20,50,?,Self-emp-not-inc,30796,323164,HS-grad,HS-grad,9,9,Never-married,Married-civ-spouse,?,Other-service,Own-child,Own-child,White,White,Female,Male,0,594,0,1887,20,40,United-States,United-States,<=50K,>50K
40,26,Private,Private,103541,374163,Some-college,Some-college,10,10,Married-civ-spouse,Married-civ-spouse,Handlers-cleaners,Other-service,Husband,Wife,White,White,Male,Female,0,4416,0,213,40,22,United-States,United-States,<=50K,<=50K
26,33,Private,Private,206721,102690,HS-grad,HS-grad,9,9,Never-married,Never-married,Handlers-cleaners,Machine-op-inspct,Unmarried,Own-child,White,White,Male,Female,0,594,0,213,40,33,United-States,United-States,<=50K,<=50K
46,47,Private,Private,96773,95929,HS-grad,9th,9,5,Married-civ-spouse,Married-civ-spouse,Craft-repair,Handlers-cleaners,Husband,Unmarried,White,White,Male,Male,0,594,0,213,40,40,United-States,United-States,<=50K,<=50K
23,50,Private,Self-emp-inc,200967,289886,11th,Some-college,7,10,Never-married,Married-civ-spouse,Other-service,Sales,Not-in-family,Husband,White,White,Female,Male,0,594,0,213,24,40,United-States,United-States,<=50K,<=50K
44,46,Private,Local-gov,180019,170428,HS-grad,Assoc-voc,9,11,Married-spouse-absent,Married-civ-spouse,Adm-clerical,Craft-repair,Unmarried,Husband,White,White,Female,Male,0,594,0,213,40,43,United-States,United-States,<=50K,>50K
43,49,Private,Private,179866,237601,Bachelors,Some-college,13,10,Divorced,Married-civ-spouse,Sales,Sales,Unmarried,Other-relative,White,White,Female,Male,0,594,0,213,40,44,United-States,United-States,>50K,<=50K
31,21,Local-gov,Private,198770,102690,Bachelors,HS-grad,13,9,Divorced,Never-married,Prof-specialty,Craft-repair,Unmarried,Not-in-family,White,White,Female,Male,0,594,0,213,60,33,United-States,United-States,<=50K,<=50K
