age,age_noeducation,workclass,workclass_noeducation,fnlwgt,fnlwgt_noeducation,education,education_noeducation,education_num,education_num_noeducation,marital_status,marital_status_noeducation,occupation,occupation_noeducation,relationship,relationship_noeducation,race,race_noeducation,sex,sex_noeducation,capital_gain,capital_gain_noeducation,capital_loss,capital_loss_noeducation,hours_per_week,hours_per_week_noeducation,native_country,native_country_noeducation,income_per_year,income_per_year_noeducation
42,34,Self-emp-inc,Private,170721,74194,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Other-service,Husband,Husband,White,White,Male,Male,5178,1173,0,1411,50,38,United-States,Puerto-Rico,>50K,<=50K
33,39,Private,Private,269705,145656,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Handlers-cleaners,?,Husband,Husband,White,White,Male,Male,0,1173,0,1411,40,38,United-States,United-States,<=50K,<=50K
30,29,Private,Private,101135,189238,Bachelors,HS-grad,13,8,Never-married,Married-civ-spouse,Exec-managerial,Machine-op-inspct,Not-in-family,Husband,White,White,Female,Male,0,5455,0,1411,50,35,United-States,United-States,<=50K,<=50K
39,28,Private,Private,118429,67187,Some-college,HS-grad,10,8,Divorced,Married-civ-spouse,Sales,Other-service,Not-in-family,Husband,White,White,Male,Male,0,2414,0,1411,40,38,United-States,United-States,<=50K,<=50K
26,31,Private,Local-gov,31208,309196,Masters,HS-grad,14,8,Never-married,Married-spouse-absent,Exec-managerial,?,Not-in-family,Not-in-family,White,White,Female,Male,0,1173,0,1411,40,38,United-States,?,<=50K,<=50K
33,45,Private,Private,281384,149347,HS-grad,HS-grad,9,8,Never-married,Married-civ-spouse,Machine-op-inspct,Farming-fishing,Own-child,Husband,White,White,Female,Male,0,1173,0,1411,40,35,United-States,United-States,<=50K,<=50K
47,38,Local-gov,Private,171807,125089,HS-grad,HS-grad,9,8,Divorced,Never-married,Adm-clerical,Sales,Not-in-family,Husband,White,White,Female,Male,0,1173,0,1411,40,45,United-States,United-States,<=50K,>50K
41,29,Private,Private,109912,105138,Bachelors,HS-grad,13,8,Never-married,Divorced,Other-service,Priv-house-serv,Not-in-family,Not-in-family,White,White,Female,Male,0,1173,0,1411,40,53,?,United-States,<=50K,<=50K
41,35,Self-emp-inc,Private,445382,155781,Assoc-acdm,HS-grad,12,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,Handlers-cleaners,Husband,Husband,White,White,Male,Male,15024,1173,0,1411,60,35,United-States,United-States,>50K,<=50K
19,28,Private,Private,105460,180096,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,Other-service,Farming-fishing,Own-child,Not-in-family,White,White,Male,Female,0,1173,0,1411,20,35,United-States,United-States,<=50K,<=50K
46,51,Private,Private,170338,170430,HS-grad,HS-grad,9,8,Separated,Married-civ-spouse,Transport-moving,?,Not-in-family,Wife,White,White,Male,Female,0,1173,0,1411,40,35,United-States,United-States,<=50K,>50K
43,47,Private,Self-emp-inc,102606,190885,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Sales,Exec-managerial,Husband,Husband,White,White,Male,Male,0,1173,0,1411,48,45,United-States,United-States,<=50K,>50K
55,25,Private,?,323887,197711,Some-college,HS-grad,10,8,Married-civ-spouse,Never-married,Exec-managerial,?,Husband,Husband,White,White,Male,Male,15024,1173,0,1411,45,35,United-States,United-States,>50K,<=50K
46,19,Private,Private,175622,102388,Assoc-voc,HS-grad,11,8,Married-civ-spouse,Never-married,Tech-support,Other-service,Husband,Husband,White,White,Male,Male,0,1173,0,1411,40,30,United-States,United-States,<=50K,<=50K
30,29,Private,Private,229636,309196,HS-grad,HS-grad,9,8,Married-civ-spouse,Separated,Machine-op-inspct,Sales,Husband,Own-child,White,Black,Male,Female,0,1173,0,1411,40,38,Mexico,United-States,<=50K,<=50K
21,26,Private,Self-emp-not-inc,388946,162381,Some-college,HS-grad,10,8,Separated,Married-civ-spouse,Handlers-cleaners,Sales,Not-in-family,Husband,White,White,Female,Male,0,1173,0,1411,40,68,United-States,United-States,<=50K,>50K
46,23,Private,Private,269034,208049,Some-college,HS-grad,10,8,Married-civ-spouse,Never-married,Craft-repair,Machine-op-inspct,Husband,Not-in-family,Other,White,Male,Male,0,1173,0,1411,40,35,Dominican-Republic,United-States,<=50K,<=50K
17,76,?,Private,165361,125089,10th,HS-grad,6,8,Never-married,Married-civ-spouse,?,Other-service,Own-child,Other-relative,White,White,Male,Male,0,1173,0,1411,40,20,United-States,United-States,<=50K,<=50K
41,26,Private,Private,75012,215419,HS-grad,HS-grad,9,8,Married-civ-spouse,Never-married,Machine-op-inspct,Other-service,Husband,Own-child,White,White,Male,Male,0,1173,0,1411,50,35,United-States,Mexico,<=50K,<=50K
69,41,Self-emp-inc,Private,174379,31438,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Sales,Craft-repair,Husband,Husband,White,White,Male,Male,0,1173,0,1411,30,38,United-States,United-States,<=50K,<=50K
50,65,Private,?,312477,215419,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Transport-moving,?,Husband,Husband,White,White,Male,Male,0,1173,0,1411,40,2,United-States,United-States,<=50K,<=50K
20,19,Private,Private,72055,319422,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,Adm-clerical,?,Not-in-family,Husband,White,White,Female,Female,0,1173,0,1411,40,23,United-States,United-States,<=50K,<=50K
45,31,Self-emp-inc,Local-gov,67001,133420,Some-college,HS-grad,10,8,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Farming-fishing,Husband,Husband,White,White,Male,Male,0,1173,0,1411,50,38,United-States,United-States,<=50K,<=50K
23,17,Private,Private,213734,460356,Bachelors,HS-grad,13,8,Never-married,Never-married,Exec-managerial,Sales,Not-in-family,Not-in-family,White,White,Male,Male,0,1173,0,1411,40,27,United-States,United-States,<=50K,<=50K
24,48,Private,Private,83141,282944,Some-college,HS-grad,10,8,Separated,Married-civ-spouse,Other-service,Other-service,Not-in-family,Husband,White,White,Male,Male,0,1173,1876,1411,40,38,United-States,Cuba,<=50K,<=50K
44,44,Self-emp-inc,Private,223881,53158,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,Other-service,Husband,Unmarried,White,White,Male,Female,99999,1173,0,1411,50,35,?,United-States,>50K,<=50K
31,55,Self-emp-not-inc,Private,113752,159021,Some-college,HS-grad,10,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,Sales,Husband,Husband,White,White,Male,Male,0,1173,0,1411,50,38,United-States,Mexico,<=50K,<=50K
43,42,Private,Private,170482,348059,HS-grad,HS-grad,9,8,Separated,Divorced,Machine-op-inspct,Exec-managerial,Not-in-family,Not-in-family,White,White,Female,Female,0,13550,0,1411,44,35,United-States,United-States,<=50K,>50K
20,51,Federal-gov,Private,244689,348059,11th,HS-grad,7,8,Never-married,Divorced,Other-service,Sales,Own-child,Own-child,White,White,Female,Female,0,1173,0,1411,10,30,United-States,United-States,<=50K,<=50K
55,47,Private,Local-gov,160631,265917,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Sales,Protective-serv,Husband,Husband,White,White,Male,Male,0,1173,0,1411,56,35,United-States,United-States,>50K,>50K
24,31,Federal-gov,Private,228724,215419,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,Armed-Forces,Craft-repair,Not-in-family,Husband,White,White,Male,Male,0,1173,0,1411,40,50,United-States,United-States,<=50K,<=50K
41,31,?,Private,38434,46322,Masters,HS-grad,14,8,Married-civ-spouse,Never-married,?,Sales,Wife,Not-in-family,White,White,Female,Male,7688,1173,0,1411,10,42,United-States,United-States,>50K,<=50K
59,39,Private,?,292946,420973,Bachelors,HS-grad,13,8,Never-married,Never-married,Exec-managerial,Craft-repair,Not-in-family,Not-in-family,White,White,Female,Female,0,1173,0,1411,25,50,United-States,United-States,<=50K,>50K
49,57,Federal-gov,Private,77443,265917,7th-8th,HS-grad,4,8,Never-married,Married-civ-spouse,Other-service,Craft-repair,Not-in-family,Husband,Black,White,Male,Male,0,1173,0,1411,20,38,United-States,United-States,<=50K,<=50K
33,36,Private,Private,176410,282944,Masters,HS-grad,14,8,Married-civ-spouse,Divorced,Prof-specialty,Craft-repair,Wife,Unmarried,White,White,Female,Female,5178,1173,0,1411,10,35,United-States,United-States,>50K,<=50K
59,28,Federal-gov,Private,98984,208049,Bachelors,HS-grad,13,8,Divorced,Divorced,Adm-clerical,Machine-op-inspct,Not-in-family,Unmarried,White,Black,Male,Female,0,1173,0,1411,40,23,United-States,United-States,<=50K,<=50K
34,29,Private,Private,198751,114942,Masters,HS-grad,14,8,Never-married,Married-civ-spouse,Other-service,Sales,Not-in-family,Wife,Amer-Indian-Eskimo,Asian-Pac-Islander,Male,Female,0,1173,0,1411,40,30,United-States,?,<=50K,<=50K
20,32,Private,Local-gov,479296,227823,HS-grad,HS-grad,9,8,Never-married,Married-civ-spouse,Handlers-cleaners,Protective-serv,Own-child,Husband,White,White,Male,Male,0,1173,0,1411,40,38,United-States,United-States,<=50K,>50K
25,29,Private,Private,235218,114942,Bachelors,HS-grad,13,8,Never-married,Married-civ-spouse,Exec-managerial,Handlers-cleaners,Own-child,Not-in-family,White,White,Female,Male,0,1173,0,1411,40,45,United-States,United-States,<=50K,<=50K
49,45,Private,Self-emp-not-inc,164877,197711,10th,HS-grad,6,8,Married-civ-spouse,Never-married,Farming-fishing,Machine-op-inspct,Husband,Husband,White,White,Male,Male,0,1173,0,1762,40,57,United-States,United-States,<=50K,>50K
59,36,Private,Private,272087,200318,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Transport-moving,Farming-fishing,Husband,Husband,White,White,Male,Male,0,1173,0,1411,40,42,United-States,United-States,>50K,>50K
20,50,Private,Private,169699,164966,HS-grad,HS-grad,9,8,Never-married,Divorced,Adm-clerical,Exec-managerial,Not-in-family,Unmarried,White,White,Female,Male,0,1173,0,1411,40,38,United-States,England,<=50K,<=50K
51,31,?,?,189762,253856,Some-college,HS-grad,10,8,Married-civ-spouse,Never-married,?,Other-service,Wife,Husband,White,White,Female,Male,0,1173,0,1411,18,35,United-States,United-States,<=50K,<=50K
33,72,Private,Private,202191,133420,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,Adm-clerical,Craft-repair,Unmarried,Husband,Black,White,Female,Male,0,1173,0,1411,35,42,United-States,United-States,<=50K,>50K
22,41,Private,Private,212261,200318,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,Transport-moving,Sales,Own-child,Husband,Black,White,Male,Male,0,13550,0,1411,39,57,United-States,United-States,<=50K,>50K
58,45,Self-emp-not-inc,Self-emp-not-inc,301568,159021,9th,HS-grad,5,8,Widowed,Never-married,Other-service,Other-service,Not-in-family,Other-relative,White,White,Female,Female,0,1173,0,1411,40,50,United-States,United-States,<=50K,<=50K
52,20,Local-gov,Private,155233,185195,HS-grad,HS-grad,9,8,Widowed,Never-married,Adm-clerical,Machine-op-inspct,Unmarried,Not-in-family,White,White,Female,Female,0,1173,0,1411,28,35,United-States,United-States,<=50K,<=50K
36,28,Private,Private,75826,102388,10th,HS-grad,6,8,Separated,Never-married,Machine-op-inspct,Craft-repair,Not-in-family,Not-in-family,White,White,Female,Male,0,1173,0,1411,40,35,United-States,United-States,<=50K,<=50K
41,31,Local-gov,Self-emp-inc,201520,319422,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Protective-serv,Craft-repair,Husband,Husband,White,White,Male,Male,0,13550,0,1411,40,35,United-States,United-States,<=50K,>50K
28,17,Private,?,154236,297906,HS-grad,HS-grad,9,8,Never-married,Married-civ-spouse,Transport-moving,?,Own-child,Own-child,White,White,Male,Female,2597,13550,0,1411,40,35,United-States,United-States,<=50K,<=50K
19,31,Private,Private,289227,193490,Some-college,HS-grad,10,8,Never-married,Never-married,Handlers-cleaners,Handlers-cleaners,Own-child,Husband,Black,White,Male,Male,0,1173,0,1411,16,42,United-States,United-States,<=50K,<=50K
18,31,Private,Local-gov,217439,190885,HS-grad,HS-grad,9,8,Never-married,Never-married,Other-service,Other-service,Not-in-family,Not-in-family,White,White,Female,Female,0,1173,0,1411,28,35,United-States,United-States,<=50K,<=50K
18,41,Private,Private,179020,121596,HS-grad,HS-grad,9,8,Never-married,Married-civ-spouse,Machine-op-inspct,Handlers-cleaners,Own-child,Husband,White,White,Female,Male,0,1173,0,1411,48,35,United-States,United-States,<=50K,<=50K
28,22,Private,Private,149624,420973,Some-college,HS-grad,10,8,Married-civ-spouse,Never-married,Craft-repair,Sales,Husband,Other-relative,White,White,Male,Male,0,1173,0,1411,40,38,United-States,United-States,<=50K,<=50K
29,32,Private,Private,337266,58972,Assoc-voc,HS-grad,11,8,Married-civ-spouse,Never-married,Exec-managerial,?,Husband,Husband,White,White,Male,Male,0,1173,0,1411,40,38,United-States,United-States,>50K,>50K
20,54,?,Self-emp-not-inc,30796,340110,HS-grad,HS-grad,9,8,Never-married,Married-civ-spouse,?,Other-service,Own-child,Husband,White,White,Female,Male,0,1173,0,1762,20,42,United-States,Canada,<=50K,>50K
40,28,Private,Private,103541,375078,Some-college,HS-grad,10,8,Married-civ-spouse,Married-civ-spouse,Handlers-cleaners,Handlers-cleaners,Husband,Wife,White,White,Male,Female,0,3908,0,1411,40,23,United-States,United-States,<=50K,<=50K
26,35,Private,Private,206721,99679,HS-grad,HS-grad,9,8,Never-married,Never-married,Handlers-cleaners,Machine-op-inspct,Unmarried,Own-child,White,White,Male,Female,0,1173,0,1411,40,35,United-States,United-States,<=50K,<=50K
46,54,Private,Private,96773,84673,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,Other-service,Husband,Husband,White,White,Male,Male,0,1173,0,1411,40,57,United-States,United-States,<=50K,<=50K
23,54,Private,Self-emp-inc,200967,297906,11th,HS-grad,7,8,Never-married,Married-civ-spouse,Other-service,Other-service,Not-in-family,Husband,White,White,Female,Male,0,1173,0,1411,24,45,United-States,United-States,<=50K,<=50K
