age,age_nocapital_loss,workclass,workclass_nocapital_loss,fnlwgt,fnlwgt_nocapital_loss,education,education_nocapital_loss,education_num,education_num_nocapital_loss,marital_status,marital_status_nocapital_loss,occupation,occupation_nocapital_loss,relationship,relationship_nocapital_loss,race,race_nocapital_loss,sex,sex_nocapital_loss,capital_gain,capital_gain_nocapital_loss,capital_loss,capital_loss_nocapital_loss,hours_per_week,hours_per_week_nocapital_loss,native_country,native_country_nocapital_loss,income_per_year,income_per_year_nocapital_loss
25,42,Private,Private,220931,167793,Bachelors,HS-grad,13,10,Never-married,Divorced,Prof-specialty,Prof-specialty,Not-in-family,Husband,White,White,Male,Male,0,0,0,0,43,40,Peru,United-States,<=50K,<=50K
25,42,Private,Private,205947,167793,Bachelors,Some-college,13,10,Married-civ-spouse,Divorced,Prof-specialty,Adm-clerical,Husband,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
45,42,Self-emp-not-inc,Private,432824,167793,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Craft-repair,Adm-clerical,Husband,Husband,White,White,Male,Female,7298,0,0,0,90,40,United-States,United-States,>50K,<=50K
22,42,Private,Private,236427,167793,HS-grad,HS-grad,9,10,Never-married,Divorced,Adm-clerical,Exec-managerial,Own-child,Own-child,White,White,Male,Male,0,0,0,0,20,40,United-States,United-States,<=50K,>50K
23,42,Private,Private,134446,167793,HS-grad,HS-grad,9,10,Separated,Divorced,Machine-op-inspct,Sales,Unmarried,Unmarried,Black,White,Male,Male,0,0,0,0,54,40,United-States,United-States,<=50K,<=50K
54,42,Private,Private,99516,167793,HS-grad,Some-college,9,10,Married-civ-spouse,Divorced,Craft-repair,Sales,Husband,Own-child,White,White,Male,Male,0,0,0,0,35,40,United-States,United-States,<=50K,>50K
32,42,Self-emp-not-inc,Private,109282,167793,Some-college,HS-grad,10,10,Never-married,Divorced,Prof-specialty,Exec-managerial,Not-in-family,Not-in-family,White,White,Male,Male,0,0,0,0,60,40,United-States,United-States,<=50K,<=50K
46,42,State-gov,Private,106444,167793,Some-college,HS-grad,10,10,Married-civ-spouse,Divorced,Exec-managerial,Exec-managerial,Husband,Not-in-family,Black,White,Male,Male,7688,0,0,0,38,40,United-States,United-States,>50K,<=50K
56,42,Self-emp-not-inc,Private,186651,167793,11th,HS-grad,7,10,Widowed,Divorced,Other-service,Exec-managerial,Unmarried,Not-in-family,White,White,Female,Male,0,0,0,0,50,40,United-States,United-States,<=50K,<=50K
24,42,Self-emp-not-inc,Private,188274,167793,Bachelors,Some-college,13,10,Never-married,Divorced,Sales,Sales,Not-in-family,Husband,White,White,Male,Male,0,0,0,0,50,40,United-States,United-States,<=50K,<=50K
23,42,Local-gov,?,258120,167793,Some-college,Bachelors,10,10,Married-civ-spouse,Divorced,Protective-serv,Prof-specialty,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
26,42,Private,Private,43311,167793,HS-grad,Some-college,9,10,Divorced,Divorced,Exec-managerial,Adm-clerical,Unmarried,Not-in-family,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
65,42,?,Private,191846,167793,HS-grad,Some-college,9,10,Married-civ-spouse,Divorced,?,Prof-specialty,Husband,Own-child,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
36,42,Local-gov,Private,403681,167793,Bachelors,HS-grad,13,10,Married-civ-spouse,Divorced,Prof-specialty,Sales,Husband,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,>50K,<=50K
22,42,Private,Private,248446,167793,5th-6th,Some-college,3,10,Never-married,Divorced,Priv-house-serv,?,Not-in-family,Husband,White,White,Male,Male,0,0,0,0,50,40,Guatemala,United-States,<=50K,<=50K
17,42,Private,Private,269430,167793,10th,HS-grad,6,10,Never-married,Divorced,Machine-op-inspct,Exec-managerial,Not-in-family,Not-in-family,White,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
20,42,Private,Private,257509,167793,HS-grad,Some-college,9,10,Never-married,Divorced,Craft-repair,Sales,Own-child,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
65,42,Private,Self-emp-not-inc,136384,167793,Masters,Some-college,14,10,Married-civ-spouse,Divorced,Prof-specialty,Prof-specialty,Husband,Husband,White,White,Male,Male,0,0,0,0,50,40,United-States,United-States,>50K,<=50K
44,42,Self-emp-inc,Private,120277,167793,Assoc-voc,Some-college,11,10,Married-civ-spouse,Divorced,Sales,Prof-specialty,Husband,Unmarried,White,White,Male,Male,0,0,0,0,45,40,United-States,United-States,>50K,<=50K
36,42,Private,Self-emp-not-inc,465326,167793,HS-grad,Bachelors,9,10,Married-civ-spouse,Divorced,Farming-fishing,Prof-specialty,Husband,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
29,42,Private,Private,103634,167793,11th,Bachelors,7,10,Married-civ-spouse,Divorced,Other-service,Sales,Husband,Wife,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
20,42,State-gov,Private,138371,167793,Some-college,HS-grad,10,10,Never-married,Divorced,Farming-fishing,Adm-clerical,Own-child,Unmarried,White,White,Male,Female,0,0,0,0,32,40,United-States,United-States,<=50K,<=50K
28,42,Private,Private,242832,167793,Assoc-voc,HS-grad,11,10,Married-civ-spouse,Divorced,Prof-specialty,Exec-managerial,Wife,Own-child,White,White,Female,Male,0,0,0,0,36,40,United-States,United-States,>50K,<=50K
39,42,Private,Private,290208,167793,7th-8th,Bachelors,4,10,Married-civ-spouse,Divorced,Craft-repair,Exec-managerial,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,40,40,Mexico,United-States,<=50K,>50K
54,42,Private,Private,186272,167793,Some-college,HS-grad,10,10,Married-civ-spouse,Divorced,Transport-moving,Exec-managerial,Husband,Unmarried,White,White,Male,Male,3908,0,0,0,50,40,United-States,United-States,<=50K,<=50K
52,42,Private,Private,201062,167793,11th,HS-grad,7,10,Separated,Divorced,Priv-house-serv,Exec-managerial,Not-in-family,Not-in-family,Black,White,Female,Female,0,0,0,0,18,40,United-States,United-States,<=50K,<=50K
56,42,Self-emp-inc,Private,131916,167793,HS-grad,Some-college,9,10,Widowed,Divorced,Exec-managerial,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Male,0,0,0,0,50,40,United-States,United-States,<=50K,<=50K
18,42,Private,Private,54440,167793,Some-college,HS-grad,10,10,Never-married,Divorced,Other-service,Prof-specialty,Own-child,Husband,White,White,Male,Male,0,0,0,0,20,40,United-States,United-States,<=50K,<=50K
39,42,Private,Private,280215,167793,HS-grad,Some-college,9,10,Divorced,Divorced,Handlers-cleaners,Exec-managerial,Own-child,Husband,Black,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
21,42,Private,Private,214399,167793,Some-college,HS-grad,10,10,Never-married,Divorced,Other-service,Prof-specialty,Own-child,Own-child,White,White,Female,Female,0,0,1721,0,24,40,United-States,United-States,<=50K,<=50K
22,42,Private,Private,54164,167793,HS-grad,HS-grad,9,10,Never-married,Divorced,Other-service,Exec-managerial,Not-in-family,Husband,White,White,Male,Female,14084,0,0,0,60,40,United-States,United-States,>50K,>50K
38,42,Private,Private,219446,167793,9th,HS-grad,5,10,Married-spouse-absent,Divorced,Exec-managerial,Exec-managerial,Not-in-family,Not-in-family,White,White,Male,Male,0,0,0,0,54,40,Mexico,United-States,<=50K,>50K
21,42,Private,Private,110677,167793,Some-college,HS-grad,10,10,Never-married,Divorced,Adm-clerical,Exec-managerial,Own-child,Husband,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
63,42,Private,Private,145985,167793,HS-grad,Some-college,9,10,Married-civ-spouse,Divorced,Craft-repair,Prof-specialty,Husband,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
34,42,Local-gov,Private,382078,167793,Bachelors,Some-college,13,10,Married-civ-spouse,Divorced,Exec-managerial,Prof-specialty,Husband,Other-relative,White,White,Male,Male,3103,0,0,0,50,40,United-States,United-States,>50K,<=50K
42,42,Self-emp-inc,Private,170721,167793,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Exec-managerial,Prof-specialty,Husband,Not-in-family,White,White,Male,Male,5178,0,0,0,50,40,United-States,United-States,>50K,<=50K
33,42,Private,Private,269705,167793,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Handlers-cleaners,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
30,42,Private,Private,101135,167793,Bachelors,HS-grad,13,10,Never-married,Divorced,Exec-managerial,Exec-managerial,Not-in-family,Unmarried,White,White,Female,Male,0,0,0,0,50,40,United-States,United-States,<=50K,<=50K
39,42,Private,Private,118429,167793,Some-college,Some-college,10,10,Divorced,Divorced,Sales,Sales,Not-in-family,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
26,42,Private,Private,31208,167793,Masters,HS-grad,14,10,Never-married,Divorced,Exec-managerial,Sales,Not-in-family,Husband,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
33,42,Private,Private,281384,167793,HS-grad,HS-grad,9,10,Never-married,Divorced,Machine-op-inspct,Prof-specialty,Own-child,Own-child,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
47,42,Local-gov,Private,171807,167793,HS-grad,Some-college,9,10,Divorced,Divorced,Adm-clerical,Exec-managerial,Not-in-family,Husband,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
41,42,Private,Private,109912,167793,Bachelors,Bachelors,13,10,Never-married,Divorced,Other-service,Prof-specialty,Not-in-family,Husband,White,White,Female,Male,0,0,0,0,40,40,?,United-States,<=50K,<=50K
41,42,Self-emp-inc,Private,445382,167793,Assoc-acdm,HS-grad,12,10,Married-civ-spouse,Divorced,Craft-repair,Exec-managerial,Husband,Not-in-family,White,White,Male,Male,15024,0,0,0,60,40,United-States,United-States,>50K,<=50K
19,42,Private,Private,105460,167793,Some-college,Some-college,10,10,Never-married,Divorced,Other-service,Exec-managerial,Own-child,Husband,White,White,Male,Female,0,0,0,0,20,40,United-States,United-States,<=50K,<=50K
46,42,Private,Private,170338,167793,HS-grad,HS-grad,9,10,Separated,Divorced,Transport-moving,Adm-clerical,Not-in-family,Not-in-family,White,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
43,42,Private,Private,102606,167793,HS-grad,Some-college,9,10,Married-civ-spouse,Divorced,Sales,Exec-managerial,Husband,Own-child,White,White,Male,Male,0,0,0,0,48,40,United-States,United-States,<=50K,>50K
55,42,Private,Private,323887,167793,Some-college,Some-college,10,10,Married-civ-spouse,Divorced,Exec-managerial,Prof-specialty,Husband,Other-relative,White,White,Male,Male,15024,0,0,0,45,40,United-States,United-States,>50K,<=50K
46,42,Private,Private,175622,167793,Assoc-voc,Some-college,11,10,Married-civ-spouse,Divorced,Tech-support,Prof-specialty,Husband,Own-child,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
30,42,Private,Private,229636,167793,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Machine-op-inspct,Sales,Husband,Not-in-family,White,White,Male,Female,0,0,0,0,40,40,Mexico,United-States,<=50K,<=50K
21,42,Private,Self-emp-not-inc,388946,167793,Some-college,Bachelors,10,10,Separated,Divorced,Handlers-cleaners,Sales,Not-in-family,Own-child,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
46,42,Private,Private,269034,167793,Some-college,Some-college,10,10,Married-civ-spouse,Divorced,Craft-repair,Exec-managerial,Husband,Own-child,Other,White,Male,Male,0,0,0,0,40,40,Dominican-Republic,United-States,<=50K,<=50K
17,42,?,Private,165361,167793,10th,Some-college,6,10,Never-married,Divorced,?,Prof-specialty,Own-child,Own-child,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
41,42,Private,Private,75012,167793,HS-grad,Some-college,9,10,Married-civ-spouse,Divorced,Machine-op-inspct,Sales,Husband,Other-relative,White,White,Male,Male,0,0,0,0,50,40,United-States,United-States,<=50K,<=50K
69,42,Self-emp-inc,Private,174379,167793,HS-grad,Some-college,9,10,Married-civ-spouse,Divorced,Sales,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,30,40,United-States,United-States,<=50K,<=50K
50,42,Private,Private,312477,167793,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Transport-moving,Prof-specialty,Husband,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
20,42,Private,Private,72055,167793,Some-college,Bachelors,10,10,Never-married,Divorced,Adm-clerical,Exec-managerial,Not-in-family,Husband,White,White,Female,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
45,42,Self-emp-inc,Private,67001,167793,Some-college,Some-college,10,10,Married-civ-spouse,Divorced,Machine-op-inspct,Prof-specialty,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,50,40,United-States,United-States,<=50K,<=50K
23,42,Private,Private,213734,167793,Bachelors,HS-grad,13,10,Never-married,Divorced,Exec-managerial,Sales,Not-in-family,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
24,42,Private,Private,83141,167793,Some-college,Bachelors,10,10,Separated,Divorced,Other-service,Adm-clerical,Not-in-family,Husband,White,White,Male,Male,0,0,1876,0,40,40,United-States,United-States,<=50K,<=50K
44,42,Self-emp-inc,Private,223881,167793,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Craft-repair,Exec-managerial,Husband,Husband,White,White,Male,Female,99999,0,0,0,50,40,?,United-States,>50K,<=50K
31,42,Self-emp-not-inc,Private,113752,167793,Some-college,HS-grad,10,10,Married-civ-spouse,Divorced,Craft-repair,Sales,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,50,40,United-States,United-States,<=50K,<=50K
43,42,Private,Private,170482,167793,HS-grad,HS-grad,9,10,Separated,Divorced,Machine-op-inspct,Prof-specialty,Not-in-family,Husband,White,White,Female,Female,0,0,0,0,44,40,United-States,United-States,<=50K,>50K
20,42,Federal-gov,Private,244689,167793,11th,HS-grad,7,10,Never-married,Divorced,Other-service,Sales,Own-child,Unmarried,White,White,Female,Female,0,0,0,0,10,40,United-States,United-States,<=50K,<=50K
55,42,Private,Private,160631,167793,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Sales,Exec-managerial,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,56,40,United-States,United-States,>50K,>50K
24,42,Federal-gov,Private,228724,167793,Some-college,HS-grad,10,10,Never-married,Divorced,Armed-Forces,Prof-specialty,Not-in-family,Own-child,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
41,42,?,Private,38434,167793,Masters,HS-grad,14,10,Married-civ-spouse,Divorced,?,Prof-specialty,Wife,Unmarried,White,White,Female,Male,7688,0,0,0,10,40,United-States,United-States,>50K,<=50K
59,42,Private,Private,292946,167793,Bachelors,Some-college,13,10,Never-married,Divorced,Exec-managerial,Prof-specialty,Not-in-family,Husband,White,White,Female,Female,0,0,0,0,25,40,United-States,United-States,<=50K,>50K
49,42,Federal-gov,Private,77443,167793,7th-8th,HS-grad,4,10,Never-married,Divorced,Other-service,Prof-specialty,Not-in-family,Husband,Black,White,Male,Male,0,0,0,0,20,40,United-States,United-States,<=50K,<=50K
33,42,Private,Private,176410,167793,Masters,Some-college,14,10,Married-civ-spouse,Divorced,Prof-specialty,Sales,Wife,Not-in-family,White,White,Female,Female,5178,0,0,0,10,40,United-States,United-States,>50K,<=50K
59,42,Federal-gov,Private,98984,167793,Bachelors,Some-college,13,10,Divorced,Divorced,Adm-clerical,Prof-specialty,Not-in-family,Own-child,White,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
34,42,Private,Private,198751,167793,Masters,HS-grad,14,10,Never-married,Divorced,Other-service,Prof-specialty,Not-in-family,Wife,Amer-Indian-Eskimo,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
20,42,Private,Private,479296,167793,HS-grad,Bachelors,9,10,Never-married,Divorced,Handlers-cleaners,Prof-specialty,Own-child,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
25,42,Private,Private,235218,167793,Bachelors,Some-college,13,10,Never-married,Divorced,Exec-managerial,Sales,Own-child,Own-child,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
49,42,Private,Self-emp-not-inc,164877,167793,10th,HS-grad,6,10,Married-civ-spouse,Divorced,Farming-fishing,Prof-specialty,Husband,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
59,42,Private,Private,272087,167793,HS-grad,Some-college,9,10,Married-civ-spouse,Divorced,Transport-moving,Sales,Husband,Unmarried,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,>50K,>50K
20,42,Private,Private,169699,167793,HS-grad,Some-college,9,10,Never-married,Divorced,Adm-clerical,Exec-managerial,Not-in-family,Not-in-family,White,White,Female,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
51,42,?,Private,189762,167793,Some-college,HS-grad,10,10,Married-civ-spouse,Divorced,?,Prof-specialty,Wife,Husband,White,White,Female,Male,0,0,0,0,18,40,United-States,United-States,<=50K,<=50K
33,42,Private,Private,202191,167793,Some-college,HS-grad,10,10,Never-married,Divorced,Adm-clerical,Exec-managerial,Unmarried,Wife,Black,White,Female,Male,0,0,0,0,35,40,United-States,United-States,<=50K,>50K
22,42,Private,Private,212261,167793,Some-college,Bachelors,10,10,Never-married,Divorced,Transport-moving,Exec-managerial,Own-child,Own-child,Black,White,Male,Male,0,0,0,0,39,40,United-States,United-States,<=50K,>50K
58,42,Self-emp-not-inc,Self-emp-not-inc,301568,167793,9th,HS-grad,5,10,Widowed,Divorced,Other-service,Prof-specialty,Not-in-family,Husband,White,White,Female,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
52,42,Local-gov,Private,155233,167793,HS-grad,Some-college,9,10,Widowed,Divorced,Adm-clerical,Sales,Unmarried,Own-child,White,White,Female,Female,0,0,0,0,28,40,United-States,United-States,<=50K,<=50K
36,42,Private,Private,75826,167793,10th,HS-grad,6,10,Separated,Divorced,Machine-op-inspct,Exec-managerial,Not-in-family,Husband,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
41,42,Local-gov,Private,201520,167793,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Protective-serv,Exec-managerial,Husband,Unmarried,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
28,42,Private,Private,154236,167793,HS-grad,Bachelors,9,10,Never-married,Divorced,Transport-moving,Prof-specialty,Own-child,Not-in-family,White,White,Male,Female,2597,0,0,0,40,40,United-States,United-States,<=50K,<=50K
19,42,Private,Private,289227,167793,Some-college,HS-grad,10,10,Never-married,Divorced,Handlers-cleaners,Exec-managerial,Own-child,Wife,Black,White,Male,Male,0,0,0,0,16,40,United-States,United-States,<=50K,<=50K
18,42,Private,Private,217439,167793,HS-grad,HS-grad,9,10,Never-married,Divorced,Other-service,Adm-clerical,Not-in-family,Unmarried,White,White,Female,Female,0,0,0,0,28,40,United-States,United-States,<=50K,<=50K
18,42,Private,Private,179020,167793,HS-grad,HS-grad,9,10,Never-married,Divorced,Machine-op-inspct,Prof-specialty,Own-child,Husband,White,White,Female,Male,0,0,0,0,48,40,United-States,United-States,<=50K,<=50K
28,42,Private,Private,149624,167793,Some-college,HS-grad,10,10,Married-civ-spouse,Divorced,Craft-repair,Sales,Husband,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
29,42,Private,Private,337266,167793,Assoc-voc,HS-grad,11,10,Married-civ-spouse,Divorced,Exec-managerial,Adm-clerical,Husband,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,>50K,>50K
20,42,?,Private,30796,167793,HS-grad,HS-grad,9,10,Never-married,Divorced,?,Sales,Own-child,Husband,White,White,Female,Male,0,0,0,0,20,40,United-States,United-States,<=50K,>50K
40,42,Private,Private,103541,167793,Some-college,HS-grad,10,10,Married-civ-spouse,Divorced,Handlers-cleaners,Exec-managerial,Husband,Other-relative,White,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
26,42,Private,Private,206721,167793,HS-grad,HS-grad,9,10,Never-married,Divorced,Handlers-cleaners,Prof-specialty,Unmarried,Husband,White,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
46,42,Private,Private,96773,167793,HS-grad,Some-college,9,10,Married-civ-spouse,Divorced,Craft-repair,Sales,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
23,42,Private,Private,200967,167793,11th,Some-college,7,10,Never-married,Divorced,Other-service,Sales,Not-in-family,Unmarried,White,White,Female,Male,0,0,0,0,24,40,United-States,United-States,<=50K,<=50K
44,42,Private,Private,180019,167793,HS-grad,HS-grad,9,10,Married-spouse-absent,Divorced,Adm-clerical,Sales,Unmarried,Husband,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
43,42,Private,Private,179866,167793,Bachelors,Some-college,13,10,Divorced,Divorced,Sales,Adm-clerical,Unmarried,Not-in-family,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,>50K,<=50K
31,42,Local-gov,Private,198770,167793,Bachelors,HS-grad,13,10,Divorced,Divorced,Prof-specialty,Sales,Unmarried,Own-child,White,White,Female,Male,0,0,0,0,60,40,United-States,United-States,<=50K,<=50K
18,42,Private,Private,219256,167793,Some-college,HS-grad,10,10,Never-married,Divorced,Sales,?,Own-child,Own-child,White,White,Female,Female,0,0,0,0,25,40,United-States,United-States,<=50K,<=50K
19,42,Private,Private,248730,167793,Some-college,Bachelors,10,10,Never-married,Divorced,Protective-serv,Exec-managerial,Own-child,Not-in-family,White,White,Male,Male,0,0,0,0,30,40,United-States,United-States,<=50K,<=50K
