age,age_norelationship,workclass,workclass_norelationship,fnlwgt,fnlwgt_norelationship,education,education_norelationship,education_num,education_num_norelationship,marital_status,marital_status_norelationship,occupation,occupation_norelationship,relationship,relationship_norelationship,race,race_norelationship,sex,sex_norelationship,capital_gain,capital_gain_norelationship,capital_loss,capital_loss_norelationship,hours_per_week,hours_per_week_norelationship,native_country,native_country_norelationship,income_per_year,income_per_year_norelationship
19,34,Private,Private,289227,190762,Some-college,11th,10,7,Never-married,Never-married,Handlers-cleaners,Handlers-cleaners,Own-child,Husband,Black,White,Male,Male,0,0,0,0,16,39,United-States,United-States,<=50K,<=50K
18,30,Private,Local-gov,217439,189346,HS-grad,HS-grad,9,9,Never-married,Never-married,Other-service,Adm-clerical,Not-in-family,Husband,White,White,Female,Female,0,0,0,0,28,34,United-States,United-States,<=50K,<=50K
18,40,Private,Private,179020,125457,HS-grad,HS-grad,9,9,Never-married,Never-married,Machine-op-inspct,Handlers-cleaners,Own-child,Husband,White,White,Female,Female,0,0,0,0,48,32,United-States,United-States,<=50K,<=50K
28,24,Private,Private,149624,410034,Some-college,Bachelors,10,13,Married-civ-spouse,Never-married,Craft-repair,Sales,Husband,Husband,White,White,Male,Male,0,0,0,0,40,42,United-States,United-States,<=50K,<=50K
29,37,Private,Private,337266,65353,Assoc-voc,HS-grad,11,15,Married-civ-spouse,Separated,Exec-managerial,Prof-specialty,Husband,Husband,White,White,Male,Female,0,0,0,0,40,32,United-States,United-States,>50K,>50K
20,51,?,Private,30796,334105,HS-grad,HS-grad,9,9,Never-married,Never-married,?,Other-service,Own-child,Husband,White,White,Female,Male,0,0,0,1870,20,41,United-States,United-States,<=50K,>50K
40,28,Private,Private,103541,398626,Some-college,Some-college,10,10,Married-civ-spouse,Never-married,Handlers-cleaners,Sales,Husband,Husband,White,White,Male,Female,0,4416,0,0,40,29,United-States,United-States,<=50K,<=50K
26,41,Private,Private,206721,95283,HS-grad,HS-grad,9,9,Never-married,Divorced,Handlers-cleaners,Machine-op-inspct,Unmarried,Husband,White,White,Male,Female,0,0,0,0,40,39,United-States,United-States,<=50K,<=50K
46,49,Private,Private,96773,95530,HS-grad,9th,9,5,Married-civ-spouse,Never-married,Craft-repair,Handlers-cleaners,Husband,Husband,White,White,Male,Female,0,0,0,0,40,41,United-States,United-States,<=50K,<=50K
23,51,Private,Local-gov,200967,302312,11th,Some-college,7,10,Never-married,Divorced,Other-service,Sales,Not-in-family,Husband,White,White,Female,Female,0,0,0,0,24,41,United-States,United-States,<=50K,<=50K
44,46,Private,Local-gov,180019,196771,HS-grad,Assoc-voc,9,11,Married-spouse-absent,Never-married,Adm-clerical,Craft-repair,Unmarried,Husband,White,Black,Female,Male,0,0,0,0,40,32,United-States,United-States,<=50K,>50K
43,51,Private,Private,179866,244689,Bachelors,Some-college,13,10,Divorced,Never-married,Sales,Sales,Unmarried,Husband,White,White,Female,Male,0,0,0,0,40,45,United-States,United-States,>50K,<=50K
31,21,Local-gov,Private,198770,104094,Bachelors,HS-grad,13,9,Divorced,Divorced,Prof-specialty,Craft-repair,Unmarried,Husband,White,White,Female,Male,0,0,0,0,60,34,United-States,United-States,<=50K,<=50K
18,22,Private,Private,219256,196501,Some-college,Some-college,10,10,Never-married,Never-married,Sales,Exec-managerial,Own-child,Husband,White,White,Female,Female,0,0,0,0,25,39,United-States,United-States,<=50K,<=50K
19,38,Private,Private,248730,119545,Some-college,12th,10,13,Never-married,Never-married,Protective-serv,Exec-managerial,Own-child,Husband,White,Black,Male,Male,0,0,0,0,30,48,United-States,United-States,<=50K,<=50K
41,34,Private,Private,110732,68461,Some-college,Bachelors,10,13,Divorced,Never-married,Tech-support,Exec-managerial,Not-in-family,Husband,White,Black,Female,Male,0,0,0,0,40,39,United-States,Germany,<=50K,<=50K
