age,age_nocapital_gain,workclass,workclass_nocapital_gain,fnlwgt,fnlwgt_nocapital_gain,education,education_nocapital_gain,education_num,education_num_nocapital_gain,marital_status,marital_status_nocapital_gain,occupation,occupation_nocapital_gain,relationship,relationship_nocapital_gain,race,race_nocapital_gain,sex,sex_nocapital_gain,capital_gain,capital_gain_nocapital_gain,capital_loss,capital_loss_nocapital_gain,hours_per_week,hours_per_week_nocapital_gain,native_country,native_country_nocapital_gain,income_per_year,income_per_year_nocapital_gain
26,44,Private,Private,82091,172354,HS-grad,Bachelors,9,10,Never-married,Divorced,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,White,Female,Male,0,0,0,0,39,40,United-States,United-States,<=50K,>50K
58,44,?,Private,299831,172354,HS-grad,Bachelors,9,10,Married-civ-spouse,Divorced,?,Adm-clerical,Husband,Husband,White,White,Male,Female,0,0,0,0,35,40,United-States,United-States,<=50K,<=50K
48,44,Private,Private,279724,172354,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Machine-op-inspct,Sales,Husband,Not-in-family,White,Black,Male,Male,3103,0,0,0,48,40,United-States,United-States,>50K,<=50K
43,44,Private,Private,346189,172354,Masters,HS-grad,14,10,Married-civ-spouse,Divorced,Exec-managerial,Craft-repair,Husband,Wife,White,White,Male,Male,0,0,0,0,50,40,United-States,United-States,>50K,>50K
20,44,State-gov,Private,444554,172354,Some-college,Some-college,10,10,Never-married,Divorced,Other-service,Exec-managerial,Own-child,Not-in-family,White,White,Male,Male,0,0,0,0,25,40,United-States,United-States,<=50K,<=50K
43,44,Private,Self-emp-not-inc,128354,172354,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Adm-clerical,?,Wife,Husband,White,White,Female,Female,0,0,0,0,30,40,United-States,United-States,<=50K,<=50K
37,44,Private,Private,60548,172354,HS-grad,HS-grad,9,10,Widowed,Divorced,Machine-op-inspct,Craft-repair,Unmarried,Husband,White,White,Female,Male,0,0,0,0,20,40,United-States,United-States,<=50K,<=50K
40,44,Private,Private,85019,172354,Doctorate,HS-grad,16,10,Married-civ-spouse,Divorced,Prof-specialty,Sales,Husband,Own-child,Asian-Pac-Islander,White,Male,Male,0,0,0,0,45,40,?,United-States,>50K,<=50K
34,44,Private,Private,107914,172354,Bachelors,Some-college,13,10,Married-civ-spouse,Divorced,Tech-support,Exec-managerial,Husband,Wife,White,White,Male,Female,0,0,0,0,47,40,United-States,United-States,>50K,>50K
34,44,Private,Private,238588,172354,Some-college,HS-grad,10,10,Never-married,Divorced,Other-service,Prof-specialty,Own-child,Husband,Black,White,Female,Male,0,0,0,0,35,40,United-States,United-States,<=50K,>50K
72,44,?,Private,132015,172354,7th-8th,HS-grad,4,10,Divorced,Divorced,?,Craft-repair,Not-in-family,Husband,White,White,Female,Female,0,0,0,0,6,40,United-States,United-States,<=50K,<=50K
25,44,Private,Private,220931,172354,Bachelors,HS-grad,13,10,Never-married,Divorced,Prof-specialty,Craft-repair,Not-in-family,Husband,White,Black,Male,Male,0,0,0,0,43,40,Peru,United-States,<=50K,<=50K
25,44,Private,Private,205947,172354,Bachelors,HS-grad,13,10,Married-civ-spouse,Divorced,Prof-specialty,Craft-repair,Husband,Husband,White,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
45,44,Self-emp-not-inc,Private,432824,172354,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Craft-repair,Sales,Husband,Wife,White,White,Male,Female,7298,0,0,0,90,40,United-States,United-States,>50K,<=50K
22,44,Private,Private,236427,172354,HS-grad,Bachelors,9,10,Never-married,Divorced,Adm-clerical,Prof-specialty,Own-child,Not-in-family,White,White,Male,Male,0,0,0,0,20,40,United-States,United-States,<=50K,>50K
23,44,Private,Private,134446,172354,HS-grad,HS-grad,9,10,Separated,Divorced,Machine-op-inspct,Craft-repair,Unmarried,Not-in-family,Black,White,Male,Male,0,0,0,0,54,40,United-States,United-States,<=50K,<=50K
54,44,Private,?,99516,172354,HS-grad,Some-college,9,10,Married-civ-spouse,Divorced,Craft-repair,?,Husband,Husband,White,White,Male,Male,0,0,0,0,35,40,United-States,United-States,<=50K,>50K
32,44,Self-emp-not-inc,Private,109282,172354,Some-college,HS-grad,10,10,Never-married,Divorced,Prof-specialty,Exec-managerial,Not-in-family,Not-in-family,White,White,Male,Male,0,0,0,0,60,40,United-States,United-States,<=50K,<=50K
46,44,State-gov,Private,106444,172354,Some-college,HS-grad,10,10,Married-civ-spouse,Divorced,Exec-managerial,Craft-repair,Husband,Husband,Black,White,Male,Male,7688,0,0,0,38,40,United-States,United-States,>50K,<=50K
56,44,Self-emp-not-inc,Private,186651,172354,11th,HS-grad,7,10,Widowed,Divorced,Other-service,Prof-specialty,Unmarried,Not-in-family,White,White,Female,Male,0,0,0,0,50,40,United-States,United-States,<=50K,<=50K
24,44,Self-emp-not-inc,Private,188274,172354,Bachelors,Some-college,13,10,Never-married,Divorced,Sales,Sales,Not-in-family,Own-child,White,Black,Male,Male,0,0,0,0,50,40,United-States,United-States,<=50K,<=50K
23,44,Local-gov,Private,258120,172354,Some-college,Bachelors,10,10,Married-civ-spouse,Divorced,Protective-serv,Exec-managerial,Husband,Own-child,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
26,44,Private,Private,43311,172354,HS-grad,Some-college,9,10,Divorced,Divorced,Exec-managerial,Craft-repair,Unmarried,Husband,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
65,44,?,?,191846,172354,HS-grad,Some-college,9,10,Married-civ-spouse,Divorced,?,Other-service,Husband,Own-child,White,Black,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
36,44,Local-gov,Private,403681,172354,Bachelors,HS-grad,13,10,Married-civ-spouse,Divorced,Prof-specialty,Exec-managerial,Husband,Not-in-family,White,White,Male,Female,0,0,0,0,40,40,United-States,United-States,>50K,<=50K
22,44,Private,Private,248446,172354,5th-6th,Bachelors,3,10,Never-married,Divorced,Priv-house-serv,Craft-repair,Not-in-family,Husband,White,White,Male,Male,0,0,0,0,50,40,Guatemala,United-States,<=50K,<=50K
17,44,Private,Private,269430,172354,10th,HS-grad,6,10,Never-married,Divorced,Machine-op-inspct,Adm-clerical,Not-in-family,Husband,White,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
20,44,Private,Private,257509,172354,HS-grad,Some-college,9,10,Never-married,Divorced,Craft-repair,Sales,Own-child,Not-in-family,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
65,44,Private,Self-emp-not-inc,136384,172354,Masters,HS-grad,14,10,Married-civ-spouse,Divorced,Prof-specialty,Prof-specialty,Husband,Own-child,White,White,Male,Male,0,0,0,0,50,40,United-States,United-States,>50K,<=50K
44,44,Self-emp-inc,Private,120277,172354,Assoc-voc,Some-college,11,10,Married-civ-spouse,Divorced,Sales,Prof-specialty,Husband,Husband,White,White,Male,Male,0,0,0,0,45,40,United-States,United-States,>50K,<=50K
36,44,Private,Self-emp-not-inc,465326,172354,HS-grad,Bachelors,9,10,Married-civ-spouse,Divorced,Farming-fishing,Prof-specialty,Husband,Unmarried,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
29,44,Private,Private,103634,172354,11th,Bachelors,7,10,Married-civ-spouse,Divorced,Other-service,Craft-repair,Husband,Unmarried,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
20,44,State-gov,Private,138371,172354,Some-college,HS-grad,10,10,Never-married,Divorced,Farming-fishing,Adm-clerical,Own-child,Own-child,White,White,Male,Female,0,0,0,0,32,40,United-States,United-States,<=50K,<=50K
28,44,Private,Private,242832,172354,Assoc-voc,HS-grad,11,10,Married-civ-spouse,Divorced,Prof-specialty,Other-service,Wife,Husband,White,White,Female,Male,0,0,0,0,36,40,United-States,United-States,>50K,<=50K
39,44,Private,Private,290208,172354,7th-8th,Some-college,4,10,Married-civ-spouse,Divorced,Craft-repair,Prof-specialty,Husband,Husband,White,Black,Male,Female,0,0,0,0,40,40,Mexico,United-States,<=50K,>50K
54,44,Private,Private,186272,172354,Some-college,HS-grad,10,10,Married-civ-spouse,Divorced,Transport-moving,Sales,Husband,Husband,White,White,Male,Male,3908,0,0,0,50,40,United-States,United-States,<=50K,<=50K
52,44,Private,Private,201062,172354,11th,Bachelors,7,10,Separated,Divorced,Priv-house-serv,Sales,Not-in-family,Own-child,Black,White,Female,Female,0,0,0,0,18,40,United-States,United-States,<=50K,<=50K
56,44,Self-emp-inc,Private,131916,172354,HS-grad,Bachelors,9,10,Widowed,Divorced,Exec-managerial,Craft-repair,Not-in-family,Own-child,White,White,Female,Male,0,0,0,0,50,40,United-States,United-States,<=50K,<=50K
18,44,Private,Private,54440,172354,Some-college,HS-grad,10,10,Never-married,Divorced,Other-service,Prof-specialty,Own-child,Other-relative,White,White,Male,Male,0,0,0,0,20,40,United-States,United-States,<=50K,<=50K
39,44,Private,Private,280215,172354,HS-grad,Some-college,9,10,Divorced,Divorced,Handlers-cleaners,Exec-managerial,Own-child,Not-in-family,Black,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
21,44,Private,Private,214399,172354,Some-college,HS-grad,10,10,Never-married,Divorced,Other-service,Sales,Own-child,Own-child,White,White,Female,Female,0,0,1721,0,24,40,United-States,United-States,<=50K,<=50K
22,44,Private,Private,54164,172354,HS-grad,Bachelors,9,10,Never-married,Divorced,Other-service,Prof-specialty,Not-in-family,Not-in-family,White,White,Male,Female,14084,0,0,0,60,40,United-States,United-States,>50K,>50K
38,44,Private,Private,219446,172354,9th,Bachelors,5,10,Married-spouse-absent,Divorced,Exec-managerial,Exec-managerial,Not-in-family,Own-child,White,White,Male,Male,0,0,0,0,54,40,Mexico,United-States,<=50K,>50K
21,44,Private,Private,110677,172354,Some-college,HS-grad,10,10,Never-married,Divorced,Adm-clerical,Exec-managerial,Own-child,Own-child,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
63,44,Private,Self-emp-not-inc,145985,172354,HS-grad,Some-college,9,10,Married-civ-spouse,Divorced,Craft-repair,Sales,Husband,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
34,44,Local-gov,Private,382078,172354,Bachelors,HS-grad,13,10,Married-civ-spouse,Divorced,Exec-managerial,Craft-repair,Husband,Not-in-family,White,White,Male,Male,3103,0,0,0,50,40,United-States,United-States,>50K,<=50K
42,44,Self-emp-inc,Private,170721,172354,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Exec-managerial,Sales,Husband,Other-relative,White,White,Male,Male,5178,0,0,0,50,40,United-States,United-States,>50K,<=50K
33,44,Private,Private,269705,172354,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Handlers-cleaners,Machine-op-inspct,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
30,44,Private,Private,101135,172354,Bachelors,Bachelors,13,10,Never-married,Divorced,Exec-managerial,Adm-clerical,Not-in-family,Husband,White,White,Female,Male,0,0,0,0,50,40,United-States,United-States,<=50K,<=50K
39,44,Private,Private,118429,172354,Some-college,Bachelors,10,10,Divorced,Divorced,Sales,Sales,Not-in-family,Husband,White,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
26,44,Private,Private,31208,172354,Masters,HS-grad,14,10,Never-married,Divorced,Exec-managerial,Adm-clerical,Not-in-family,Husband,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
33,44,Private,Private,281384,172354,HS-grad,HS-grad,9,10,Never-married,Divorced,Machine-op-inspct,Sales,Own-child,Own-child,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
47,44,Local-gov,Private,171807,172354,HS-grad,Some-college,9,10,Divorced,Divorced,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
41,44,Private,Private,109912,172354,Bachelors,Some-college,13,10,Never-married,Divorced,Other-service,Craft-repair,Not-in-family,Own-child,White,White,Female,Male,0,0,0,0,40,40,?,United-States,<=50K,<=50K
41,44,Self-emp-inc,Private,445382,172354,Assoc-acdm,HS-grad,12,10,Married-civ-spouse,Divorced,Craft-repair,Adm-clerical,Husband,Husband,White,White,Male,Male,15024,0,0,0,60,40,United-States,United-States,>50K,<=50K
19,44,Private,Private,105460,172354,Some-college,Some-college,10,10,Never-married,Divorced,Other-service,Adm-clerical,Own-child,Unmarried,White,White,Male,Female,0,0,0,0,20,40,United-States,United-States,<=50K,<=50K
46,44,Private,?,170338,172354,HS-grad,HS-grad,9,10,Separated,Divorced,Transport-moving,Adm-clerical,Not-in-family,Not-in-family,White,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
43,44,Private,Private,102606,172354,HS-grad,Some-college,9,10,Married-civ-spouse,Divorced,Sales,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,48,40,United-States,United-States,<=50K,>50K
55,44,Private,Private,323887,172354,Some-college,HS-grad,10,10,Married-civ-spouse,Divorced,Exec-managerial,Craft-repair,Husband,Wife,White,White,Male,Male,15024,0,0,0,45,40,United-States,United-States,>50K,<=50K
46,44,Private,Private,175622,172354,Assoc-voc,HS-grad,11,10,Married-civ-spouse,Divorced,Tech-support,Prof-specialty,Husband,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
30,44,Private,Private,229636,172354,HS-grad,Bachelors,9,10,Married-civ-spouse,Divorced,Machine-op-inspct,Prof-specialty,Husband,Husband,White,Black,Male,Female,0,0,0,0,40,40,Mexico,United-States,<=50K,<=50K
21,44,Private,Self-emp-not-inc,388946,172354,Some-college,Bachelors,10,10,Separated,Divorced,Handlers-cleaners,Craft-repair,Not-in-family,Husband,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
46,44,Private,Private,269034,172354,Some-college,Some-college,10,10,Married-civ-spouse,Divorced,Craft-repair,Machine-op-inspct,Husband,Not-in-family,Other,White,Male,Male,0,0,0,0,40,40,Dominican-Republic,United-States,<=50K,<=50K
17,44,?,Private,165361,172354,10th,Some-college,6,10,Never-married,Divorced,?,Prof-specialty,Own-child,Wife,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
41,44,Private,Private,75012,172354,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Machine-op-inspct,Prof-specialty,Husband,Husband,White,White,Male,Male,0,0,0,0,50,40,United-States,United-States,<=50K,<=50K
69,44,Self-emp-inc,Private,174379,172354,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Sales,Adm-clerical,Husband,Husband,White,White,Male,Male,0,0,0,0,30,40,United-States,United-States,<=50K,<=50K
50,44,Private,?,312477,172354,HS-grad,Bachelors,9,10,Married-civ-spouse,Divorced,Transport-moving,Sales,Husband,Husband,White,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
20,44,Private,Private,72055,172354,Some-college,Bachelors,10,10,Never-married,Divorced,Adm-clerical,?,Not-in-family,Not-in-family,White,White,Female,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
45,44,Self-emp-inc,Private,67001,172354,Some-college,HS-grad,10,10,Married-civ-spouse,Divorced,Machine-op-inspct,?,Husband,Husband,White,White,Male,Male,0,0,0,0,50,40,United-States,United-States,<=50K,<=50K
23,44,Private,Private,213734,172354,Bachelors,HS-grad,13,10,Never-married,Divorced,Exec-managerial,Craft-repair,Not-in-family,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
24,44,Private,Private,83141,172354,Some-college,HS-grad,10,10,Separated,Divorced,Other-service,Craft-repair,Not-in-family,Unmarried,White,White,Male,Male,0,0,1876,0,40,40,United-States,United-States,<=50K,<=50K
44,44,Self-emp-inc,Private,223881,172354,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Craft-repair,Other-service,Husband,Husband,White,White,Male,Female,99999,0,0,0,50,40,?,United-States,>50K,<=50K
31,44,Self-emp-not-inc,Private,113752,172354,Some-college,HS-grad,10,10,Married-civ-spouse,Divorced,Craft-repair,Sales,Husband,Husband,White,White,Male,Male,0,0,0,0,50,40,United-States,United-States,<=50K,<=50K
43,44,Private,Private,170482,172354,HS-grad,HS-grad,9,10,Separated,Divorced,Machine-op-inspct,Craft-repair,Not-in-family,Not-in-family,White,White,Female,Female,0,0,0,0,44,40,United-States,United-States,<=50K,>50K
20,44,Federal-gov,Private,244689,172354,11th,HS-grad,7,10,Never-married,Divorced,Other-service,Sales,Own-child,Not-in-family,White,White,Female,Female,0,0,0,0,10,40,United-States,United-States,<=50K,<=50K
55,44,Private,Local-gov,160631,172354,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Sales,Adm-clerical,Husband,Unmarried,White,White,Male,Male,0,0,0,0,56,40,United-States,United-States,>50K,>50K
24,44,Federal-gov,Private,228724,172354,Some-college,HS-grad,10,10,Never-married,Divorced,Armed-Forces,Prof-specialty,Not-in-family,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
41,44,?,Private,38434,172354,Masters,Some-college,14,10,Married-civ-spouse,Divorced,?,Sales,Wife,Not-in-family,White,White,Female,Female,7688,0,0,0,10,40,United-States,United-States,>50K,<=50K
59,44,Private,Private,292946,172354,Bachelors,Bachelors,13,10,Never-married,Divorced,Exec-managerial,?,Not-in-family,Husband,White,White,Female,Female,0,0,0,0,25,40,United-States,United-States,<=50K,>50K
49,44,Federal-gov,Private,77443,172354,7th-8th,Some-college,4,10,Never-married,Divorced,Other-service,Prof-specialty,Not-in-family,Husband,Black,White,Male,Male,0,0,0,0,20,40,United-States,United-States,<=50K,<=50K
33,44,Private,Private,176410,172354,Masters,Bachelors,14,10,Married-civ-spouse,Divorced,Prof-specialty,Craft-repair,Wife,Own-child,White,White,Female,Female,5178,0,0,0,10,40,United-States,United-States,>50K,<=50K
59,44,Federal-gov,Private,98984,172354,Bachelors,HS-grad,13,10,Divorced,Divorced,Adm-clerical,Sales,Not-in-family,Own-child,White,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
34,44,Private,Private,198751,172354,Masters,HS-grad,14,10,Never-married,Divorced,Other-service,Sales,Not-in-family,Unmarried,Amer-Indian-Eskimo,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
20,44,Private,Private,479296,172354,HS-grad,Bachelors,9,10,Never-married,Divorced,Handlers-cleaners,Prof-specialty,Own-child,Own-child,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
25,44,Private,Local-gov,235218,172354,Bachelors,HS-grad,13,10,Never-married,Divorced,Exec-managerial,Craft-repair,Own-child,Not-in-family,White,White,Female,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
49,44,Private,Self-emp-not-inc,164877,172354,10th,Some-college,6,10,Married-civ-spouse,Divorced,Farming-fishing,Prof-specialty,Husband,Not-in-family,White,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
59,44,Private,Private,272087,172354,HS-grad,Some-college,9,10,Married-civ-spouse,Divorced,Transport-moving,Sales,Husband,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,>50K,>50K
20,44,Private,Private,169699,172354,HS-grad,HS-grad,9,10,Never-married,Divorced,Adm-clerical,Craft-repair,Not-in-family,Husband,White,White,Female,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
51,44,?,Private,189762,172354,Some-college,HS-grad,10,10,Married-civ-spouse,Divorced,?,Machine-op-inspct,Wife,Husband,White,White,Female,Female,0,0,0,0,18,40,United-States,United-States,<=50K,<=50K
33,44,Private,Private,202191,172354,Some-college,Some-college,10,10,Never-married,Divorced,Adm-clerical,Exec-managerial,Unmarried,Own-child,Black,White,Female,Male,0,0,0,0,35,40,United-States,United-States,<=50K,>50K
22,44,Private,Private,212261,172354,Some-college,HS-grad,10,10,Never-married,Divorced,Transport-moving,Craft-repair,Own-child,Husband,Black,White,Male,Male,0,0,0,0,39,40,United-States,United-States,<=50K,>50K
58,44,Self-emp-not-inc,Private,301568,172354,9th,Some-college,5,10,Widowed,Divorced,Other-service,Craft-repair,Not-in-family,Husband,White,White,Female,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
52,44,Local-gov,Private,155233,172354,HS-grad,Bachelors,9,10,Widowed,Divorced,Adm-clerical,Machine-op-inspct,Unmarried,Husband,White,White,Female,Female,0,0,0,0,28,40,United-States,United-States,<=50K,<=50K
36,44,Private,Private,75826,172354,10th,HS-grad,6,10,Separated,Divorced,Machine-op-inspct,Craft-repair,Not-in-family,Own-child,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
41,44,Local-gov,Private,201520,172354,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Protective-serv,Craft-repair,Husband,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
28,44,Private,Private,154236,172354,HS-grad,Bachelors,9,10,Never-married,Divorced,Transport-moving,Adm-clerical,Own-child,Not-in-family,White,White,Male,Female,2597,0,0,0,40,40,United-States,United-States,<=50K,<=50K
19,44,Private,Private,289227,172354,Some-college,Bachelors,10,10,Never-married,Divorced,Handlers-cleaners,Craft-repair,Own-child,Not-in-family,Black,White,Male,Male,0,0,0,0,16,40,United-States,United-States,<=50K,<=50K
18,44,Private,Local-gov,217439,172354,HS-grad,HS-grad,9,10,Never-married,Divorced,Other-service,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Female,0,0,0,0,28,40,United-States,United-States,<=50K,<=50K
18,44,Private,Private,179020,172354,HS-grad,HS-grad,9,10,Never-married,Divorced,Machine-op-inspct,Adm-clerical,Own-child,Husband,White,White,Female,Male,0,0,0,0,48,40,United-States,United-States,<=50K,<=50K
28,44,Private,Private,149624,172354,Some-college,Bachelors,10,10,Married-civ-spouse,Divorced,Craft-repair,Sales,Husband,Unmarried,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
29,44,Private,Private,337266,172354,Assoc-voc,HS-grad,11,10,Married-civ-spouse,Divorced,Exec-managerial,Sales,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,>50K,>50K
20,44,?,Self-emp-not-inc,30796,172354,HS-grad,HS-grad,9,10,Never-married,Divorced,?,Other-service,Own-child,Own-child,White,White,Female,Male,0,0,0,0,20,40,United-States,United-States,<=50K,>50K
40,44,Private,Private,103541,172354,Some-college,HS-grad,10,10,Married-civ-spouse,Divorced,Handlers-cleaners,Prof-specialty,Husband,Husband,White,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
26,44,Private,Private,206721,172354,HS-grad,HS-grad,9,10,Never-married,Divorced,Handlers-cleaners,Machine-op-inspct,Unmarried,Own-child,White,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
46,44,Private,Private,96773,172354,HS-grad,Bachelors,9,10,Married-civ-spouse,Divorced,Craft-repair,Exec-managerial,Husband,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
23,44,Private,Self-emp-not-inc,200967,172354,11th,Some-college,7,10,Never-married,Divorced,Other-service,Sales,Not-in-family,Not-in-family,White,White,Female,Male,0,0,0,0,24,40,United-States,United-States,<=50K,<=50K
44,44,Private,Private,180019,172354,HS-grad,Some-college,9,10,Married-spouse-absent,Divorced,Adm-clerical,Craft-repair,Unmarried,Husband,White,Black,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
43,44,Private,Private,179866,172354,Bachelors,Some-college,13,10,Divorced,Divorced,Sales,Sales,Unmarried,Own-child,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,>50K,<=50K
31,44,Local-gov,Private,198770,172354,Bachelors,HS-grad,13,10,Divorced,Divorced,Prof-specialty,Craft-repair,Unmarried,Unmarried,White,White,Female,Female,0,0,0,0,60,40,United-States,United-States,<=50K,<=50K
18,44,Private,Private,219256,172354,Some-college,Some-college,10,10,Never-married,Divorced,Sales,?,Own-child,Husband,White,White,Female,Female,0,0,0,0,25,40,United-States,United-States,<=50K,<=50K
19,44,Private,Private,248730,172354,Some-college,Bachelors,10,10,Never-married,Divorced,Protective-serv,Exec-managerial,Own-child,Wife,White,White,Male,Male,0,0,0,0,30,40,United-States,United-States,<=50K,<=50K
