age,age_nofnlwgt,workclass,workclass_nofnlwgt,fnlwgt,fnlwgt_nofnlwgt,education,education_nofnlwgt,education_num,education_num_nofnlwgt,marital_status,marital_status_nofnlwgt,occupation,occupation_nofnlwgt,relationship,relationship_nofnlwgt,race,race_nofnlwgt,sex,sex_nofnlwgt,capital_gain,capital_gain_nofnlwgt,capital_loss,capital_loss_nofnlwgt,hours_per_week,hours_per_week_nofnlwgt,native_country,native_country_nofnlwgt,income_per_year,income_per_year_nofnlwgt
65,39,Private,Private,184454,192779,HS-grad,Bachelors,9,9,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Exec-managerial,Husband,Husband,White,White,Male,Male,6418,3325,0,0,40,39,United-States,United-States,>50K,>50K
36,39,Federal-gov,Private,212465,192779,Bachelors,Some-college,13,9,Married-civ-spouse,Married-civ-spouse,Adm-clerical,Exec-managerial,Husband,Husband,White,Black,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,>50K
26,39,Private,State-gov,82091,192779,HS-grad,Bachelors,9,9,Never-married,Married-civ-spouse,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,White,Female,Male,0,3325,0,0,39,39,United-States,United-States,<=50K,>50K
58,39,?,Private,299831,192779,HS-grad,Bachelors,9,9,Married-civ-spouse,Never-married,?,Adm-clerical,Husband,Other-relative,White,White,Male,Female,0,3325,0,0,35,39,United-States,United-States,<=50K,<=50K
48,39,Private,Private,279724,192779,HS-grad,Some-college,9,9,Married-civ-spouse,Never-married,Machine-op-inspct,Sales,Husband,Not-in-family,White,Black,Male,Male,3103,3325,0,0,48,39,United-States,United-States,>50K,<=50K
43,39,Private,Private,346189,192779,Masters,Assoc-voc,14,9,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Craft-repair,Husband,Husband,White,White,Male,Male,0,3325,0,0,50,39,United-States,United-States,>50K,>50K
20,39,State-gov,Private,444554,192779,Some-college,Masters,10,9,Never-married,Married-civ-spouse,Other-service,Transport-moving,Own-child,Husband,White,White,Male,Male,0,3325,0,0,25,39,United-States,Mexico,<=50K,<=50K
43,39,Private,Self-emp-not-inc,128354,192779,HS-grad,HS-grad,9,9,Married-civ-spouse,Never-married,Adm-clerical,Farming-fishing,Wife,Own-child,White,Black,Female,Male,0,3325,0,0,30,39,United-States,United-States,<=50K,<=50K
37,39,Private,Private,60548,192779,HS-grad,HS-grad,9,9,Widowed,Never-married,Machine-op-inspct,Machine-op-inspct,Unmarried,Unmarried,White,White,Female,Male,0,3325,0,0,20,39,United-States,United-States,<=50K,<=50K
40,39,Private,Private,85019,192779,Doctorate,11th,16,9,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Sales,Husband,Husband,Asian-Pac-Islander,White,Male,Male,0,3325,0,0,45,39,?,United-States,>50K,<=50K
34,39,Private,Self-emp-not-inc,107914,192779,Bachelors,Masters,13,9,Married-civ-spouse,Divorced,Tech-support,Exec-managerial,Husband,Unmarried,White,White,Male,Female,0,3325,0,0,47,39,United-States,United-States,>50K,>50K
34,39,Private,Private,238588,192779,Some-college,Some-college,10,9,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Own-child,Husband,Black,White,Female,Male,0,3325,0,0,35,39,United-States,United-States,<=50K,>50K
72,39,?,Private,132015,192779,7th-8th,HS-grad,4,9,Divorced,Married-civ-spouse,?,Other-service,Not-in-family,Unmarried,White,Black,Female,Female,0,3325,0,0,6,39,United-States,United-States,<=50K,<=50K
25,39,Private,Federal-gov,220931,192779,Bachelors,9th,13,9,Never-married,Married-civ-spouse,Prof-specialty,Farming-fishing,Not-in-family,Own-child,White,Black,Male,Male,0,3325,0,0,43,39,Peru,United-States,<=50K,<=50K
25,39,Private,Private,205947,192779,Bachelors,11th,13,9,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Transport-moving,Husband,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
45,39,Self-emp-not-inc,Private,432824,192779,HS-grad,HS-grad,9,9,Married-civ-spouse,Divorced,Craft-repair,Prof-specialty,Husband,Unmarried,White,White,Male,Male,7298,3325,0,0,90,39,United-States,United-States,>50K,<=50K
22,39,Private,Local-gov,236427,192779,HS-grad,Bachelors,9,9,Never-married,Married-civ-spouse,Adm-clerical,Tech-support,Own-child,Husband,White,White,Male,Male,0,3325,0,0,20,39,United-States,United-States,<=50K,>50K
23,39,Private,Private,134446,192779,HS-grad,HS-grad,9,9,Separated,Never-married,Machine-op-inspct,Craft-repair,Unmarried,Own-child,Black,White,Male,Male,0,3325,0,0,54,39,United-States,United-States,<=50K,<=50K
54,39,Private,?,99516,192779,HS-grad,Some-college,9,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,?,Husband,Husband,White,Black,Male,Male,0,3325,0,0,35,39,United-States,United-States,<=50K,>50K
32,39,Self-emp-not-inc,Private,109282,192779,Some-college,HS-grad,10,9,Never-married,Divorced,Prof-specialty,Exec-managerial,Not-in-family,Not-in-family,White,White,Male,Male,0,3325,0,0,60,39,United-States,United-States,<=50K,<=50K
46,39,State-gov,Private,106444,192779,Some-college,HS-grad,10,9,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Craft-repair,Husband,Husband,Black,White,Male,Male,7688,3325,0,0,38,39,United-States,United-States,>50K,<=50K
56,39,Self-emp-not-inc,Local-gov,186651,192779,11th,Masters,7,9,Widowed,Never-married,Other-service,Handlers-cleaners,Unmarried,Not-in-family,White,White,Female,Male,0,3325,0,0,50,39,United-States,United-States,<=50K,<=50K
24,39,Self-emp-not-inc,Private,188274,192779,Bachelors,Some-college,13,9,Never-married,Never-married,Sales,Sales,Not-in-family,Own-child,White,Black,Male,Male,0,3325,0,0,50,39,United-States,United-States,<=50K,<=50K
23,39,Local-gov,Private,258120,192779,Some-college,Bachelors,10,9,Married-civ-spouse,Divorced,Protective-serv,Exec-managerial,Husband,Own-child,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
26,39,Private,Federal-gov,43311,192779,HS-grad,Some-college,9,9,Divorced,Married-civ-spouse,Exec-managerial,Prof-specialty,Unmarried,Own-child,White,White,Female,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
65,39,?,State-gov,191846,192779,HS-grad,Some-college,9,9,Married-civ-spouse,Married-civ-spouse,?,Other-service,Husband,Husband,White,Black,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
36,39,Local-gov,Private,403681,192779,Bachelors,11th,13,9,Married-civ-spouse,Never-married,Prof-specialty,Machine-op-inspct,Husband,Unmarried,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,>50K,<=50K
22,39,Private,Private,248446,192779,5th-6th,Some-college,3,9,Never-married,Never-married,Priv-house-serv,Machine-op-inspct,Not-in-family,Husband,White,White,Male,Male,0,3325,0,0,50,39,Guatemala,United-States,<=50K,<=50K
17,39,Private,Private,269430,192779,10th,HS-grad,6,9,Never-married,Divorced,Machine-op-inspct,Adm-clerical,Not-in-family,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
20,39,Private,Private,257509,192779,HS-grad,Some-college,9,9,Never-married,Married-civ-spouse,Craft-repair,Sales,Own-child,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,>50K
65,39,Private,Self-emp-not-inc,136384,192779,Masters,Assoc-acdm,14,9,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3325,0,0,50,39,United-States,United-States,>50K,<=50K
44,39,Self-emp-inc,Private,120277,192779,Assoc-voc,Some-college,11,9,Married-civ-spouse,Married-civ-spouse,Sales,Adm-clerical,Husband,Husband,White,White,Male,Male,0,3325,0,0,45,39,United-States,United-States,>50K,<=50K
36,39,Private,Private,465326,192779,HS-grad,Bachelors,9,9,Married-civ-spouse,Married-civ-spouse,Farming-fishing,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
29,39,Private,Private,103634,192779,11th,Bachelors,7,9,Married-civ-spouse,Married-civ-spouse,Other-service,Tech-support,Husband,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
20,39,State-gov,Private,138371,192779,Some-college,HS-grad,10,9,Never-married,Separated,Farming-fishing,Adm-clerical,Own-child,Unmarried,White,White,Male,Female,0,3325,0,0,32,39,United-States,United-States,<=50K,<=50K
28,39,Private,Private,242832,192779,Assoc-voc,HS-grad,11,9,Married-civ-spouse,Never-married,Prof-specialty,Handlers-cleaners,Wife,Not-in-family,White,White,Female,Male,0,3325,0,0,36,39,United-States,United-States,>50K,<=50K
39,39,Private,Private,290208,192779,7th-8th,Bachelors,4,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Transport-moving,Husband,Husband,White,Black,Male,Male,0,3325,0,0,40,39,Mexico,United-States,<=50K,>50K
54,39,Private,Private,186272,192779,Some-college,HS-grad,10,9,Married-civ-spouse,Married-civ-spouse,Transport-moving,Protective-serv,Husband,Husband,White,White,Male,Male,3908,3325,0,0,50,39,United-States,United-States,<=50K,<=50K
52,39,Private,Private,201062,192779,11th,Masters,7,9,Separated,Divorced,Priv-house-serv,Exec-managerial,Not-in-family,Unmarried,Black,White,Female,Male,0,3325,0,0,18,39,United-States,United-States,<=50K,<=50K
56,39,Self-emp-inc,State-gov,131916,192779,HS-grad,HS-grad,9,9,Widowed,Married-civ-spouse,Exec-managerial,Craft-repair,Not-in-family,Husband,White,White,Female,Male,0,3325,0,0,50,39,United-States,United-States,<=50K,<=50K
18,39,Private,Private,54440,192779,Some-college,11th,10,9,Never-married,Never-married,Other-service,Prof-specialty,Own-child,Husband,White,White,Male,Male,0,3325,0,0,20,39,United-States,United-States,<=50K,<=50K
39,39,Private,Private,280215,192779,HS-grad,Some-college,9,9,Divorced,Married-civ-spouse,Handlers-cleaners,Exec-managerial,Own-child,Wife,Black,White,Male,Female,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
21,39,Private,Private,214399,192779,Some-college,HS-grad,10,9,Never-married,Never-married,Other-service,Prof-specialty,Own-child,Own-child,White,White,Female,Female,0,3325,1721,0,24,39,United-States,United-States,<=50K,<=50K
22,39,Private,Private,54164,192779,HS-grad,HS-grad,9,9,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Wife,White,White,Male,Female,14084,3325,0,0,60,39,United-States,?,>50K,>50K
38,39,Private,Federal-gov,219446,192779,9th,Bachelors,5,9,Married-spouse-absent,Divorced,Exec-managerial,Exec-managerial,Not-in-family,Not-in-family,White,White,Male,Male,0,3325,0,0,54,39,Mexico,United-States,<=50K,>50K
21,39,Private,Self-emp-inc,110677,192779,Some-college,HS-grad,10,9,Never-married,Divorced,Adm-clerical,Exec-managerial,Own-child,Not-in-family,White,White,Female,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
63,39,Private,Private,145985,192779,HS-grad,Some-college,9,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,?,Husband,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,>50K
34,39,Local-gov,Private,382078,192779,Bachelors,Bachelors,13,9,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Machine-op-inspct,Husband,Husband,White,White,Male,Male,3103,3325,0,0,50,39,United-States,United-States,>50K,<=50K
42,39,Self-emp-inc,Private,170721,192779,HS-grad,Assoc-voc,9,9,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Other-service,Husband,Husband,White,White,Male,Male,5178,3325,0,0,50,39,United-States,United-States,>50K,<=50K
33,39,Private,Private,269705,192779,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Handlers-cleaners,Adm-clerical,Husband,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
30,39,Private,Private,101135,192779,Bachelors,HS-grad,13,9,Never-married,Married-civ-spouse,Exec-managerial,Machine-op-inspct,Not-in-family,Husband,White,White,Female,Male,0,3325,0,0,50,39,United-States,United-States,<=50K,<=50K
39,39,Private,Private,118429,192779,Some-college,Bachelors,10,9,Divorced,Married-civ-spouse,Sales,Sales,Not-in-family,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
26,39,Private,Local-gov,31208,192779,Masters,7th-8th,14,9,Never-married,Never-married,Exec-managerial,?,Not-in-family,Not-in-family,White,White,Female,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
33,39,Private,Private,281384,192779,HS-grad,HS-grad,9,9,Never-married,Married-civ-spouse,Machine-op-inspct,Transport-moving,Own-child,Husband,White,White,Female,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
47,39,Local-gov,Private,171807,192779,HS-grad,Some-college,9,9,Divorced,Married-civ-spouse,Adm-clerical,Machine-op-inspct,Not-in-family,Husband,White,White,Female,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,>50K
41,39,Private,Private,109912,192779,Bachelors,Some-college,13,9,Never-married,Divorced,Other-service,Tech-support,Not-in-family,Not-in-family,White,White,Female,Male,0,3325,0,0,40,39,?,United-States,<=50K,<=50K
41,39,Self-emp-inc,Private,445382,192779,Assoc-acdm,HS-grad,12,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Craft-repair,Husband,Husband,White,White,Male,Male,15024,3325,0,0,60,39,United-States,United-States,>50K,<=50K
19,39,Private,Private,105460,192779,Some-college,Some-college,10,9,Never-married,Divorced,Other-service,Adm-clerical,Own-child,Not-in-family,White,White,Male,Female,0,3325,0,0,20,39,United-States,United-States,<=50K,<=50K
46,39,Private,Private,170338,192779,HS-grad,HS-grad,9,9,Separated,Married-civ-spouse,Transport-moving,Adm-clerical,Not-in-family,Wife,White,White,Male,Female,0,3325,0,0,40,39,United-States,United-States,<=50K,>50K
43,39,Private,Self-emp-inc,102606,192779,HS-grad,Some-college,9,9,Married-civ-spouse,Married-civ-spouse,Sales,Exec-managerial,Husband,Husband,White,White,Male,Male,0,3325,0,0,48,39,United-States,United-States,<=50K,>50K
55,39,Private,?,323887,192779,Some-college,Some-college,10,9,Married-civ-spouse,Never-married,Exec-managerial,?,Husband,Own-child,White,White,Male,Male,15024,3325,0,0,45,39,United-States,United-States,>50K,<=50K
46,39,Private,Private,175622,192779,Assoc-voc,Some-college,11,9,Married-civ-spouse,Never-married,Tech-support,Adm-clerical,Husband,Own-child,White,Black,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
30,39,Private,Private,229636,192779,HS-grad,Bachelors,9,9,Married-civ-spouse,Never-married,Machine-op-inspct,Sales,Husband,Own-child,White,Black,Male,Female,0,3325,0,0,40,39,Mexico,United-States,<=50K,<=50K
21,39,Private,Self-emp-not-inc,388946,192779,Some-college,HS-grad,10,9,Separated,Married-civ-spouse,Handlers-cleaners,Sales,Not-in-family,Husband,White,White,Female,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,>50K
46,39,Private,Private,269034,192779,Some-college,Some-college,10,9,Married-civ-spouse,Never-married,Craft-repair,Machine-op-inspct,Husband,Not-in-family,Other,White,Male,Male,0,3325,0,0,40,39,Dominican-Republic,United-States,<=50K,<=50K
17,39,?,Private,165361,192779,10th,Some-college,6,9,Never-married,Married-civ-spouse,?,Prof-specialty,Own-child,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
41,39,Private,Private,75012,192779,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Other-service,Husband,Own-child,White,White,Male,Male,0,3325,0,0,50,39,United-States,Mexico,<=50K,<=50K
69,39,Self-emp-inc,Private,174379,192779,HS-grad,Assoc-acdm,9,9,Married-civ-spouse,Married-civ-spouse,Sales,Adm-clerical,Husband,Husband,White,White,Male,Male,0,3325,0,0,30,39,United-States,United-States,<=50K,<=50K
50,39,Private,?,312477,192779,HS-grad,10th,9,9,Married-civ-spouse,Married-civ-spouse,Transport-moving,?,Husband,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
20,39,Private,Private,72055,192779,Some-college,HS-grad,10,9,Never-married,Never-married,Adm-clerical,Other-service,Not-in-family,Own-child,White,White,Female,Female,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
45,39,Self-emp-inc,Local-gov,67001,192779,Some-college,Some-college,10,9,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Craft-repair,Husband,Husband,White,White,Male,Male,0,3325,0,0,50,39,United-States,United-States,<=50K,<=50K
23,39,Private,Private,213734,192779,Bachelors,HS-grad,13,9,Never-married,Never-married,Exec-managerial,Sales,Not-in-family,Not-in-family,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
24,39,Private,Private,83141,192779,Some-college,Bachelors,10,9,Separated,Married-civ-spouse,Other-service,Other-service,Not-in-family,Not-in-family,White,White,Male,Male,0,3325,1876,0,40,39,United-States,United-States,<=50K,<=50K
44,39,Self-emp-inc,Private,223881,192779,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Other-service,Husband,Wife,White,White,Male,Female,99999,3325,0,0,50,39,?,United-States,>50K,<=50K
31,39,Self-emp-not-inc,Private,113752,192779,Some-college,HS-grad,10,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Sales,Husband,Husband,White,White,Male,Male,0,3325,0,0,50,39,United-States,United-States,<=50K,<=50K
43,39,Private,Private,170482,192779,HS-grad,HS-grad,9,9,Separated,Married-civ-spouse,Machine-op-inspct,Craft-repair,Not-in-family,Unmarried,White,White,Female,Female,0,3325,0,0,44,39,United-States,United-States,<=50K,>50K
20,39,Federal-gov,Private,244689,192779,11th,HS-grad,7,9,Never-married,Divorced,Other-service,Sales,Own-child,Own-child,White,White,Female,Female,0,3325,0,0,10,39,United-States,United-States,<=50K,<=50K
55,39,Private,Local-gov,160631,192779,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Sales,Tech-support,Husband,Husband,White,White,Male,Male,0,3325,0,0,56,39,United-States,United-States,>50K,>50K
24,39,Federal-gov,Private,228724,192779,Some-college,Masters,10,9,Never-married,Married-civ-spouse,Armed-Forces,Prof-specialty,Not-in-family,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
41,39,?,Private,38434,192779,Masters,9th,14,9,Married-civ-spouse,Never-married,?,Machine-op-inspct,Wife,Not-in-family,White,White,Female,Male,7688,3325,0,0,10,39,United-States,United-States,>50K,<=50K
59,39,Private,Federal-gov,292946,192779,Bachelors,Some-college,13,9,Never-married,Married-civ-spouse,Exec-managerial,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Female,0,3325,0,0,25,39,United-States,United-States,<=50K,>50K
49,39,Federal-gov,Private,77443,192779,7th-8th,Assoc-voc,4,9,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Husband,Black,White,Male,Male,0,3325,0,0,20,39,United-States,United-States,<=50K,<=50K
33,39,Private,Private,176410,192779,Masters,Some-college,14,9,Married-civ-spouse,Divorced,Prof-specialty,Craft-repair,Wife,Unmarried,White,White,Female,Female,5178,3325,0,0,10,39,United-States,United-States,>50K,<=50K
59,39,Federal-gov,Private,98984,192779,Bachelors,Some-college,13,9,Divorced,Divorced,Adm-clerical,Machine-op-inspct,Not-in-family,Unmarried,White,Black,Male,Female,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
34,39,Private,Private,198751,192779,Masters,HS-grad,14,9,Never-married,Married-civ-spouse,Other-service,Adm-clerical,Not-in-family,Wife,Amer-Indian-Eskimo,Black,Male,Female,0,3325,0,0,40,39,United-States,?,<=50K,<=50K
20,39,Private,Local-gov,479296,192779,HS-grad,HS-grad,9,9,Never-married,Married-civ-spouse,Handlers-cleaners,Exec-managerial,Own-child,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,>50K
25,39,Private,Local-gov,235218,192779,Bachelors,Some-college,13,9,Never-married,Never-married,Exec-managerial,Handlers-cleaners,Own-child,Not-in-family,White,White,Female,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
49,39,Private,Self-emp-not-inc,164877,192779,10th,Some-college,6,9,Married-civ-spouse,Married-civ-spouse,Farming-fishing,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,>50K
59,39,Private,Private,272087,192779,HS-grad,Some-college,9,9,Married-civ-spouse,Married-civ-spouse,Transport-moving,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,>50K,>50K
20,39,Private,Private,169699,192779,HS-grad,Assoc-acdm,9,9,Never-married,Divorced,Adm-clerical,Exec-managerial,Not-in-family,Unmarried,White,White,Female,Female,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
51,39,?,Federal-gov,189762,192779,Some-college,HS-grad,10,9,Married-civ-spouse,Never-married,?,Other-service,Wife,Own-child,White,Black,Female,Male,0,3325,0,0,18,39,United-States,United-States,<=50K,<=50K
33,39,Private,Private,202191,192779,Some-college,Masters,10,9,Never-married,Married-civ-spouse,Adm-clerical,Exec-managerial,Unmarried,Husband,Black,White,Female,Male,0,3325,0,0,35,39,United-States,United-States,<=50K,>50K
22,39,Private,Private,212261,192779,Some-college,Bachelors,10,9,Never-married,Married-civ-spouse,Transport-moving,Exec-managerial,Own-child,Not-in-family,Black,White,Male,Male,0,3325,0,0,39,39,United-States,United-States,<=50K,>50K
58,39,Self-emp-not-inc,Self-emp-not-inc,301568,192779,9th,HS-grad,5,9,Widowed,Never-married,Other-service,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Female,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
52,39,Local-gov,Private,155233,192779,HS-grad,Some-college,9,9,Widowed,Never-married,Adm-clerical,Tech-support,Unmarried,Own-child,White,White,Female,Female,0,3325,0,0,28,39,United-States,United-States,<=50K,<=50K
36,39,Private,Private,75826,192779,10th,HS-grad,6,9,Separated,Never-married,Machine-op-inspct,Craft-repair,Not-in-family,Not-in-family,White,White,Female,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
41,39,Local-gov,Private,201520,192779,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Protective-serv,Craft-repair,Husband,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,>50K
28,39,Private,?,154236,192779,HS-grad,10th,9,9,Never-married,Married-civ-spouse,Transport-moving,Other-service,Own-child,Own-child,White,White,Male,Female,2597,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
19,39,Private,Private,289227,192779,Some-college,11th,10,9,Never-married,Never-married,Handlers-cleaners,Handlers-cleaners,Own-child,Own-child,Black,White,Male,Male,0,3325,0,0,16,39,United-States,United-States,<=50K,<=50K
18,39,Private,Local-gov,217439,192779,HS-grad,HS-grad,9,9,Never-married,Never-married,Other-service,Adm-clerical,Not-in-family,Not-in-family,White,White,Female,Female,0,3325,0,0,28,39,United-States,United-States,<=50K,<=50K
18,39,Private,Private,179020,192779,HS-grad,HS-grad,9,9,Never-married,Never-married,Machine-op-inspct,Handlers-cleaners,Own-child,Husband,White,White,Female,Male,0,3325,0,0,48,39,United-States,United-States,<=50K,<=50K
28,39,Private,Private,149624,192779,Some-college,Bachelors,10,9,Married-civ-spouse,Never-married,Craft-repair,Sales,Husband,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
29,39,Private,Private,337266,192779,Assoc-voc,Some-college,11,9,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,>50K,>50K
20,39,?,Self-emp-not-inc,30796,192779,HS-grad,HS-grad,9,9,Never-married,Married-civ-spouse,?,Other-service,Own-child,Husband,White,White,Female,Male,0,3325,0,0,20,39,United-States,United-States,<=50K,>50K
40,39,Private,Private,103541,192779,Some-college,Some-college,10,9,Married-civ-spouse,Married-civ-spouse,Handlers-cleaners,Sales,Husband,Wife,White,White,Male,Female,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
26,39,Private,Private,206721,192779,HS-grad,HS-grad,9,9,Never-married,Never-married,Handlers-cleaners,Machine-op-inspct,Unmarried,Own-child,White,White,Male,Female,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
46,39,Private,Private,96773,192779,HS-grad,9th,9,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Handlers-cleaners,Husband,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
23,39,Private,Private,200967,192779,11th,Some-college,7,9,Never-married,Married-civ-spouse,Other-service,Sales,Not-in-family,Husband,White,White,Female,Male,0,3325,0,0,24,39,United-States,United-States,<=50K,<=50K
