age,age_noworkclass,workclass,workclass_noworkclass,fnlwgt,fnlwgt_noworkclass,education,education_noworkclass,education_num,education_num_noworkclass,marital_status,marital_status_noworkclass,occupation,occupation_noworkclass,relationship,relationship_noworkclass,race,race_noworkclass,sex,sex_noworkclass,capital_gain,capital_gain_noworkclass,capital_loss,capital_loss_noworkclass,hours_per_week,hours_per_week_noworkclass,native_country,native_country_noworkclass,income_per_year,income_per_year_noworkclass
42,36,Self-emp-inc,Private,170721,35603,HS-grad,7th-8th,9,10,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Other-service,Husband,Husband,White,White,Male,Male,5178,3674,0,1741,50,34,United-States,Puerto-Rico,>50K,<=50K
33,36,Private,Private,269705,137733,HS-grad,HS-grad,9,10,Married-civ-spouse,Married-civ-spouse,Handlers-cleaners,Adm-clerical,Husband,Husband,White,White,Male,Male,0,3674,0,1741,40,43,United-States,United-States,<=50K,<=50K
30,23,Private,Private,101135,185616,Bachelors,HS-grad,13,10,Never-married,Married-civ-spouse,Exec-managerial,Prof-specialty,Not-in-family,Husband,White,White,Female,Male,0,3674,0,1741,50,34,United-States,United-States,<=50K,<=50K
39,23,Private,Private,118429,35603,Some-college,Bachelors,10,14,Divorced,Married-civ-spouse,Sales,Prof-specialty,Not-in-family,Husband,White,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
26,36,Private,Private,31208,288825,Masters,7th-8th,14,2,Never-married,Divorced,Exec-managerial,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Male,0,3674,0,1741,40,43,United-States,?,<=50K,<=50K
33,51,Private,Private,281384,137733,HS-grad,HS-grad,9,10,Never-married,Married-civ-spouse,Machine-op-inspct,Transport-moving,Own-child,Husband,White,White,Female,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
47,36,Local-gov,Private,171807,116080,HS-grad,Doctorate,9,14,Divorced,Married-civ-spouse,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,White,Female,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,>50K
41,23,Private,Private,109912,84390,Bachelors,Some-college,13,10,Never-married,Divorced,Other-service,Tech-support,Not-in-family,Not-in-family,White,White,Female,Male,0,3674,0,1741,40,43,?,United-States,<=50K,<=50K
41,36,Self-emp-inc,Private,445382,137733,Assoc-acdm,HS-grad,12,10,Married-civ-spouse,Married-civ-spouse,Craft-repair,Craft-repair,Husband,Husband,White,White,Male,Male,15024,3674,0,1741,60,34,United-States,United-States,>50K,<=50K
19,23,Private,Private,105460,160703,Some-college,Some-college,10,10,Never-married,Divorced,Other-service,Adm-clerical,Own-child,Not-in-family,White,White,Male,Female,0,3674,0,1741,20,34,United-States,United-States,<=50K,<=50K
46,51,Private,Private,170338,160703,HS-grad,Some-college,9,10,Separated,Married-civ-spouse,Transport-moving,Adm-clerical,Not-in-family,Wife,White,Black,Male,Female,0,3674,0,1741,40,34,United-States,United-States,<=50K,>50K
43,51,Private,Private,102606,204817,HS-grad,Some-college,9,10,Married-civ-spouse,Married-civ-spouse,Sales,Transport-moving,Husband,Not-in-family,White,White,Male,Male,0,3674,0,1741,48,43,United-States,United-States,<=50K,>50K
55,23,Private,Private,323887,204817,Some-college,Some-college,10,10,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Prof-specialty,Husband,Husband,White,White,Male,Male,15024,3674,0,1741,45,43,United-States,United-States,>50K,<=50K
46,23,Private,Private,175622,84390,Assoc-voc,Some-college,11,10,Married-civ-spouse,Never-married,Tech-support,Prof-specialty,Husband,Own-child,White,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
30,23,Private,Private,229636,288825,HS-grad,Bachelors,9,14,Married-civ-spouse,Separated,Machine-op-inspct,Other-service,Husband,Own-child,White,Black,Male,Female,0,3674,0,1741,40,34,Mexico,United-States,<=50K,<=50K
21,23,Private,Private,388946,160703,Some-college,Bachelors,10,14,Separated,Married-civ-spouse,Handlers-cleaners,Exec-managerial,Not-in-family,Husband,White,White,Female,Male,0,3674,0,1741,40,55,United-States,United-States,<=50K,>50K
46,23,Private,Private,269034,204817,Some-college,10th,10,10,Married-civ-spouse,Never-married,Craft-repair,Prof-specialty,Husband,Not-in-family,Other,White,Male,Male,0,3674,0,1741,40,34,Dominican-Republic,United-States,<=50K,<=50K
17,77,?,Private,165361,116080,10th,Some-college,6,10,Never-married,Married-civ-spouse,?,Prof-specialty,Own-child,Other-relative,White,White,Male,Male,0,3674,0,1741,40,20,United-States,United-States,<=50K,<=50K
41,23,Private,Private,75012,204817,HS-grad,HS-grad,9,10,Married-civ-spouse,Never-married,Machine-op-inspct,Other-service,Husband,Own-child,White,White,Male,Male,0,3674,0,1741,50,34,United-States,Mexico,<=50K,<=50K
69,36,Self-emp-inc,Private,174379,35603,HS-grad,Assoc-acdm,9,10,Married-civ-spouse,Married-civ-spouse,Sales,Adm-clerical,Husband,Husband,White,White,Male,Male,0,3674,0,1741,30,34,United-States,United-States,<=50K,<=50K
50,64,Private,Private,312477,204817,HS-grad,Bachelors,9,6,Married-civ-spouse,Married-civ-spouse,Transport-moving,Exec-managerial,Husband,Husband,White,White,Male,Male,0,3674,0,1741,40,7,United-States,United-States,<=50K,<=50K
20,23,Private,Private,72055,288825,Some-college,11th,10,6,Never-married,Never-married,Adm-clerical,Adm-clerical,Not-in-family,Husband,White,White,Female,Female,0,3674,0,1741,40,20,United-States,United-States,<=50K,<=50K
45,36,Self-emp-inc,Private,67001,116080,Some-college,7th-8th,10,2,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Farming-fishing,Husband,Not-in-family,White,White,Male,Male,0,3674,0,1741,50,34,United-States,United-States,<=50K,<=50K
23,23,Private,Private,213734,379885,Bachelors,HS-grad,13,10,Never-married,Never-married,Exec-managerial,Prof-specialty,Not-in-family,Not-in-family,White,White,Male,Male,0,3674,0,1741,40,20,United-States,United-States,<=50K,<=50K
24,51,Private,Private,83141,235521,Some-college,Bachelors,10,14,Separated,Married-civ-spouse,Other-service,Other-service,Not-in-family,Husband,White,White,Male,Male,0,3674,1876,1741,40,34,United-States,Cuba,<=50K,<=50K
44,36,Self-emp-inc,Private,223881,35603,HS-grad,Some-college,9,10,Married-civ-spouse,Married-civ-spouse,Craft-repair,Other-service,Husband,Wife,White,White,Male,Female,99999,3674,0,1741,50,34,?,United-States,>50K,<=50K
31,51,Self-emp-not-inc,Private,113752,137733,Some-college,HS-grad,10,10,Married-civ-spouse,Married-civ-spouse,Craft-repair,Protective-serv,Husband,Husband,White,White,Male,Male,0,3674,0,1741,50,43,United-States,United-States,<=50K,<=50K
43,36,Private,Private,170482,288825,HS-grad,HS-grad,9,10,Separated,Married-civ-spouse,Machine-op-inspct,Craft-repair,Not-in-family,Not-in-family,White,White,Female,Female,0,3674,0,1741,44,34,United-States,United-States,<=50K,>50K
20,51,Federal-gov,Private,244689,379885,11th,Masters,7,10,Never-married,Married-civ-spouse,Other-service,Craft-repair,Own-child,Own-child,White,White,Female,Female,0,3674,0,1741,10,34,United-States,United-States,<=50K,<=50K
55,51,Private,Private,160631,288825,HS-grad,HS-grad,9,10,Married-civ-spouse,Married-civ-spouse,Sales,Adm-clerical,Husband,Husband,White,White,Male,Male,0,3674,0,1741,56,34,United-States,United-States,>50K,>50K
24,36,Federal-gov,Private,228724,185616,Some-college,Masters,10,14,Never-married,Married-civ-spouse,Armed-Forces,Prof-specialty,Not-in-family,Husband,White,White,Male,Male,0,3674,0,1741,40,43,United-States,United-States,<=50K,<=50K
41,23,?,Private,38434,35603,Masters,9th,14,6,Married-civ-spouse,Never-married,?,Exec-managerial,Wife,Not-in-family,White,White,Female,Male,7688,3674,0,1741,10,34,United-States,United-States,>50K,<=50K
59,51,Private,Private,292946,379885,Bachelors,Doctorate,13,14,Never-married,Never-married,Exec-managerial,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Female,0,3674,0,1741,25,55,United-States,United-States,<=50K,>50K
49,51,Federal-gov,Private,77443,235521,7th-8th,HS-grad,4,10,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Husband,Black,White,Male,Male,0,3674,0,1741,20,34,United-States,United-States,<=50K,<=50K
33,36,Private,Private,176410,288825,Masters,Some-college,14,10,Married-civ-spouse,Divorced,Prof-specialty,Exec-managerial,Wife,Unmarried,White,White,Female,Female,5178,3674,0,1741,10,34,United-States,United-States,>50K,<=50K
59,23,Federal-gov,Private,98984,204817,Bachelors,Some-college,13,10,Divorced,Divorced,Adm-clerical,Prof-specialty,Not-in-family,Not-in-family,White,Black,Male,Female,0,3674,0,1741,40,20,United-States,United-States,<=50K,<=50K
34,23,Private,Private,198751,116080,Masters,HS-grad,14,10,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Wife,Amer-Indian-Eskimo,Asian-Pac-Islander,Male,Female,0,3674,0,1741,40,34,United-States,?,<=50K,<=50K
20,36,Private,Private,479296,235521,HS-grad,Bachelors,9,14,Never-married,Married-civ-spouse,Handlers-cleaners,Other-service,Own-child,Husband,White,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,>50K
25,23,Private,Private,235218,116080,Bachelors,Some-college,13,10,Never-married,Never-married,Exec-managerial,Exec-managerial,Own-child,Not-in-family,White,White,Female,Male,0,3674,0,1741,40,43,United-States,United-States,<=50K,<=50K
49,51,Private,Private,164877,204817,10th,Doctorate,6,14,Married-civ-spouse,Married-civ-spouse,Farming-fishing,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3674,0,1741,40,55,United-States,United-States,<=50K,>50K
59,36,Private,Private,272087,185616,HS-grad,Some-college,9,10,Married-civ-spouse,Married-civ-spouse,Transport-moving,Other-service,Husband,Husband,White,White,Male,Male,0,3674,0,1741,40,43,United-States,United-States,>50K,>50K
20,51,Private,Private,169699,160703,HS-grad,Assoc-acdm,9,10,Never-married,Married-civ-spouse,Adm-clerical,Exec-managerial,Not-in-family,Unmarried,White,White,Female,Female,0,3674,0,1741,40,34,United-States,England,<=50K,<=50K
51,36,?,Private,189762,235521,Some-college,HS-grad,10,6,Married-civ-spouse,Never-married,?,Other-service,Wife,Own-child,White,Black,Female,Male,0,3674,0,1741,18,43,United-States,United-States,<=50K,<=50K
33,77,Private,Private,202191,116080,Some-college,Masters,10,14,Never-married,Married-civ-spouse,Adm-clerical,Exec-managerial,Unmarried,Husband,Black,White,Female,Male,0,3674,0,1741,35,34,United-States,United-States,<=50K,>50K
22,36,Private,Private,212261,185616,Some-college,Bachelors,10,14,Never-married,Married-civ-spouse,Transport-moving,Exec-managerial,Own-child,Husband,Black,White,Male,Male,0,3674,0,1741,39,43,United-States,United-States,<=50K,>50K
58,51,Self-emp-not-inc,Private,301568,160703,9th,Masters,5,14,Widowed,Never-married,Other-service,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Female,0,3674,0,1741,40,43,United-States,United-States,<=50K,<=50K
52,23,Local-gov,Private,155233,185616,HS-grad,HS-grad,9,10,Widowed,Never-married,Adm-clerical,Tech-support,Unmarried,Own-child,White,White,Female,Female,0,3674,0,1741,28,34,United-States,United-States,<=50K,<=50K
36,23,Private,Private,75826,84390,10th,Some-college,6,10,Separated,Never-married,Machine-op-inspct,Tech-support,Not-in-family,Not-in-family,White,White,Female,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
41,36,Local-gov,Private,201520,379885,HS-grad,HS-grad,9,6,Married-civ-spouse,Married-civ-spouse,Protective-serv,Craft-repair,Husband,Not-in-family,White,White,Male,Female,0,3674,0,1741,40,34,United-States,United-States,<=50K,>50K
28,23,Private,Private,154236,288825,HS-grad,Bachelors,9,6,Never-married,Divorced,Transport-moving,Transport-moving,Own-child,Own-child,White,White,Male,Male,2597,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
19,23,Private,Private,289227,185616,Some-college,Masters,10,6,Never-married,Never-married,Handlers-cleaners,Craft-repair,Own-child,Own-child,Black,White,Male,Male,0,3674,0,1741,16,34,United-States,United-States,<=50K,<=50K
18,36,Private,Private,217439,185616,HS-grad,HS-grad,9,10,Never-married,Never-married,Other-service,Adm-clerical,Not-in-family,Not-in-family,White,White,Female,Female,0,3674,0,1741,28,34,United-States,United-States,<=50K,<=50K
18,36,Private,Private,179020,116080,HS-grad,HS-grad,9,10,Never-married,Married-civ-spouse,Machine-op-inspct,Prof-specialty,Own-child,Husband,White,White,Female,Male,0,3674,0,1741,48,34,United-States,United-States,<=50K,<=50K
28,23,Private,Private,149624,379885,Some-college,Bachelors,10,14,Married-civ-spouse,Married-civ-spouse,Craft-repair,Other-service,Husband,Other-relative,White,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
29,36,Private,Private,337266,35603,Assoc-voc,Prof-school,11,14,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,>50K,>50K
20,51,?,Private,30796,379885,HS-grad,HS-grad,9,10,Never-married,Divorced,?,Other-service,Own-child,Husband,White,White,Female,Female,0,3674,0,1741,20,43,United-States,United-States,<=50K,>50K
40,23,Private,Private,103541,379885,Some-college,Some-college,10,10,Married-civ-spouse,Married-civ-spouse,Handlers-cleaners,Exec-managerial,Husband,Wife,White,White,Male,Female,0,3674,0,1741,40,20,United-States,United-States,<=50K,<=50K
26,36,Private,Private,206721,84390,HS-grad,HS-grad,9,10,Never-married,Never-married,Handlers-cleaners,Prof-specialty,Unmarried,Own-child,White,White,Male,Female,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
46,51,Private,Private,96773,84390,HS-grad,HS-grad,9,6,Married-civ-spouse,Married-civ-spouse,Craft-repair,Other-service,Husband,Husband,White,White,Male,Male,0,3674,0,1741,40,43,United-States,United-States,<=50K,<=50K
23,51,Private,Private,200967,288825,11th,Some-college,7,10,Never-married,Married-civ-spouse,Other-service,Tech-support,Not-in-family,Other-relative,White,White,Female,Male,0,3674,0,1741,24,43,United-States,United-States,<=50K,<=50K
