age,age_nooccupation,workclass,workclass_nooccupation,fnlwgt,fnlwgt_nooccupation,education,education_nooccupation,education_num,education_num_nooccupation,marital_status,marital_status_nooccupation,occupation,occupation_nooccupation,relationship,relationship_nooccupation,race,race_nooccupation,sex,sex_nooccupation,capital_gain,capital_gain_nooccupation,capital_loss,capital_loss_nooccupation,hours_per_week,hours_per_week_nooccupation,native_country,native_country_nooccupation,income_per_year,income_per_year_nooccupation
23,20,Private,Private,134446,168212,HS-grad,HS-grad,9,8,Separated,Never-married,Machine-op-inspct,Prof-specialty,Unmarried,Own-child,Black,White,Male,Female,0,2407,0,1590,54,40,United-States,United-States,<=50K,<=50K
54,52,Private,Private,99516,180955,HS-grad,Some-college,9,10,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Husband,White,Asian-Pac-Islander,Male,Male,0,2407,0,1590,35,77,United-States,United-States,<=50K,>50K
32,39,Self-emp-not-inc,Private,109282,411037,Some-college,HS-grad,10,8,Never-married,Divorced,Prof-specialty,Prof-specialty,Not-in-family,Not-in-family,White,White,Male,Male,0,2407,0,1590,60,77,United-States,United-States,<=50K,<=50K
46,46,State-gov,Private,106444,192894,Some-college,HS-grad,10,8,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Prof-specialty,Husband,Not-in-family,Black,White,Male,Male,7688,2407,0,1590,38,40,United-States,United-States,>50K,<=50K
56,26,Self-emp-not-inc,Private,186651,180955,11th,Assoc-acdm,7,10,Widowed,Never-married,Other-service,Prof-specialty,Unmarried,Not-in-family,White,White,Female,Male,0,2407,0,1590,50,55,United-States,United-States,<=50K,<=50K
24,20,Self-emp-not-inc,Private,188274,282948,Bachelors,Some-college,13,10,Never-married,Never-married,Sales,Prof-specialty,Not-in-family,Own-child,White,Black,Male,Male,0,2407,0,1590,50,40,United-States,United-States,<=50K,<=50K
23,46,Local-gov,Private,258120,411037,Some-college,5th-6th,10,13,Married-civ-spouse,Divorced,Protective-serv,Prof-specialty,Husband,Own-child,White,White,Male,Male,0,2407,0,1590,40,40,United-States,United-States,<=50K,<=50K
26,26,Private,Private,43311,68326,HS-grad,10th,9,10,Divorced,Married-civ-spouse,Exec-managerial,Prof-specialty,Unmarried,Own-child,White,White,Female,Male,0,2407,0,1590,40,40,United-States,United-States,<=50K,<=50K
65,20,?,State-gov,191846,331649,HS-grad,Some-college,9,10,Married-civ-spouse,Married-civ-spouse,?,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2407,0,1590,40,8,United-States,United-States,<=50K,<=50K
36,52,Local-gov,Private,403681,248446,Bachelors,11th,13,6,Married-civ-spouse,Never-married,Prof-specialty,Prof-specialty,Husband,Unmarried,White,White,Male,Male,0,2407,0,1590,40,40,United-States,Puerto-Rico,>50K,<=50K
22,20,Private,Private,248446,192894,5th-6th,Some-college,3,10,Never-married,Never-married,Priv-house-serv,Prof-specialty,Not-in-family,Own-child,White,White,Male,Male,0,2407,0,1590,50,40,Guatemala,United-States,<=50K,<=50K
17,20,Private,Private,269430,411037,10th,HS-grad,6,8,Never-married,Married-AF-spouse,Machine-op-inspct,Prof-specialty,Not-in-family,Wife,White,White,Male,Male,0,2407,0,1590,40,25,United-States,United-States,<=50K,<=50K
20,33,Private,Private,257509,68326,HS-grad,Some-college,9,10,Never-married,Married-civ-spouse,Craft-repair,Prof-specialty,Own-child,Husband,White,White,Male,Male,0,2407,0,1590,40,40,United-States,?,<=50K,>50K
65,46,Private,Private,136384,282948,Masters,Assoc-acdm,14,13,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2407,0,1590,50,40,United-States,United-States,>50K,<=50K
44,33,Self-emp-inc,Private,120277,411037,Assoc-voc,9th,11,4,Married-civ-spouse,Married-civ-spouse,Sales,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2407,0,1590,45,40,United-States,United-States,>50K,<=50K
36,52,Private,Private,465326,98746,HS-grad,HS-grad,9,13,Married-civ-spouse,Married-civ-spouse,Farming-fishing,Prof-specialty,Husband,Own-child,White,White,Male,Male,0,2407,0,1590,40,40,United-States,United-States,<=50K,<=50K
29,26,Private,Private,103634,180955,11th,HS-grad,7,13,Married-civ-spouse,Married-civ-spouse,Other-service,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2407,0,1590,40,55,United-States,United-States,<=50K,<=50K
20,46,State-gov,Private,138371,98746,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,Farming-fishing,Prof-specialty,Own-child,Husband,White,White,Male,Female,0,2407,0,1590,32,40,United-States,United-States,<=50K,<=50K
28,26,Private,Private,242832,282948,Assoc-voc,Some-college,11,10,Married-civ-spouse,Widowed,Prof-specialty,Prof-specialty,Wife,Not-in-family,White,White,Female,Male,0,2407,0,1590,36,40,United-States,United-States,>50K,<=50K
39,52,Private,Federal-gov,290208,331649,7th-8th,HS-grad,4,13,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Husband,White,Black,Male,Male,0,2407,0,1590,40,40,Mexico,United-States,<=50K,>50K
54,52,Private,Private,186272,133061,Some-college,HS-grad,10,8,Married-civ-spouse,Married-civ-spouse,Transport-moving,Prof-specialty,Husband,Husband,White,White,Male,Male,3908,2407,0,1590,50,40,United-States,United-States,<=50K,<=50K
52,39,Private,Private,201062,133061,11th,11th,7,13,Separated,Divorced,Priv-house-serv,Prof-specialty,Not-in-family,Unmarried,Black,White,Female,Female,0,2407,0,1590,18,40,United-States,United-States,<=50K,<=50K
56,39,Self-emp-inc,State-gov,131916,98746,HS-grad,Assoc-voc,9,10,Widowed,Married-civ-spouse,Exec-managerial,Prof-specialty,Not-in-family,Own-child,White,White,Female,Male,0,2407,0,1590,50,40,United-States,United-States,<=50K,<=50K
18,26,Private,Private,54440,282948,Some-college,Assoc-voc,10,10,Never-married,Never-married,Other-service,Prof-specialty,Own-child,Own-child,White,White,Male,Male,0,2407,0,1590,20,40,United-States,United-States,<=50K,<=50K
39,26,Private,Private,280215,34918,HS-grad,Some-college,9,10,Divorced,Never-married,Handlers-cleaners,Prof-specialty,Own-child,Other-relative,Black,Other,Male,Female,0,2407,0,1590,40,40,United-States,United-States,<=50K,<=50K
21,20,Private,Private,214399,222848,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Own-child,Husband,White,White,Female,Male,0,2407,1721,1590,24,25,United-States,?,<=50K,<=50K
22,46,Private,Private,54164,68326,HS-grad,HS-grad,9,15,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Not-in-family,White,White,Male,Female,14084,2407,0,1590,60,55,United-States,Honduras,>50K,>50K
38,46,Private,Private,219446,248446,9th,9th,5,13,Married-spouse-absent,Divorced,Exec-managerial,Prof-specialty,Not-in-family,Not-in-family,White,White,Male,Male,0,2407,0,1590,54,55,Mexico,United-States,<=50K,>50K
21,46,Private,Private,110677,115358,Some-college,HS-grad,10,8,Never-married,Divorced,Adm-clerical,Prof-specialty,Own-child,Not-in-family,White,White,Female,Male,0,2407,0,1590,40,55,United-States,United-States,<=50K,<=50K
63,46,Private,Private,145985,248446,HS-grad,Some-college,9,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2407,0,1590,40,40,United-States,United-States,<=50K,>50K
34,46,Local-gov,Private,382078,222848,Bachelors,HS-grad,13,4,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Prof-specialty,Husband,Husband,White,White,Male,Male,3103,2407,0,1590,50,40,United-States,Mexico,>50K,<=50K
42,33,Self-emp-inc,Private,170721,68326,HS-grad,Assoc-voc,9,10,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Prof-specialty,Husband,Husband,White,White,Male,Male,5178,2407,0,1590,50,40,United-States,Puerto-Rico,>50K,<=50K
33,39,Private,Private,269705,152652,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Handlers-cleaners,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2407,0,1590,40,55,United-States,United-States,<=50K,<=50K
30,33,Private,Private,101135,192894,Bachelors,HS-grad,13,8,Never-married,Married-civ-spouse,Exec-managerial,Prof-specialty,Not-in-family,Husband,White,White,Female,Male,0,6514,0,1590,50,40,United-States,United-States,<=50K,<=50K
39,26,Private,Private,118429,68326,Some-college,Bachelors,10,13,Divorced,Married-civ-spouse,Sales,Prof-specialty,Not-in-family,Husband,White,White,Male,Male,0,2407,0,1590,40,40,United-States,United-States,<=50K,<=50K
26,33,Private,Private,31208,282948,Masters,7th-8th,14,4,Never-married,Married-spouse-absent,Exec-managerial,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Male,0,2407,0,1590,40,55,United-States,?,<=50K,<=50K
33,46,Private,Private,281384,152652,HS-grad,HS-grad,9,8,Never-married,Married-civ-spouse,Machine-op-inspct,Prof-specialty,Own-child,Husband,White,White,Female,Female,0,2407,0,1590,40,40,United-States,United-States,<=50K,<=50K
47,39,Local-gov,Private,171807,115358,HS-grad,HS-grad,9,15,Divorced,Married-civ-spouse,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,White,Female,Male,0,2407,0,1590,40,40,United-States,United-States,<=50K,>50K
41,33,Private,Private,109912,115358,Bachelors,Some-college,13,8,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Husband,White,White,Female,Male,0,2407,0,1590,40,55,?,United-States,<=50K,<=50K
41,33,Self-emp-inc,Private,445382,152652,Assoc-acdm,HS-grad,12,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Husband,White,White,Male,Female,15024,2407,0,1590,60,40,United-States,United-States,>50K,<=50K
19,26,Private,Private,105460,180955,Some-college,5th-6th,10,10,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Own-child,Not-in-family,White,White,Male,Male,0,2407,0,1590,20,40,United-States,United-States,<=50K,<=50K
46,52,Private,Private,170338,168212,HS-grad,HS-grad,9,8,Separated,Married-civ-spouse,Transport-moving,Prof-specialty,Not-in-family,Husband,White,White,Male,Female,0,2407,0,1590,40,40,United-States,United-States,<=50K,>50K
43,46,Private,Private,102606,192894,HS-grad,Some-college,9,10,Married-civ-spouse,Married-civ-spouse,Sales,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2407,0,1590,48,55,United-States,United-States,<=50K,>50K
55,26,Private,Private,323887,205195,Some-college,Some-college,10,10,Married-civ-spouse,Divorced,Exec-managerial,Prof-specialty,Husband,Husband,White,White,Male,Male,15024,2407,0,1590,45,55,United-States,United-States,>50K,<=50K
46,20,Private,Private,175622,98746,Assoc-voc,Some-college,11,10,Married-civ-spouse,Never-married,Tech-support,Prof-specialty,Husband,Own-child,White,White,Male,Male,0,2407,0,1590,40,25,United-States,United-States,<=50K,<=50K
30,33,Private,Private,229636,331649,HS-grad,HS-grad,9,13,Married-civ-spouse,Separated,Machine-op-inspct,Prof-specialty,Husband,Husband,White,Black,Male,Female,0,2407,0,1590,40,40,Mexico,United-States,<=50K,<=50K
21,26,Private,Private,388946,168212,Some-college,HS-grad,10,13,Separated,Married-civ-spouse,Handlers-cleaners,Prof-specialty,Not-in-family,Husband,White,White,Female,Male,0,2407,0,1590,40,77,United-States,United-States,<=50K,>50K
46,26,Private,Private,269034,205195,Some-college,Some-college,10,10,Married-civ-spouse,Never-married,Craft-repair,Prof-specialty,Husband,Not-in-family,Other,White,Male,Male,0,2407,0,1590,40,40,Dominican-Republic,United-States,<=50K,<=50K
17,72,?,Private,165361,133061,10th,Some-college,6,10,Never-married,Married-civ-spouse,?,Prof-specialty,Own-child,Other-relative,White,White,Male,Male,0,2407,0,1590,40,25,United-States,United-States,<=50K,<=50K
41,26,Private,Private,75012,222848,HS-grad,HS-grad,9,8,Married-civ-spouse,Never-married,Machine-op-inspct,Prof-specialty,Husband,Own-child,White,White,Male,Male,0,2407,0,1590,50,40,United-States,Mexico,<=50K,<=50K
69,39,Self-emp-inc,Private,174379,34918,HS-grad,Assoc-acdm,9,13,Married-civ-spouse,Married-civ-spouse,Sales,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2407,0,1590,30,40,United-States,United-States,<=50K,<=50K
50,65,Private,Private,312477,222848,HS-grad,10th,9,6,Married-civ-spouse,Married-civ-spouse,Transport-moving,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2407,0,1590,40,8,United-States,United-States,<=50K,<=50K
20,20,Private,Private,72055,331649,Some-college,Bachelors,10,6,Never-married,Never-married,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,White,Female,Female,0,2407,0,1590,40,25,United-States,United-States,<=50K,<=50K
45,33,Self-emp-inc,Local-gov,67001,152652,Some-college,Some-college,10,4,Married-civ-spouse,Never-married,Machine-op-inspct,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2407,0,1590,50,40,United-States,United-States,<=50K,<=50K
23,20,Private,Private,213734,411037,Bachelors,HS-grad,13,8,Never-married,Never-married,Exec-managerial,Prof-specialty,Not-in-family,Not-in-family,White,White,Male,Male,0,2407,0,1590,40,25,United-States,United-States,<=50K,<=50K
24,52,Private,Private,83141,282948,Some-college,Bachelors,10,13,Separated,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Husband,White,White,Male,Male,0,2407,1876,1590,40,40,United-States,Cuba,<=50K,<=50K
44,46,Self-emp-inc,Private,223881,68326,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Husband,White,White,Male,Male,99999,2407,0,1590,50,40,?,United-States,>50K,<=50K
31,52,Self-emp-not-inc,Private,113752,152652,Some-college,HS-grad,10,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Husband,White,Black,Male,Male,0,2407,0,1590,50,40,United-States,United-States,<=50K,<=50K
43,46,Private,Private,170482,331649,HS-grad,HS-grad,9,8,Separated,Divorced,Machine-op-inspct,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Female,0,6514,0,1590,44,40,United-States,United-States,<=50K,>50K
20,52,Federal-gov,Private,244689,331649,11th,HS-grad,7,8,Never-married,Divorced,Other-service,Prof-specialty,Own-child,Own-child,White,White,Female,Female,0,2407,0,1590,10,40,United-States,United-States,<=50K,<=50K
55,52,Private,Private,160631,248446,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Sales,Prof-specialty,Husband,Other-relative,White,White,Male,Male,0,2407,0,1590,56,40,United-States,United-States,>50K,>50K
24,33,Federal-gov,Private,228724,205195,Some-college,Some-college,10,13,Never-married,Married-civ-spouse,Armed-Forces,Prof-specialty,Not-in-family,Husband,White,White,Male,Male,0,2407,0,1590,40,55,United-States,United-States,<=50K,<=50K
41,26,?,Private,38434,68326,Masters,9th,14,4,Married-civ-spouse,Never-married,?,Prof-specialty,Wife,Not-in-family,White,White,Female,Male,7688,2407,0,1590,10,40,United-States,United-States,>50K,<=50K
59,39,Private,Private,292946,411037,Bachelors,HS-grad,13,15,Never-married,Never-married,Exec-managerial,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Female,0,2407,0,1590,25,55,United-States,United-States,<=50K,>50K
49,52,Federal-gov,Private,77443,248446,7th-8th,Assoc-voc,4,10,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Husband,Black,White,Male,Male,0,2407,0,1590,20,40,United-States,United-States,<=50K,<=50K
33,39,Private,Private,176410,282948,Masters,Some-college,14,10,Married-civ-spouse,Divorced,Prof-specialty,Prof-specialty,Wife,Unmarried,White,White,Female,Female,5178,2407,0,1590,10,40,United-States,United-States,>50K,<=50K
59,26,Federal-gov,Private,98984,205195,Bachelors,Some-college,13,10,Divorced,Divorced,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,White,Male,Female,0,2407,0,1590,40,25,United-States,United-States,<=50K,<=50K
34,26,Private,Private,198751,115358,Masters,HS-grad,14,8,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Wife,Amer-Indian-Eskimo,Asian-Pac-Islander,Male,Female,0,2407,0,1590,40,40,United-States,?,<=50K,<=50K
20,33,Private,Private,479296,222848,HS-grad,HS-grad,9,13,Never-married,Married-civ-spouse,Handlers-cleaners,Prof-specialty,Own-child,Husband,White,White,Male,Male,0,2407,0,1590,40,40,United-States,United-States,<=50K,>50K
25,26,Private,Local-gov,235218,115358,Bachelors,Some-college,13,10,Never-married,Never-married,Exec-managerial,Prof-specialty,Own-child,Not-in-family,White,White,Female,Male,0,2407,0,1590,40,55,United-States,United-States,<=50K,<=50K
49,46,Private,Self-emp-not-inc,164877,192894,10th,HS-grad,6,15,Married-civ-spouse,Married-civ-spouse,Farming-fishing,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2407,0,1590,40,55,United-States,United-States,<=50K,>50K
59,33,Private,Private,272087,205195,HS-grad,Some-college,9,10,Married-civ-spouse,Married-civ-spouse,Transport-moving,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2407,0,1590,40,40,United-States,United-States,>50K,>50K
20,46,Private,Private,169699,180955,HS-grad,Assoc-acdm,9,13,Never-married,Divorced,Adm-clerical,Prof-specialty,Not-in-family,Unmarried,White,White,Female,Female,0,2407,0,1590,40,40,United-States,Poland,<=50K,<=50K
51,33,?,Federal-gov,189762,248446,Some-college,HS-grad,10,8,Married-civ-spouse,Never-married,?,Prof-specialty,Wife,Husband,White,White,Female,Male,0,2407,0,1590,18,40,United-States,United-States,<=50K,<=50K
33,72,Private,Private,202191,133061,Some-college,10th,10,13,Never-married,Married-civ-spouse,Adm-clerical,Prof-specialty,Unmarried,Husband,Black,White,Female,Male,0,2407,0,1590,35,40,United-States,United-States,<=50K,>50K
22,39,Private,Private,212261,205195,Some-college,7th-8th,10,13,Never-married,Married-civ-spouse,Transport-moving,Prof-specialty,Own-child,Husband,Black,White,Male,Male,0,6514,0,1590,39,55,United-States,United-States,<=50K,>50K
58,46,Self-emp-not-inc,Private,301568,152652,9th,Masters,5,13,Widowed,Never-married,Other-service,Prof-specialty,Not-in-family,Other-relative,White,White,Female,Male,0,2407,0,1590,40,55,United-States,United-States,<=50K,<=50K
52,20,Local-gov,Private,155233,192894,HS-grad,Some-college,9,8,Widowed,Never-married,Adm-clerical,Prof-specialty,Unmarried,Own-child,White,White,Female,Female,0,2407,0,1590,28,40,United-States,United-States,<=50K,<=50K
36,26,Private,Private,75826,98746,10th,HS-grad,6,8,Separated,Never-married,Machine-op-inspct,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Male,0,2407,0,1590,40,40,United-States,United-States,<=50K,<=50K
41,33,Local-gov,State-gov,201520,331649,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Protective-serv,Prof-specialty,Husband,Husband,White,White,Male,Male,0,6514,0,1590,40,40,United-States,United-States,<=50K,>50K
28,20,Private,Local-gov,154236,331649,HS-grad,Some-college,9,6,Never-married,Never-married,Transport-moving,Prof-specialty,Own-child,Husband,White,White,Male,Female,2597,6514,0,1590,40,40,United-States,United-States,<=50K,<=50K
19,33,Private,Private,289227,192894,Some-college,11th,10,8,Never-married,Never-married,Handlers-cleaners,Prof-specialty,Own-child,Not-in-family,Black,White,Male,Male,0,2407,0,1590,16,40,United-States,United-States,<=50K,<=50K
18,33,Private,Local-gov,217439,192894,HS-grad,HS-grad,9,8,Never-married,Never-married,Other-service,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Male,0,2407,0,1590,28,40,United-States,United-States,<=50K,<=50K
18,39,Private,Private,179020,115358,HS-grad,HS-grad,9,10,Never-married,Married-civ-spouse,Machine-op-inspct,Prof-specialty,Own-child,Husband,White,White,Female,Male,0,2407,0,1590,48,40,United-States,United-States,<=50K,<=50K
28,26,Private,Private,149624,411037,Some-college,Bachelors,10,13,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Other-relative,White,White,Male,Male,0,2407,0,1590,40,40,United-States,United-States,<=50K,<=50K
29,39,Private,Private,337266,68326,Assoc-voc,Masters,11,15,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2407,0,1590,40,40,United-States,United-States,>50K,>50K
20,52,?,Self-emp-not-inc,30796,331649,HS-grad,HS-grad,9,8,Never-married,Married-civ-spouse,?,Prof-specialty,Own-child,Husband,White,White,Female,Male,0,2407,0,2051,20,55,United-States,Canada,<=50K,>50K
40,26,Private,Private,103541,411037,Some-college,Some-college,10,10,Married-civ-spouse,Married-civ-spouse,Handlers-cleaners,Prof-specialty,Husband,Wife,White,White,Male,Male,0,6514,0,1590,40,25,United-States,United-States,<=50K,<=50K
26,39,Private,Private,206721,98746,HS-grad,HS-grad,9,8,Never-married,Never-married,Handlers-cleaners,Prof-specialty,Unmarried,Own-child,White,White,Male,Female,0,2407,0,1590,40,40,United-States,United-States,<=50K,<=50K
46,52,Private,Private,96773,68326,HS-grad,9th,9,6,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2407,0,1590,40,55,United-States,United-States,<=50K,<=50K
