age,age_nomarital_status,workclass,workclass_nomarital_status,fnlwgt,fnlwgt_nomarital_status,education,education_nomarital_status,education_num,education_num_nomarital_status,marital_status,marital_status_nomarital_status,occupation,occupation_nomarital_status,relationship,relationship_nomarital_status,race,race_nomarital_status,sex,sex_nomarital_status,capital_gain,capital_gain_nomarital_status,capital_loss,capital_loss_nomarital_status,hours_per_week,hours_per_week_nomarital_status,native_country,native_country_nomarital_status,income_per_year,income_per_year_nomarital_status
48,32,Private,Self-emp-not-inc,279724,195602,HS-grad,Assoc-acdm,9,11,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Sales,Husband,Not-in-family,White,Black,Male,Male,3103,1151,0,1340,48,46,United-States,United-States,>50K,<=50K
43,39,Private,Private,346189,124569,Masters,Assoc-voc,14,11,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Craft-repair,Husband,Not-in-family,White,Asian-Pac-Islander,Male,Male,0,1151,0,1340,50,36,United-States,?,>50K,>50K
20,32,State-gov,Private,444554,240467,Some-college,7th-8th,10,3,Never-married,Married-civ-spouse,Other-service,Other-service,Own-child,Own-child,White,Amer-Indian-Eskimo,Male,Female,0,1151,0,1340,25,40,United-States,Mexico,<=50K,<=50K
43,25,Private,Self-emp-not-inc,128354,169469,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Adm-clerical,Farming-fishing,Wife,Own-child,White,White,Female,Male,0,1151,0,1340,30,36,United-States,United-States,<=50K,<=50K
37,32,Private,Private,60548,180280,HS-grad,HS-grad,9,9,Widowed,Married-civ-spouse,Machine-op-inspct,Machine-op-inspct,Unmarried,Unmarried,White,White,Female,Female,0,1151,0,1340,20,40,United-States,United-States,<=50K,<=50K
40,36,Private,Private,85019,27444,Doctorate,11th,16,7,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Sales,Husband,Not-in-family,Asian-Pac-Islander,White,Male,Female,0,1151,0,1340,45,43,?,United-States,>50K,<=50K
34,42,Private,Self-emp-not-inc,107914,301628,Bachelors,10th,13,13,Married-civ-spouse,Married-civ-spouse,Tech-support,Exec-managerial,Husband,Not-in-family,White,White,Male,Male,0,1151,0,1340,47,43,United-States,United-States,>50K,>50K
34,39,Private,Private,238588,195602,Some-college,10th,10,15,Never-married,Married-civ-spouse,Other-service,?,Own-child,Not-in-family,Black,White,Female,Male,0,1151,0,1340,35,49,United-States,United-States,<=50K,>50K
72,59,?,Private,132015,301628,7th-8th,HS-grad,4,9,Divorced,Married-civ-spouse,?,Other-service,Not-in-family,Unmarried,White,Black,Female,Female,0,1151,0,1340,6,18,United-States,United-States,<=50K,<=50K
25,36,Private,Federal-gov,220931,76612,Bachelors,9th,13,5,Never-married,Married-civ-spouse,Prof-specialty,Priv-house-serv,Not-in-family,Not-in-family,White,Black,Male,Male,0,1151,0,1340,43,36,Peru,United-States,<=50K,<=50K
25,42,Private,Private,205947,117503,Bachelors,11th,13,7,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Other-service,Husband,Own-child,White,White,Male,Female,0,1151,0,1755,40,36,United-States,United-States,<=50K,<=50K
45,59,Self-emp-not-inc,Private,432824,111385,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Tech-support,Husband,Unmarried,White,White,Male,Female,7298,1151,0,1340,90,36,United-States,United-States,>50K,<=50K
22,52,Private,Local-gov,236427,215074,HS-grad,Bachelors,9,13,Never-married,Married-civ-spouse,Adm-clerical,Tech-support,Own-child,Unmarried,White,White,Male,Female,0,1151,0,1340,20,36,United-States,United-States,<=50K,>50K
23,18,Private,Private,134446,164018,HS-grad,HS-grad,9,9,Separated,Married-civ-spouse,Machine-op-inspct,Craft-repair,Unmarried,Unmarried,Black,White,Male,Male,0,1151,0,1340,54,40,United-States,United-States,<=50K,<=50K
54,52,Private,?,99516,180280,HS-grad,Some-college,9,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,?,Husband,Own-child,White,Asian-Pac-Islander,Male,Female,0,1151,0,1340,35,49,United-States,South,<=50K,>50K
32,39,Self-emp-not-inc,Private,109282,408318,Some-college,HS-grad,10,9,Never-married,Married-civ-spouse,Prof-specialty,Farming-fishing,Not-in-family,Not-in-family,White,White,Male,Male,0,1151,0,1340,60,80,United-States,United-States,<=50K,<=50K
46,49,State-gov,Private,106444,195602,Some-college,HS-grad,10,9,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Other-service,Husband,Not-in-family,Black,White,Male,Female,7688,1151,0,1340,38,36,United-States,United-States,>50K,<=50K
56,22,Self-emp-not-inc,Local-gov,186651,185369,11th,Assoc-acdm,7,11,Widowed,Married-civ-spouse,Other-service,Protective-serv,Unmarried,Not-in-family,White,White,Female,Male,0,1151,0,1340,50,46,United-States,United-States,<=50K,<=50K
24,18,Self-emp-not-inc,Private,188274,253814,Bachelors,HS-grad,13,9,Never-married,Married-civ-spouse,Sales,Sales,Not-in-family,Unmarried,White,Black,Male,Male,0,1151,0,1340,50,43,United-States,United-States,<=50K,<=50K
23,45,Local-gov,Private,258120,408318,Some-college,Bachelors,10,13,Married-civ-spouse,Married-civ-spouse,Protective-serv,Exec-managerial,Husband,Own-child,White,White,Male,Male,0,1151,0,1340,40,36,United-States,United-States,<=50K,<=50K
26,29,Private,Federal-gov,43311,62539,HS-grad,Some-college,9,9,Divorced,Married-civ-spouse,Exec-managerial,Adm-clerical,Unmarried,Own-child,White,White,Female,Female,0,1151,0,1340,40,36,United-States,United-States,<=50K,<=50K
65,22,?,State-gov,191846,321456,HS-grad,Some-college,9,9,Married-civ-spouse,Married-civ-spouse,?,Other-service,Husband,Own-child,White,Black,Male,Female,0,1151,0,1340,40,14,United-States,United-States,<=50K,<=50K
36,49,Local-gov,Private,403681,231793,Bachelors,11th,13,7,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Machine-op-inspct,Husband,Unmarried,White,White,Male,Male,0,1151,0,1340,40,40,United-States,Puerto-Rico,>50K,<=50K
22,22,Private,Private,248446,190290,5th-6th,Some-college,3,9,Never-married,Married-civ-spouse,Priv-house-serv,Machine-op-inspct,Not-in-family,Unmarried,White,White,Male,Female,0,1151,0,1340,50,40,Guatemala,United-States,<=50K,<=50K
17,18,Private,Private,269430,513660,10th,HS-grad,6,3,Never-married,Married-civ-spouse,Machine-op-inspct,Adm-clerical,Not-in-family,Unmarried,White,White,Male,Female,0,1151,0,1340,40,24,United-States,United-States,<=50K,<=50K
20,32,Private,Private,257509,89667,HS-grad,Some-college,9,9,Never-married,Married-civ-spouse,Craft-repair,Sales,Own-child,Not-in-family,White,Black,Male,Female,0,1151,0,1340,40,36,United-States,?,<=50K,>50K
65,45,Private,Private,136384,269068,Masters,Assoc-acdm,14,11,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Prof-specialty,Husband,Not-in-family,White,White,Male,Male,0,1151,0,1340,50,36,United-States,United-States,>50K,<=50K
44,32,Self-emp-inc,Private,120277,513660,Assoc-voc,9th,11,5,Married-civ-spouse,Married-civ-spouse,Sales,Machine-op-inspct,Husband,Not-in-family,White,White,Male,Male,0,1151,0,1340,45,36,United-States,United-States,>50K,<=50K
36,52,Private,Private,465326,89667,HS-grad,HS-grad,9,13,Married-civ-spouse,Married-civ-spouse,Farming-fishing,Prof-specialty,Husband,Not-in-family,White,White,Male,Male,0,1151,0,1340,40,36,United-States,United-States,<=50K,<=50K
29,25,Private,Private,103634,175109,11th,Bachelors,7,13,Married-civ-spouse,Married-civ-spouse,Other-service,Tech-support,Husband,Not-in-family,White,White,Male,Male,0,1151,0,1340,40,43,United-States,United-States,<=50K,<=50K
20,52,State-gov,Private,138371,76612,Some-college,HS-grad,10,9,Never-married,Married-civ-spouse,Farming-fishing,Adm-clerical,Own-child,Unmarried,White,White,Male,Female,0,1151,0,1340,32,43,United-States,United-States,<=50K,<=50K
28,25,Private,Private,242832,286146,Assoc-voc,HS-grad,11,9,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Handlers-cleaners,Wife,Not-in-family,White,White,Female,Female,0,1151,0,1340,36,36,United-States,United-States,>50K,<=50K
39,55,Private,Federal-gov,290208,344073,7th-8th,Bachelors,4,13,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Unmarried,White,Black,Male,Female,0,1151,0,1340,40,36,Mexico,United-States,<=50K,>50K
54,52,Private,Private,186272,141580,Some-college,HS-grad,10,9,Married-civ-spouse,Married-civ-spouse,Transport-moving,Machine-op-inspct,Husband,Not-in-family,White,White,Male,Female,3908,1151,0,1340,50,36,United-States,United-States,<=50K,<=50K
52,45,Private,Private,201062,133166,11th,Masters,7,13,Separated,Married-civ-spouse,Priv-house-serv,Farming-fishing,Not-in-family,Unmarried,Black,White,Female,Female,0,1151,0,1340,18,36,United-States,United-States,<=50K,<=50K
56,39,Self-emp-inc,State-gov,131916,98561,HS-grad,Assoc-voc,9,11,Widowed,Married-civ-spouse,Exec-managerial,Craft-repair,Not-in-family,Own-child,White,White,Female,Female,0,1151,0,1340,50,36,United-States,United-States,<=50K,<=50K
18,29,Private,Local-gov,54440,253814,Some-college,Assoc-voc,10,11,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Own-child,Not-in-family,White,White,Male,Female,0,1151,0,1340,20,43,United-States,United-States,<=50K,<=50K
39,25,Private,Private,280215,27444,HS-grad,Some-college,9,9,Divorced,Married-civ-spouse,Handlers-cleaners,Exec-managerial,Own-child,Not-in-family,Black,Other,Male,Female,0,1151,0,1340,40,36,United-States,United-States,<=50K,<=50K
21,18,Private,Private,214399,215074,Some-college,HS-grad,10,9,Never-married,Married-civ-spouse,Other-service,Other-service,Own-child,Unmarried,White,White,Female,Female,0,1151,1721,1340,24,31,United-States,?,<=50K,<=50K
22,45,Private,Private,54164,47022,HS-grad,Some-college,9,15,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Unmarried,White,White,Male,Female,14084,1151,0,1755,60,49,United-States,Honduras,>50K,>50K
38,49,Private,Federal-gov,219446,269068,9th,Bachelors,5,13,Married-spouse-absent,Married-civ-spouse,Exec-managerial,Exec-managerial,Not-in-family,Not-in-family,White,White,Male,Male,0,1151,0,1340,54,49,Mexico,United-States,<=50K,>50K
21,45,Private,Self-emp-inc,110677,111385,Some-college,HS-grad,10,9,Never-married,Married-civ-spouse,Adm-clerical,Farming-fishing,Own-child,Unmarried,White,White,Female,Male,0,1151,0,1340,40,54,United-States,United-States,<=50K,<=50K
63,42,Private,Private,145985,231793,HS-grad,Some-college,9,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Tech-support,Husband,Unmarried,White,White,Male,Female,0,1151,0,1340,40,36,United-States,United-States,<=50K,>50K
34,45,Local-gov,Private,382078,215074,Bachelors,5th-6th,13,3,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Machine-op-inspct,Husband,Not-in-family,White,White,Male,Female,3103,1151,0,1340,50,36,United-States,Mexico,>50K,<=50K
42,36,Self-emp-inc,Private,170721,62539,HS-grad,Assoc-voc,9,11,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Other-service,Husband,Other-relative,White,White,Male,Female,5178,1151,0,1340,50,36,United-States,Puerto-Rico,>50K,<=50K
33,39,Private,Private,269705,149049,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Handlers-cleaners,Adm-clerical,Husband,Not-in-family,White,Black,Male,Male,0,1151,0,1340,40,40,United-States,United-States,<=50K,<=50K
30,29,Private,Private,101135,190290,Bachelors,HS-grad,13,9,Never-married,Married-civ-spouse,Exec-managerial,Machine-op-inspct,Not-in-family,Not-in-family,White,White,Female,Male,0,4934,0,1340,50,36,United-States,United-States,<=50K,<=50K
39,29,Private,Private,118429,62539,Some-college,Bachelors,10,13,Divorced,Married-civ-spouse,Sales,?,Not-in-family,Not-in-family,White,White,Male,Male,0,1151,0,1340,40,36,United-States,United-States,<=50K,<=50K
26,32,Private,?,31208,301628,Masters,HS-grad,14,3,Never-married,Married-civ-spouse,Exec-managerial,?,Not-in-family,Not-in-family,White,White,Female,Male,0,1151,0,1340,40,40,United-States,United-States,<=50K,<=50K
33,45,Private,Private,281384,149049,HS-grad,HS-grad,9,9,Never-married,Married-civ-spouse,Machine-op-inspct,Transport-moving,Own-child,Other-relative,White,White,Female,Male,0,1151,0,1340,40,36,United-States,United-States,<=50K,<=50K
47,42,Local-gov,Private,171807,117503,HS-grad,Doctorate,9,15,Divorced,Married-civ-spouse,Adm-clerical,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Male,0,1151,0,1340,40,40,United-States,United-States,<=50K,>50K
41,29,Private,Private,109912,104879,Bachelors,Some-college,13,9,Never-married,Married-civ-spouse,Other-service,Other-service,Not-in-family,Not-in-family,White,White,Female,Male,0,1151,0,1340,40,49,?,United-States,<=50K,<=50K
41,36,Self-emp-inc,Private,445382,156953,Assoc-acdm,HS-grad,12,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Craft-repair,Husband,Not-in-family,White,White,Male,Female,15024,1151,0,1340,60,36,United-States,United-States,>50K,<=50K
19,29,Private,Private,105460,185369,Some-college,Some-college,10,9,Never-married,Married-civ-spouse,Other-service,Adm-clerical,Own-child,Not-in-family,White,White,Male,Female,0,1151,0,1340,20,36,United-States,Philippines,<=50K,<=50K
46,52,Private,Private,170338,169469,HS-grad,HS-grad,9,9,Separated,Married-civ-spouse,Transport-moving,Adm-clerical,Not-in-family,Not-in-family,White,White,Male,Female,0,1151,0,1340,40,36,United-States,United-States,<=50K,>50K
43,49,Private,Private,102606,190290,HS-grad,Some-college,9,9,Married-civ-spouse,Married-civ-spouse,Sales,Adm-clerical,Husband,Not-in-family,White,White,Male,Female,0,1151,0,1340,48,43,United-States,United-States,<=50K,>50K
55,25,Private,?,323887,195602,Some-college,Some-college,10,9,Married-civ-spouse,Married-civ-spouse,Exec-managerial,?,Husband,Unmarried,White,White,Male,Female,15024,1151,0,1340,45,40,United-States,United-States,>50K,<=50K
46,18,Private,Private,175622,98561,Assoc-voc,Some-college,11,9,Married-civ-spouse,Married-civ-spouse,Tech-support,Prof-specialty,Husband,Unmarried,White,White,Male,Female,0,1151,0,1340,40,31,United-States,United-States,<=50K,<=50K
30,32,Private,Private,229636,301628,HS-grad,Bachelors,9,13,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Sales,Husband,Unmarried,White,Black,Male,Female,0,1151,0,1340,40,43,Mexico,United-States,<=50K,<=50K
21,29,Private,Self-emp-not-inc,388946,164018,Some-college,Bachelors,10,13,Separated,Married-civ-spouse,Handlers-cleaners,Sales,Not-in-family,Not-in-family,White,White,Female,Female,0,1151,0,1340,40,54,United-States,United-States,<=50K,>50K
46,22,Private,Private,269034,205359,Some-college,Some-college,10,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Machine-op-inspct,Husband,Not-in-family,Other,White,Male,Female,0,1151,0,1340,40,40,Dominican-Republic,United-States,<=50K,<=50K
17,75,?,Private,165361,124569,10th,Some-college,6,9,Never-married,Married-civ-spouse,?,?,Own-child,Other-relative,White,White,Male,Female,0,1151,0,1340,40,18,United-States,United-States,<=50K,<=50K
41,25,Private,Private,75012,210844,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Other-service,Husband,Unmarried,White,White,Male,Male,0,1151,0,1340,50,40,United-States,Mexico,<=50K,<=50K
69,39,Self-emp-inc,Private,174379,27444,HS-grad,Assoc-acdm,9,11,Married-civ-spouse,Married-civ-spouse,Sales,Adm-clerical,Husband,Not-in-family,White,White,Male,Female,0,1151,0,1340,30,36,United-States,United-States,<=50K,<=50K
50,65,Private,?,312477,215074,HS-grad,10th,9,5,Married-civ-spouse,Married-civ-spouse,Transport-moving,?,Husband,Not-in-family,White,White,Male,Male,0,1151,0,1340,40,3,United-States,United-States,<=50K,<=50K
20,18,Private,Private,72055,301628,Some-college,11th,10,7,Never-married,Married-civ-spouse,Adm-clerical,Other-service,Not-in-family,Unmarried,White,White,Female,Female,0,1151,0,1340,40,24,United-States,United-States,<=50K,<=50K
45,32,Self-emp-inc,Local-gov,67001,124569,Some-college,7th-8th,10,3,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Other-service,Husband,Not-in-family,White,White,Male,Female,0,1151,0,1340,50,36,United-States,United-States,<=50K,<=50K
23,18,Private,Private,213734,408318,Bachelors,HS-grad,13,9,Never-married,Married-civ-spouse,Exec-managerial,Sales,Not-in-family,Not-in-family,White,White,Male,Male,0,1151,0,1340,40,31,United-States,United-States,<=50K,<=50K
24,49,Private,Private,83141,269068,Some-college,Bachelors,10,13,Separated,Married-civ-spouse,Other-service,Other-service,Not-in-family,Not-in-family,White,White,Male,Female,0,1151,1876,1340,40,36,United-States,Cuba,<=50K,<=50K
44,45,Self-emp-inc,Private,223881,47022,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Other-service,Husband,Not-in-family,White,Black,Male,Female,99999,1151,0,1340,50,36,?,United-States,>50K,<=50K
31,55,Self-emp-not-inc,Private,113752,156953,Some-college,HS-grad,10,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Sales,Husband,Not-in-family,White,White,Male,Male,0,1151,0,1340,50,40,United-States,United-States,<=50K,<=50K
43,45,Private,Private,170482,370045,HS-grad,HS-grad,9,9,Separated,Married-civ-spouse,Machine-op-inspct,Craft-repair,Not-in-family,Not-in-family,White,White,Female,Female,0,14084,0,1340,44,36,United-States,United-States,<=50K,>50K
20,52,Federal-gov,Private,244689,370045,11th,HS-grad,7,9,Never-married,Married-civ-spouse,Other-service,Sales,Own-child,Own-child,White,White,Female,Female,0,1151,0,1340,10,31,United-States,United-States,<=50K,<=50K
55,49,Private,Local-gov,160631,269068,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Sales,Protective-serv,Husband,Other-relative,White,White,Male,Female,0,1151,0,1340,56,36,United-States,United-States,>50K,>50K
24,32,Federal-gov,Private,228724,205359,Some-college,Masters,10,13,Never-married,Married-civ-spouse,Armed-Forces,Prof-specialty,Not-in-family,Not-in-family,White,White,Male,Female,0,1151,0,1340,40,43,United-States,United-States,<=50K,<=50K
41,29,?,Private,38434,47022,Masters,9th,14,5,Married-civ-spouse,Married-civ-spouse,?,Sales,Wife,Not-in-family,White,White,Female,Male,7688,1151,0,1340,10,40,United-States,United-States,>50K,<=50K
59,42,Private,Federal-gov,292946,408318,Bachelors,Doctorate,13,15,Never-married,Married-civ-spouse,Exec-managerial,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Female,0,1151,0,1340,25,46,United-States,United-States,<=50K,>50K
49,55,Federal-gov,Private,77443,253814,7th-8th,10th,4,11,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Other-relative,Black,White,Male,Female,0,1151,0,1340,20,36,United-States,United-States,<=50K,<=50K
33,36,Private,Private,176410,301628,Masters,Some-college,14,9,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Craft-repair,Wife,Unmarried,White,White,Female,Female,5178,1151,0,1340,10,36,United-States,United-States,>50K,<=50K
59,29,Federal-gov,Private,98984,215074,Bachelors,Some-college,13,9,Divorced,Married-civ-spouse,Adm-clerical,Machine-op-inspct,Not-in-family,Unmarried,White,Black,Male,Female,0,1151,0,1340,40,24,United-States,United-States,<=50K,<=50K
34,29,Private,Private,198751,117503,Masters,HS-grad,14,9,Never-married,Married-civ-spouse,Other-service,Sales,Not-in-family,Other-relative,Amer-Indian-Eskimo,Asian-Pac-Islander,Male,Female,0,1151,0,1340,40,31,United-States,?,<=50K,<=50K
20,32,Private,Local-gov,479296,224421,HS-grad,Bachelors,9,13,Never-married,Married-civ-spouse,Handlers-cleaners,?,Own-child,Not-in-family,White,Black,Male,Female,0,1151,0,1340,40,36,United-States,United-States,<=50K,>50K
25,29,Private,Local-gov,235218,111385,Bachelors,Some-college,13,9,Never-married,Married-civ-spouse,Exec-managerial,Craft-repair,Own-child,Not-in-family,White,White,Female,Male,0,1151,0,1340,40,46,United-States,United-States,<=50K,<=50K
49,45,Private,Self-emp-not-inc,164877,190290,10th,Doctorate,6,15,Married-civ-spouse,Married-civ-spouse,Farming-fishing,Prof-specialty,Husband,Not-in-family,White,White,Male,Male,0,1151,0,1755,40,49,United-States,United-States,<=50K,>50K
59,36,Private,Private,272087,205359,HS-grad,Some-college,9,9,Married-civ-spouse,Married-civ-spouse,Transport-moving,Sales,Husband,Not-in-family,White,White,Male,Male,0,1151,0,1340,40,40,United-States,United-States,>50K,>50K
20,49,Private,Private,169699,175109,HS-grad,Assoc-acdm,9,11,Never-married,Married-civ-spouse,Adm-clerical,Sales,Not-in-family,Unmarried,White,White,Female,Female,0,1151,0,1340,40,36,United-States,South,<=50K,<=50K
51,32,?,Federal-gov,189762,240467,Some-college,HS-grad,10,9,Married-civ-spouse,Married-civ-spouse,?,Other-service,Wife,Not-in-family,White,Black,Female,Male,0,1151,0,1340,18,40,United-States,United-States,<=50K,<=50K
33,72,Private,Private,202191,124569,Some-college,11th,10,13,Never-married,Married-civ-spouse,Adm-clerical,Adm-clerical,Unmarried,Not-in-family,Black,White,Female,Female,0,1151,0,1340,35,36,United-States,United-States,<=50K,>50K
22,42,Private,Private,212261,195602,Some-college,Bachelors,10,13,Never-married,Married-civ-spouse,Transport-moving,Adm-clerical,Own-child,Unmarried,Black,Black,Male,Female,0,14084,0,1340,39,49,United-States,United-States,<=50K,>50K
58,45,Self-emp-not-inc,Self-emp-not-inc,301568,141580,9th,Masters,5,13,Widowed,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Female,0,1151,0,1340,40,46,United-States,United-States,<=50K,<=50K
52,18,Local-gov,Private,155233,180280,HS-grad,HS-grad,9,9,Widowed,Married-civ-spouse,Adm-clerical,Tech-support,Unmarried,Own-child,White,White,Female,Female,0,1151,0,1340,28,40,United-States,United-States,<=50K,<=50K
36,29,Private,Private,75826,98561,10th,HS-grad,6,9,Separated,Married-civ-spouse,Machine-op-inspct,Craft-repair,Not-in-family,Not-in-family,White,White,Female,Male,0,1151,0,1340,40,40,United-States,United-States,<=50K,<=50K
41,32,Local-gov,Private,201520,321456,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Protective-serv,Other-service,Husband,Not-in-family,White,White,Male,Male,0,14084,0,1340,40,36,United-States,United-States,<=50K,>50K
28,18,Private,?,154236,301628,HS-grad,10th,9,5,Never-married,Married-civ-spouse,Transport-moving,?,Own-child,Not-in-family,White,White,Male,Female,2597,14084,0,1340,40,31,United-States,United-States,<=50K,<=50K
19,29,Private,Private,289227,190290,Some-college,HS-grad,10,7,Never-married,Married-civ-spouse,Handlers-cleaners,?,Own-child,Own-child,Black,White,Male,Male,0,1151,0,1340,16,40,United-States,United-States,<=50K,<=50K
18,32,Private,Local-gov,217439,185369,HS-grad,HS-grad,9,9,Never-married,Married-civ-spouse,Other-service,Adm-clerical,Not-in-family,Not-in-family,White,White,Female,Female,0,1151,0,1340,28,40,United-States,United-States,<=50K,<=50K
18,42,Private,Private,179020,124569,HS-grad,HS-grad,9,9,Never-married,Married-civ-spouse,Machine-op-inspct,Handlers-cleaners,Own-child,Not-in-family,White,White,Female,Female,0,1151,0,1340,48,36,United-States,United-States,<=50K,<=50K
28,25,Private,Private,149624,408318,Some-college,Bachelors,10,13,Married-civ-spouse,Married-civ-spouse,Craft-repair,Sales,Husband,Other-relative,White,White,Male,Male,0,1151,0,1340,40,40,United-States,United-States,<=50K,<=50K
29,36,Private,Private,337266,62539,Assoc-voc,Prof-school,11,15,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Prof-specialty,Husband,Not-in-family,White,White,Male,Male,0,1151,0,1340,40,36,United-States,United-States,>50K,>50K
20,52,?,Self-emp-not-inc,30796,344073,HS-grad,HS-grad,9,9,Never-married,Married-civ-spouse,?,Other-service,Own-child,Own-child,White,White,Female,Female,0,1151,0,1755,20,43,United-States,Canada,<=50K,>50K
