age,age_noage,workclass,workclass_noage,fnlwgt,fnlwgt_noage,education,education_noage,education_num,education_num_noage,marital_status,marital_status_noage,occupation,occupation_noage,relationship,relationship_noage,race,race_noage,sex,sex_noage,capital_gain,capital_gain_noage,capital_loss,capital_loss_noage,hours_per_week,hours_per_week_noage,native_country,native_country_noage,income_per_year,income_per_year_noage
58,28,?,Private,299831,114774,HS-grad,Bachelors,9,12,Married-civ-spouse,Married-civ-spouse,?,Other-service,Husband,Unmarried,White,White,Male,Female,0,3818,0,1741,35,18,United-States,United-States,<=50K,<=50K
48,28,Private,Private,279724,233149,HS-grad,Assoc-acdm,9,12,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Sales,Husband,Not-in-family,White,Black,Male,Male,3103,3818,0,1741,48,52,United-States,United-States,>50K,<=50K
43,28,Private,Private,346189,114774,Masters,Assoc-voc,14,12,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Craft-repair,Husband,Husband,White,Asian-Pac-Islander,Male,Male,0,3818,0,1741,50,18,United-States,?,>50K,>50K
20,28,State-gov,?,444554,233149,Some-college,7th-8th,10,4,Never-married,Married-civ-spouse,Other-service,Transport-moving,Own-child,Husband,White,Amer-Indian-Eskimo,Male,Male,0,3818,0,1741,25,52,United-States,Mexico,<=50K,<=50K
43,28,Private,Self-emp-not-inc,128354,114774,HS-grad,HS-grad,9,12,Married-civ-spouse,Married-civ-spouse,Adm-clerical,Farming-fishing,Wife,Husband,White,White,Female,Male,0,3818,0,1741,30,18,United-States,United-States,<=50K,<=50K
37,28,Private,Private,60548,233149,HS-grad,HS-grad,9,12,Widowed,Married-civ-spouse,Machine-op-inspct,Machine-op-inspct,Unmarried,Unmarried,White,White,Female,Male,0,3818,0,1741,20,18,United-States,United-States,<=50K,<=50K
40,28,Private,Private,85019,114774,Doctorate,11th,16,4,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Sales,Husband,Husband,Asian-Pac-Islander,White,Male,Male,0,3818,0,1741,45,52,?,United-States,>50K,<=50K
34,28,Private,Self-emp-not-inc,107914,233149,Bachelors,Masters,13,12,Married-civ-spouse,Divorced,Tech-support,Exec-managerial,Husband,Unmarried,White,White,Male,Female,0,3818,0,1741,47,52,United-States,United-States,>50K,>50K
34,28,Private,Private,238588,233149,Some-college,Doctorate,10,12,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Own-child,Husband,Black,White,Female,Male,0,3818,0,1741,35,52,United-States,United-States,<=50K,>50K
72,28,?,Private,132015,233149,7th-8th,HS-grad,4,12,Divorced,Never-married,?,Other-service,Not-in-family,Other-relative,White,Black,Female,Female,0,3818,0,1741,6,18,United-States,United-States,<=50K,<=50K
25,28,Private,?,220931,114774,Bachelors,9th,13,4,Never-married,Married-civ-spouse,Prof-specialty,Farming-fishing,Not-in-family,Husband,White,Black,Male,Male,0,3818,0,1741,43,18,Peru,United-States,<=50K,<=50K
25,28,Private,Private,205947,114774,Bachelors,11th,13,4,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Transport-moving,Husband,Husband,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
45,28,Self-emp-not-inc,Private,432824,114774,HS-grad,Bachelors,9,12,Married-civ-spouse,Divorced,Craft-repair,Tech-support,Husband,Unmarried,White,White,Male,Female,7298,3818,0,1741,90,52,United-States,United-States,>50K,<=50K
22,28,Private,Local-gov,236427,233149,HS-grad,Bachelors,9,12,Never-married,Married-civ-spouse,Adm-clerical,Tech-support,Own-child,Husband,White,White,Male,Male,0,3818,0,1741,20,18,United-States,United-States,<=50K,>50K
23,28,Private,Private,134446,114774,HS-grad,HS-grad,9,12,Separated,Married-civ-spouse,Machine-op-inspct,Craft-repair,Unmarried,Husband,Black,White,Male,Male,0,3818,0,1741,54,52,United-States,United-States,<=50K,<=50K
54,28,Private,?,99516,233149,HS-grad,Some-college,9,12,Married-civ-spouse,Married-civ-spouse,Craft-repair,?,Husband,Husband,White,Asian-Pac-Islander,Male,Male,0,3818,0,1741,35,52,United-States,United-States,<=50K,>50K
32,28,Self-emp-not-inc,Private,109282,233149,Some-college,HS-grad,10,12,Never-married,Never-married,Prof-specialty,Exec-managerial,Not-in-family,Not-in-family,White,White,Male,Male,0,3818,0,1741,60,52,United-States,United-States,<=50K,<=50K
46,28,State-gov,Private,106444,233149,Some-college,HS-grad,10,12,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Craft-repair,Husband,Husband,Black,White,Male,Male,7688,3818,0,1741,38,18,United-States,United-States,>50K,<=50K
56,28,Self-emp-not-inc,Local-gov,186651,114774,11th,Assoc-acdm,7,12,Widowed,Married-civ-spouse,Other-service,Protective-serv,Unmarried,Not-in-family,White,White,Female,Male,0,3818,0,1741,50,52,United-States,United-States,<=50K,<=50K
24,28,Self-emp-not-inc,Private,188274,233149,Bachelors,5th-6th,13,12,Never-married,Divorced,Sales,Sales,Not-in-family,Husband,White,Black,Male,Male,0,3818,0,1741,50,52,United-States,United-States,<=50K,<=50K
23,28,Local-gov,Private,258120,233149,Some-college,Bachelors,10,12,Married-civ-spouse,Widowed,Protective-serv,Exec-managerial,Husband,Own-child,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
26,28,Private,Federal-gov,43311,114774,HS-grad,Some-college,9,12,Divorced,Married-civ-spouse,Exec-managerial,Adm-clerical,Unmarried,Husband,White,White,Female,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
65,28,?,State-gov,191846,233149,HS-grad,Some-college,9,12,Married-civ-spouse,Married-civ-spouse,?,Craft-repair,Husband,Husband,White,Black,Male,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
36,28,Local-gov,Private,403681,233149,Bachelors,11th,13,4,Married-civ-spouse,Never-married,Prof-specialty,Machine-op-inspct,Husband,Unmarried,White,White,Male,Male,0,3818,0,1741,40,18,United-States,Puerto-Rico,>50K,<=50K
22,28,Private,Private,248446,233149,5th-6th,7th-8th,3,12,Never-married,Married-civ-spouse,Priv-house-serv,Machine-op-inspct,Not-in-family,Husband,White,White,Male,Male,0,3818,0,1741,50,52,Guatemala,United-States,<=50K,<=50K
17,28,Private,Private,269430,233149,10th,HS-grad,6,12,Never-married,Separated,Machine-op-inspct,Adm-clerical,Not-in-family,Wife,White,White,Male,Female,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
20,28,Private,Private,257509,114774,HS-grad,Some-college,9,12,Never-married,Married-civ-spouse,Craft-repair,Sales,Own-child,Husband,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,>50K
65,28,Private,Self-emp-not-inc,136384,233149,Masters,Assoc-acdm,14,12,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Adm-clerical,Husband,Husband,White,White,Male,Male,0,3818,0,1741,50,18,United-States,United-States,>50K,<=50K
44,28,Self-emp-inc,Private,120277,233149,Assoc-voc,Masters,11,4,Married-civ-spouse,Married-civ-spouse,Sales,Exec-managerial,Husband,Husband,White,White,Male,Male,0,3818,0,1741,45,18,United-States,United-States,>50K,<=50K
36,28,Private,Self-emp-not-inc,465326,114774,HS-grad,Bachelors,9,12,Married-civ-spouse,Married-civ-spouse,Farming-fishing,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
29,28,Private,Self-emp-not-inc,103634,114774,11th,Bachelors,7,12,Married-civ-spouse,Married-civ-spouse,Other-service,Tech-support,Husband,Husband,White,White,Male,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,<=50K
20,28,State-gov,Private,138371,114774,Some-college,HS-grad,10,12,Never-married,Separated,Farming-fishing,Adm-clerical,Own-child,Unmarried,White,White,Male,Female,0,3818,0,1741,32,18,United-States,United-States,<=50K,<=50K
28,28,Private,Private,242832,233149,Assoc-voc,HS-grad,11,12,Married-civ-spouse,Widowed,Prof-specialty,Handlers-cleaners,Wife,Not-in-family,White,White,Female,Male,0,3818,0,1741,36,18,United-States,United-States,>50K,<=50K
39,28,Private,Private,290208,233149,7th-8th,Bachelors,4,12,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Husband,White,Black,Male,Male,0,3818,0,1741,40,18,Mexico,United-States,<=50K,>50K
54,28,Private,Private,186272,114774,Some-college,HS-grad,10,12,Married-civ-spouse,Married-civ-spouse,Transport-moving,Machine-op-inspct,Husband,Husband,White,White,Male,Male,3908,3818,0,1741,50,18,United-States,United-States,<=50K,<=50K
52,28,Private,Private,201062,114774,11th,HS-grad,7,12,Separated,Separated,Priv-house-serv,Exec-managerial,Not-in-family,Not-in-family,Black,White,Female,Female,0,3818,0,1741,18,18,United-States,United-States,<=50K,<=50K
56,28,Self-emp-inc,?,131916,114774,HS-grad,11th,9,12,Widowed,Married-civ-spouse,Exec-managerial,Craft-repair,Not-in-family,Husband,White,White,Female,Male,0,3818,0,1741,50,18,United-States,United-States,<=50K,<=50K
18,28,Private,Private,54440,233149,Some-college,5th-6th,10,12,Never-married,Never-married,Other-service,Prof-specialty,Own-child,Not-in-family,White,White,Male,Male,0,3818,0,1741,20,52,United-States,United-States,<=50K,<=50K
39,28,Private,Private,280215,114774,HS-grad,Some-college,9,12,Divorced,Married-civ-spouse,Handlers-cleaners,Exec-managerial,Own-child,Wife,Black,Other,Male,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,<=50K
21,28,Private,Private,214399,233149,Some-college,HS-grad,10,12,Never-married,Married-civ-spouse,Other-service,Other-service,Own-child,Husband,White,White,Female,Male,0,3818,1721,1741,24,52,United-States,?,<=50K,<=50K
22,28,Private,Private,54164,114774,HS-grad,Prof-school,9,12,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Wife,White,White,Male,Female,14084,3818,0,1741,60,52,United-States,United-States,>50K,>50K
38,28,Private,Federal-gov,219446,233149,9th,Bachelors,5,12,Married-spouse-absent,Married-civ-spouse,Exec-managerial,Exec-managerial,Not-in-family,Not-in-family,White,White,Male,Male,0,3818,0,1741,54,52,Mexico,United-States,<=50K,>50K
21,28,Private,Self-emp-inc,110677,114774,Some-college,HS-grad,10,12,Never-married,Married-civ-spouse,Adm-clerical,Exec-managerial,Own-child,Not-in-family,White,White,Female,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,<=50K
63,28,Private,Private,145985,233149,HS-grad,Some-college,9,12,Married-civ-spouse,Married-civ-spouse,Craft-repair,Tech-support,Husband,Husband,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,>50K
34,28,Local-gov,Private,382078,233149,Bachelors,5th-6th,13,4,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Machine-op-inspct,Husband,Husband,White,White,Male,Male,3103,3818,0,1741,50,18,United-States,Mexico,>50K,<=50K
42,28,Self-emp-inc,Self-emp-inc,170721,114774,HS-grad,Assoc-voc,9,12,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Other-service,Husband,Husband,White,White,Male,Male,5178,3818,0,1741,50,18,United-States,Puerto-Rico,>50K,<=50K
33,28,Private,Private,269705,114774,HS-grad,HS-grad,9,12,Married-civ-spouse,Married-civ-spouse,Handlers-cleaners,Adm-clerical,Husband,Husband,White,White,Male,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,<=50K
30,28,Private,Private,101135,233149,Bachelors,HS-grad,13,12,Never-married,Married-civ-spouse,Exec-managerial,Machine-op-inspct,Not-in-family,Husband,White,White,Female,Male,0,3818,0,1741,50,18,United-States,United-States,<=50K,<=50K
39,28,Private,Private,118429,114774,Some-college,Bachelors,10,12,Divorced,Married-civ-spouse,Sales,Sales,Not-in-family,Husband,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
26,28,Private,?,31208,233149,Masters,7th-8th,14,4,Never-married,Married-spouse-absent,Exec-managerial,?,Not-in-family,Not-in-family,White,White,Female,Male,0,3818,0,1741,40,18,United-States,?,<=50K,<=50K
33,28,Private,Private,281384,114774,HS-grad,HS-grad,9,12,Never-married,Married-civ-spouse,Machine-op-inspct,Sales,Own-child,Husband,White,White,Female,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
47,28,Local-gov,Private,171807,114774,HS-grad,11th,9,12,Divorced,Married-civ-spouse,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,White,Female,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,>50K
41,28,Private,Local-gov,109912,114774,Bachelors,Some-college,13,12,Never-married,Divorced,Other-service,Tech-support,Not-in-family,Not-in-family,White,White,Female,Male,0,3818,0,1741,40,52,?,United-States,<=50K,<=50K
41,28,Self-emp-inc,Private,445382,114774,Assoc-acdm,HS-grad,12,12,Married-civ-spouse,Married-civ-spouse,Craft-repair,Tech-support,Husband,Husband,White,White,Male,Male,15024,3818,0,1741,60,18,United-States,United-States,>50K,<=50K
19,28,Private,Private,105460,114774,Some-college,Some-college,10,12,Never-married,Divorced,Other-service,Adm-clerical,Own-child,Not-in-family,White,White,Male,Female,0,3818,0,1741,20,52,United-States,United-States,<=50K,<=50K
46,28,Private,Private,170338,114774,HS-grad,HS-grad,9,12,Separated,Married-civ-spouse,Transport-moving,Adm-clerical,Not-in-family,Wife,White,White,Male,Female,0,3818,0,1741,40,18,United-States,United-States,<=50K,>50K
43,28,Private,Self-emp-inc,102606,233149,HS-grad,Some-college,9,12,Married-civ-spouse,Married-civ-spouse,Sales,Exec-managerial,Husband,Husband,White,White,Male,Male,0,3818,0,1741,48,52,United-States,United-States,<=50K,>50K
55,28,Private,?,323887,233149,Some-college,Some-college,10,12,Married-civ-spouse,Divorced,Exec-managerial,?,Husband,Husband,White,White,Male,Male,15024,3818,0,1741,45,52,United-States,United-States,>50K,<=50K
46,28,Private,Self-emp-not-inc,175622,114774,Assoc-voc,Some-college,11,12,Married-civ-spouse,Married-civ-spouse,Tech-support,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
30,28,Private,Private,229636,233149,HS-grad,Bachelors,9,12,Married-civ-spouse,Separated,Machine-op-inspct,Sales,Husband,Husband,White,Black,Male,Female,0,3818,0,1741,40,18,Mexico,United-States,<=50K,<=50K
21,28,Private,Self-emp-not-inc,388946,114774,Some-college,Bachelors,10,12,Separated,Married-civ-spouse,Handlers-cleaners,Sales,Not-in-family,Husband,White,White,Female,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,>50K
46,28,Private,Private,269034,233149,Some-college,Some-college,10,12,Married-civ-spouse,Married-civ-spouse,Craft-repair,Machine-op-inspct,Husband,Not-in-family,Other,White,Male,Male,0,3818,0,1741,40,52,Dominican-Republic,United-States,<=50K,<=50K
17,28,?,Private,165361,114774,10th,Some-college,6,4,Never-married,Married-civ-spouse,?,Craft-repair,Own-child,Wife,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
41,28,Private,Private,75012,233149,HS-grad,HS-grad,9,12,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Other-service,Husband,Husband,White,White,Male,Male,0,3818,0,1741,50,18,United-States,United-States,<=50K,<=50K
69,28,Self-emp-inc,Private,174379,114774,HS-grad,HS-grad,9,12,Married-civ-spouse,Married-civ-spouse,Sales,Adm-clerical,Husband,Husband,White,White,Male,Male,0,3818,0,1741,30,18,United-States,United-States,<=50K,<=50K
50,28,Private,?,312477,233149,HS-grad,10th,9,4,Married-civ-spouse,Married-civ-spouse,Transport-moving,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
20,28,Private,Self-emp-not-inc,72055,233149,Some-college,Bachelors,10,4,Never-married,Married-civ-spouse,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,White,Female,Female,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
45,28,Self-emp-inc,Local-gov,67001,114774,Some-college,7th-8th,10,4,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Farming-fishing,Husband,Husband,White,White,Male,Male,0,3818,0,1741,50,18,United-States,United-States,<=50K,<=50K
23,28,Private,Local-gov,213734,233149,Bachelors,HS-grad,13,12,Never-married,Divorced,Exec-managerial,Sales,Not-in-family,Not-in-family,White,White,Male,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,<=50K
24,28,Private,Private,83141,233149,Some-college,Bachelors,10,12,Separated,Married-civ-spouse,Other-service,Other-service,Not-in-family,Husband,White,White,Male,Male,0,3818,1876,1741,40,18,United-States,Cuba,<=50K,<=50K
44,28,Self-emp-inc,Private,223881,114774,HS-grad,HS-grad,9,12,Married-civ-spouse,Married-civ-spouse,Craft-repair,Other-service,Husband,Husband,White,White,Male,Female,99999,3818,0,1741,50,18,?,United-States,>50K,<=50K
31,28,Self-emp-not-inc,Private,113752,114774,Some-college,HS-grad,10,12,Married-civ-spouse,Married-civ-spouse,Craft-repair,Sales,Husband,Husband,White,White,Male,Male,0,3818,0,1741,50,52,United-States,United-States,<=50K,<=50K
43,28,Private,Private,170482,233149,HS-grad,HS-grad,9,4,Separated,Divorced,Machine-op-inspct,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Female,0,3818,0,1741,44,18,United-States,United-States,<=50K,>50K
20,28,Federal-gov,Private,244689,233149,11th,HS-grad,7,12,Never-married,Married-civ-spouse,Other-service,Sales,Own-child,Own-child,White,White,Female,Female,0,3818,0,1741,10,18,United-States,United-States,<=50K,<=50K
55,28,Private,Local-gov,160631,233149,HS-grad,HS-grad,9,12,Married-civ-spouse,Married-civ-spouse,Sales,Protective-serv,Husband,Husband,White,White,Male,Male,0,3818,0,1741,56,18,United-States,United-States,>50K,>50K
24,28,Federal-gov,Private,228724,233149,Some-college,Masters,10,12,Never-married,Married-civ-spouse,Armed-Forces,Prof-specialty,Not-in-family,Husband,White,White,Male,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,<=50K
41,28,?,Private,38434,114774,Masters,Some-college,14,4,Married-civ-spouse,Married-civ-spouse,?,Sales,Wife,Not-in-family,White,White,Female,Male,7688,3818,0,1741,10,18,United-States,United-States,>50K,<=50K
59,28,Private,?,292946,233149,Bachelors,Doctorate,13,12,Never-married,Never-married,Exec-managerial,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Female,0,3818,0,1741,25,52,United-States,United-States,<=50K,>50K
49,28,Federal-gov,Private,77443,233149,7th-8th,Assoc-voc,4,12,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Husband,Black,White,Male,Male,0,3818,0,1741,20,18,United-States,United-States,<=50K,<=50K
33,28,Private,Self-emp-not-inc,176410,233149,Masters,Some-college,14,12,Married-civ-spouse,Widowed,Prof-specialty,Craft-repair,Wife,Not-in-family,White,White,Female,Female,5178,3818,0,1741,10,18,United-States,United-States,>50K,<=50K
59,28,Federal-gov,Self-emp-inc,98984,233149,Bachelors,7th-8th,13,12,Divorced,Divorced,Adm-clerical,Machine-op-inspct,Not-in-family,Unmarried,White,Black,Male,Female,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
34,28,Private,Private,198751,114774,Masters,HS-grad,14,12,Never-married,Married-civ-spouse,Other-service,Sales,Not-in-family,Wife,Amer-Indian-Eskimo,White,Male,Female,0,3818,0,1741,40,18,United-States,?,<=50K,<=50K
20,28,Private,Local-gov,479296,233149,HS-grad,Bachelors,9,12,Never-married,Married-civ-spouse,Handlers-cleaners,Prof-specialty,Own-child,Husband,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,>50K
25,28,Private,Local-gov,235218,114774,Bachelors,Some-college,13,12,Never-married,Widowed,Exec-managerial,Exec-managerial,Own-child,Not-in-family,White,White,Female,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,<=50K
49,28,Private,Self-emp-not-inc,164877,233149,10th,7th-8th,6,12,Married-civ-spouse,Married-civ-spouse,Farming-fishing,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,>50K
59,28,Private,Private,272087,233149,HS-grad,Some-college,9,12,Married-civ-spouse,Married-civ-spouse,Transport-moving,Sales,Husband,Husband,White,White,Male,Male,0,3818,0,1741,40,52,United-States,United-States,>50K,>50K
20,28,Private,Private,169699,233149,HS-grad,Assoc-acdm,9,12,Never-married,Married-civ-spouse,Adm-clerical,Exec-managerial,Not-in-family,Unmarried,White,White,Female,Female,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
51,28,?,Federal-gov,189762,233149,Some-college,HS-grad,10,12,Married-civ-spouse,Never-married,?,Other-service,Wife,Husband,White,Black,Female,Male,0,3818,0,1741,18,18,United-States,United-States,<=50K,<=50K
33,28,Private,Private,202191,114774,Some-college,Masters,10,12,Never-married,Married-civ-spouse,Adm-clerical,Exec-managerial,Unmarried,Husband,Black,White,Female,Male,0,3818,0,1741,35,52,United-States,United-States,<=50K,>50K
22,28,Private,Private,212261,233149,Some-college,Bachelors,10,12,Never-married,Married-civ-spouse,Transport-moving,Exec-managerial,Own-child,Husband,Black,White,Male,Male,0,3818,0,1741,39,52,United-States,United-States,<=50K,>50K
58,28,Self-emp-not-inc,Self-emp-not-inc,301568,114774,9th,HS-grad,5,12,Widowed,Never-married,Other-service,Prof-specialty,Not-in-family,Not-in-family,White,White,Female,Female,0,3818,0,1741,40,52,United-States,United-States,<=50K,<=50K
52,28,Local-gov,Private,155233,114774,HS-grad,Bachelors,9,12,Widowed,Divorced,Adm-clerical,Tech-support,Unmarried,Husband,White,White,Female,Female,0,3818,0,1741,28,52,United-States,United-States,<=50K,<=50K
36,28,Private,Private,75826,114774,10th,HS-grad,6,12,Separated,Married-civ-spouse,Machine-op-inspct,Craft-repair,Not-in-family,Not-in-family,White,White,Female,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,<=50K
41,28,Local-gov,Self-emp-inc,201520,233149,HS-grad,HS-grad,9,12,Married-civ-spouse,Married-civ-spouse,Protective-serv,Craft-repair,Husband,Husband,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,<=50K,>50K
28,28,Private,Self-emp-inc,154236,233149,HS-grad,HS-grad,9,4,Never-married,Married-civ-spouse,Transport-moving,?,Own-child,Husband,White,White,Male,Female,2597,3818,0,1741,40,52,United-States,United-States,<=50K,<=50K
19,28,Private,Private,289227,233149,Some-college,11th,10,4,Never-married,Married-civ-spouse,Handlers-cleaners,Handlers-cleaners,Own-child,Husband,Black,White,Male,Male,0,3818,0,1741,16,18,United-States,United-States,<=50K,<=50K
18,28,Private,Local-gov,217439,233149,HS-grad,HS-grad,9,12,Never-married,Never-married,Other-service,Adm-clerical,Not-in-family,Not-in-family,White,White,Female,Female,0,3818,0,1741,28,18,United-States,United-States,<=50K,<=50K
18,28,Private,Private,179020,114774,HS-grad,HS-grad,9,12,Never-married,Married-civ-spouse,Machine-op-inspct,Handlers-cleaners,Own-child,Not-in-family,White,White,Female,Male,0,3818,0,1741,48,18,United-States,United-States,<=50K,<=50K
28,28,Private,Private,149624,233149,Some-college,10th,10,12,Married-civ-spouse,Divorced,Craft-repair,Sales,Husband,Unmarried,White,White,Male,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,<=50K
29,28,Private,Private,337266,114774,Assoc-voc,Prof-school,11,12,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,>50K,>50K
20,28,?,Self-emp-not-inc,30796,233149,HS-grad,HS-grad,9,4,Never-married,Married-civ-spouse,?,Other-service,Own-child,Husband,White,White,Female,Male,0,3818,0,1741,20,52,United-States,United-States,<=50K,>50K
40,28,Private,Private,103541,233149,Some-college,Some-college,10,12,Married-civ-spouse,Married-civ-spouse,Handlers-cleaners,Sales,Husband,Husband,White,White,Male,Female,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
26,28,Private,Local-gov,206721,114774,HS-grad,HS-grad,9,12,Never-married,Never-married,Handlers-cleaners,Machine-op-inspct,Unmarried,Not-in-family,White,White,Male,Female,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
46,28,Private,Private,96773,114774,HS-grad,9th,9,4,Married-civ-spouse,Married-civ-spouse,Craft-repair,Handlers-cleaners,Husband,Husband,White,White,Male,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,<=50K
