sex,sex_norace,age,age_norace,age_cat,age_cat_norace,race,race_norace,juv_fel_count,juv_fel_count_norace,juv_misd_count,juv_misd_count_norace,juv_other_count,juv_other_count_norace,priors_count,priors_count_norace,c_charge_degree,c_charge_degree_norace,c_charge_desc,c_charge_desc_norace,decile_score,decile_score_norace,score_text,score_text_norace
Female,Male,21,20,Less than 25,Less than 25,Caucasian,African-American,0,1,0,0,0,1,0,1,F,F,Introduce Contraband Into Jail,Driving While License Revoked,4,4,Medium,Low
Male,Male,24,20,Less than 25,Less than 25,Hispanic,African-American,0,1,0,0,0,1,1,1,F,F,Lewd/Lasc Battery Pers 12+/<16,"Poss3,4 Methylenedioxymethcath",4,4,Medium,Low
Male,Male,26,26,25 - 45,Greater than 45,African-American,African-American,0,1,0,0,1,1,5,1,F,F,Pos Cannabis W/Intent Sel/Del,arrest case no charge,7,6,Medium,Low
Male,Male,32,32,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,4,1,F,F,Att Tamper w/Physical Evidence,Felony Driving While Lic Suspd,8,8,Low,High
Male,Male,49,47,Greater than 45,Greater than 45,Other,African-American,0,1,0,0,0,1,7,8,F,F,Agg Fleeing and Eluding,Battery,3,3,Low,Low
Female,Female,33,32,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,4,1,M,M,Battery,Battery,5,4,Low,Medium
Male,Male,24,20,Less than 25,Less than 25,Caucasian,African-American,0,1,0,0,0,1,1,1,M,F,Battery,Battery,2,1,Medium,Low
Male,Male,34,32,25 - 45,25 - 45,African-American,African-American,2,1,1,0,3,1,21,8,F,F,Poss Wep Conv Felon,Grand Theft (Motor Vehicle),9,9,High,High
Male,Male,29,26,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,2,1,M,M,Viol Injunct Domestic Violence,Battery,2,1,Low,Low
Female,Female,51,47,Greater than 45,Greater than 45,African-American,African-American,0,1,0,0,0,1,7,1,F,F,Possession of Cocaine,Possession of Cocaine,2,1,Low,Low
Male,Male,29,26,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,0,1,F,F,Tampering With Physical Evidence,Battery,4,4,Low,Low
Female,Female,28,26,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,1,0,1,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,2,1,Low,Low
Male,Male,30,32,25 - 45,25 - 45,Hispanic,African-American,0,1,0,0,0,1,0,1,M,M,Possess Cannabis/20 Grams Or Less,Possess Cannabis/20 Grams Or Less,7,6,Low,Medium
Male,Male,49,47,Greater than 45,Greater than 45,African-American,African-American,0,1,0,0,0,1,4,1,M,M,Battery,Battery,1,1,Low,Low
Male,Male,53,47,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,1,8,4,F,F,arrest case no charge,arrest case no charge,5,4,Medium,Medium
Male,Male,35,32,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,5,1,F,F,Driving While License Revoked,Driving While License Revoked,3,3,Low,Low
Male,Male,27,26,25 - 45,25 - 45,African-American,African-American,1,1,1,0,2,1,15,4,F,F,Driving While License Revoked,Grand Theft in the 3rd Degree,10,9,High,Low
Male,Male,38,37,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,4,1,M,M,Battery,Battery,2,1,Low,Low
Male,Male,22,20,Less than 25,Less than 25,African-American,African-American,0,1,0,0,1,1,1,1,F,F,Poss Firearm W/Altered ID#,arrest case no charge,4,4,Medium,Low
Male,Male,29,26,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,4,1,F,F,arrest case no charge,arrest case no charge,9,9,Low,Low
Male,Male,62,58,Greater than 45,Greater than 45,Hispanic,African-American,0,1,0,0,0,1,0,1,M,M,Unlaw LicTag/Sticker Attach,Grand Theft (Motor Vehicle),1,1,Low,Low
Male,Male,27,26,25 - 45,25 - 45,African-American,African-American,0,1,1,0,0,1,6,1,F,F,Aggravated Battery / Pregnant,arrest case no charge,6,6,Medium,Low
Male,Male,33,32,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,1,0,1,M,M,Battery,Battery,1,1,Low,Low
Male,Male,45,42,Greater than 45,Greater than 45,Hispanic,African-American,0,1,0,0,0,1,6,4,F,F,Possession of Cocaine,Possession of Cocaine,1,1,Low,Low
Male,Male,22,20,Less than 25,Less than 25,Hispanic,African-American,0,1,0,0,0,1,1,1,F,F,Burglary Structure Unoccup,Battery,4,4,Medium,Low
Male,Male,29,26,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,5,1,F,F,False Name By Person Arrest,Viol Injunct Domestic Violence,6,6,Medium,Medium
Male,Male,22,20,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,1,1,1,M,M,Battery,Battery,3,3,Medium,Low
Male,Male,22,20,Less than 25,Less than 25,Caucasian,African-American,0,1,0,0,0,1,0,1,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,8,8,Low,High
Female,Female,26,26,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,1,1,F,F,Poss Cocaine/Intent To Del/Sel,arrest case no charge,4,4,Low,Low
Male,Male,30,32,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,8,4,M,M,Possess Cannabis/20 Grams Or Less,Possess Cannabis/20 Grams Or Less,10,9,High,Low
Male,Male,25,26,25 - 45,25 - 45,African-American,African-American,1,1,6,2,1,1,14,4,F,F,arrest case no charge,arrest case no charge,10,9,High,Low
Male,Male,20,20,Less than 25,Less than 25,Other,African-American,0,1,0,0,0,1,0,1,F,F,Tampering With Physical Evidence,Felony Petit Theft,5,4,Low,Medium
Male,Male,22,20,Less than 25,Less than 25,African-American,African-American,1,1,0,0,0,1,2,1,F,F,Attempted Burg/struct/unocc,Battery,9,9,Medium,High
Female,Female,35,32,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,1,1,M,M,arrest case no charge,Battery,2,1,Low,Low
Male,Male,36,37,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,9,4,F,F,Deliver Cocaine,Aggravated Assault W/dead Weap,7,6,Medium,Medium
Male,Male,26,26,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,7,4,F,F,Possession Burglary Tools,Possession Burglary Tools,8,8,Medium,High
Male,Male,21,20,Less than 25,Less than 25,Other,African-American,0,1,0,0,0,1,1,1,F,F,Grand Theft in the 3rd Degree,Battery,6,6,Medium,Medium
Male,Male,39,37,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,2,1,F,F,Possession Of Alprazolam,Battery,1,1,Low,Low
Female,Female,54,47,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,1,0,1,M,M,DUI Level 0.15 Or Minor In Veh,DUI Level 0.15 Or Minor In Veh,1,1,Low,Low
Female,Female,44,42,25 - 45,25 - 45,Hispanic,African-American,0,1,0,0,0,1,0,1,M,F,Battery,Battery,1,1,Low,Low
Male,Male,19,20,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,1,1,1,M,M,Battery,Battery,4,4,High,Low
Female,Female,39,37,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,0,1,F,F,Aggravated Assault W/Dead Weap,Aggravated Assault W/Dead Weap,1,1,Low,Low
Male,Male,24,20,Less than 25,Less than 25,Caucasian,African-American,0,1,1,0,2,1,8,4,F,F,False Ownership Info/Pawn Item,Battery,6,6,High,Medium
Male,Male,30,26,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,0,1,F,F,Possession Of Methamphetamine,DUI Property Damage/Injury,4,4,Low,Low
Male,Male,31,26,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,0,1,M,M,Battery,Battery,5,4,Low,Medium
Female,Male,39,37,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,1,1,F,F,Possession of Morphine,arrest case no charge,4,4,Low,Low
Male,Male,43,37,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,1,1,F,F,Possession of Cocaine,"Poss3,4 Methylenedioxymethcath",1,1,Low,Low
Male,Male,33,32,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,5,1,F,F,Poss Contr Subst W/o Prescript,Possession of Cocaine,5,4,Medium,Low
Male,Male,37,37,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,3,1,F,F,"Poss3,4 Methylenedioxymethcath","Poss3,4 Methylenedioxymethcath",2,1,Low,Low
Male,Male,41,37,25 - 45,Greater than 45,African-American,African-American,0,1,1,0,0,1,10,4,F,F,Possession of Cocaine,Battery,9,9,Medium,High
Male,Male,22,20,Less than 25,25 - 45,African-American,African-American,0,1,0,0,0,1,0,1,F,F,Uttering a Forged Instrument,Burglary Dwelling Occupied,4,4,Low,Low
Male,Male,33,32,25 - 45,25 - 45,African-American,African-American,0,1,12,2,2,1,28,15,F,F,Driving While License Revoked,Driving While License Revoked,8,8,High,High
Male,Male,31,32,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,1,1,M,M,Battery,Battery,7,6,Low,Medium
Female,Female,30,32,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,1,1,1,F,F,Crim Use of Personal ID Info,Disorderly Conduct,2,1,Low,Low
Male,Male,27,26,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,3,1,F,F,Possession of Cocaine,"Poss3,4 Methylenedioxymethcath",9,9,Low,Low
Male,Male,52,47,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,1,3,1,M,M,Battery,Battery,9,9,Low,High
Male,Male,33,32,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,19,8,F,F,arrest case no charge,arrest case no charge,10,9,High,Low
Female,Female,24,26,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,1,0,1,M,M,Battery,Battery,2,1,Medium,Low
Female,Female,29,26,25 - 45,25 - 45,Caucasian,African-American,0,1,1,0,0,1,10,4,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,4,4,High,Low
Male,Male,32,32,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,3,1,F,F,Possession of Cocaine,Battery,7,6,Low,Medium
Male,Male,31,26,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,2,1,M,M,Resist/Obstruct W/O Violence,Battery,3,3,Low,Low
Male,Male,59,53,Greater than 45,Less than 25,Caucasian,African-American,0,1,0,0,0,1,1,1,F,F,Possession of Cocaine,Battery,2,1,Low,Low
Female,Female,20,20,Less than 25,Less than 25,African-American,African-American,1,1,0,0,0,1,1,1,F,F,arrest case no charge,arrest case no charge,10,9,Medium,High
Female,Female,43,37,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,0,1,M,M,DUI Level 0.15 Or Minor In Veh,DUI Level 0.15 Or Minor In Veh,1,1,Low,Low
Male,Male,38,37,25 - 45,25 - 45,African-American,African-American,1,1,1,0,0,1,9,4,F,F,Possession of Cocaine,Possession of Cocaine,8,8,Medium,Low
Male,Male,33,32,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,8,4,M,M,Assault,Possession of Cocaine,5,4,High,Low
Male,Male,27,26,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,2,1,F,F,Tampering With Physical Evidence,Tampering With Physical Evidence,9,9,Low,High
Female,Female,61,58,Greater than 45,Greater than 45,African-American,African-American,0,1,0,0,0,1,1,1,F,F,Solicit Purchase Cocaine,Battery,1,1,Low,Low
Male,Male,52,53,Greater than 45,Greater than 45,Other,African-American,0,1,0,0,0,1,13,15,F,F,Felony Petit Theft,Felony Petit Theft,7,6,Medium,Medium
Male,Male,63,58,Greater than 45,Greater than 45,Hispanic,African-American,0,1,0,0,0,1,1,1,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,29,26,25 - 45,25 - 45,Hispanic,African-American,0,1,0,0,0,1,1,1,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,4,4,Low,Low
Male,Male,39,37,25 - 45,25 - 45,Caucasian,African-American,1,1,0,0,0,1,1,1,M,M,,Battery,4,4,Low,Low
Female,Female,30,26,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,3,1,F,F,Possession Of Carisoprodol,Neglect Child / No Bodily Harm,7,6,Low,Medium
Male,Male,30,32,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,1,1,F,F,Burglary Conveyance Assault/Bat,Driving While License Revoked,7,6,Low,Low
Male,Male,22,20,Less than 25,Greater than 45,African-American,African-American,0,1,0,0,0,1,1,1,F,F,arrest case no charge,arrest case no charge,2,1,Medium,Low
Male,Male,46,42,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,1,6,4,F,F,Driving While License Revoked,Driving While License Revoked,1,1,Low,Low
Male,Male,25,26,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,1,1,M,M,Battery,Battery,2,1,Low,Low
Male,Male,23,20,Less than 25,Less than 25,Hispanic,African-American,0,1,0,0,0,1,0,1,F,F,"Poss3,4 Methylenedioxymethcath","Poss3,4 Methylenedioxymethcath",3,3,Low,High
Female,Female,32,32,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,5,1,F,F,Aggravated Assault W/dead Weap,Aggravated Assault W/dead Weap,7,6,Medium,Low
Male,Male,28,26,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,6,1,M,M,Resist/Obstruct W/O Violence,arrest case no charge,6,6,Medium,Low
Male,Male,54,53,Greater than 45,Greater than 45,Hispanic,African-American,0,1,0,0,0,1,2,1,F,F,Burglary Unoccupied Dwelling,Burglary Unoccupied Dwelling,1,1,Low,High
Male,Male,58,53,Greater than 45,Greater than 45,Hispanic,African-American,0,1,0,0,0,1,0,1,F,F,Possession Of Heroin,DUI Property Damage/Injury,2,1,Low,Low
Male,Male,22,20,Less than 25,25 - 45,African-American,African-American,0,1,0,0,0,1,1,1,F,F,Pos Cannabis W/Intent Sel/Del,arrest case no charge,5,4,Medium,Low
Male,Male,47,42,Greater than 45,Greater than 45,African-American,African-American,0,1,0,0,0,1,23,15,M,M,Possess Cannabis/20 Grams Or Less,arrest case no charge,8,8,High,Low
Male,Male,23,20,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,1,0,1,M,M,Battery,Battery,2,1,Low,Low
Male,Male,57,53,Greater than 45,Greater than 45,Hispanic,African-American,0,1,0,0,0,1,1,1,F,F,Driving While License Revoked,arrest case no charge,1,1,Low,Low
Male,Male,66,58,Greater than 45,Greater than 45,African-American,African-American,0,1,0,0,0,1,3,1,F,F,Agg Battery Grt/Bod/Harm,Agg Battery Grt/Bod/Harm,1,1,Low,Low
Male,Male,45,42,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,1,8,4,M,M,Viol Injunct Domestic Violence,Possession of Cocaine,4,4,Medium,Low
Male,Male,26,26,25 - 45,Greater than 45,African-American,African-American,0,1,0,0,0,1,9,4,F,F,Deliver Cocaine,Battery,9,9,High,High
Male,Male,45,42,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,1,2,1,F,F,Lewd or Lascivious Molestation,Battery,3,3,Low,Low
Female,Female,23,20,Less than 25,Greater than 45,African-American,African-American,0,1,0,0,0,1,1,1,M,M,Battery,Battery,4,4,Medium,Low
Male,Male,50,42,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,1,1,1,F,F,Sexual Performance by a Child,Possession of Cocaine,1,1,Low,Low
Female,Female,37,32,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,0,1,M,M,Leaving Acc/Unattended Veh,Felony Battery (Dom Strang),3,3,Low,Low
Female,Female,35,32,25 - 45,25 - 45,African-American,African-American,0,1,1,0,0,1,23,15,F,F,Felony Petit Theft,Grand Theft in the 3rd Degree,9,9,High,High
Male,Male,24,20,Less than 25,Less than 25,Other,African-American,0,1,0,0,0,1,5,4,F,F,arrest case no charge,arrest case no charge,5,4,Medium,Medium
Male,Male,27,26,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,0,1,M,M,Criminal Mischief,Possession of Cocaine,2,1,Low,Low
Female,Female,28,26,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,0,1,F,F,Aggrav Battery w/Deadly Weapon,arrest case no charge,8,8,Low,Low
Male,Male,38,37,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,2,1,F,F,Driving While License Revoked,Driving While License Revoked,1,1,Low,Low
Female,Female,28,26,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,1,1,F,M,arrest case no charge,Battery,9,9,Low,Low
Male,Male,56,47,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,1,7,4,F,F,Felony Driving While Lic Suspd,Felony Driving While Lic Suspd,1,1,Low,Low
Male,Male,38,37,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,15,4,F,F,Possession of Cocaine,Possession of Cocaine,9,9,High,Low
Male,Male,28,26,25 - 45,Greater than 45,African-American,African-American,0,1,0,0,0,1,2,1,M,M,Possess Cannabis/20 Grams Or Less,arrest case no charge,5,4,Low,Low
Female,Male,51,47,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,1,0,1,M,F,Driving Under The Influence,Driving Under The Influence,1,1,Low,Low
Male,Male,51,47,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,1,0,1,M,M,Battery,Battery,2,1,Low,Low
Male,Male,36,37,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,1,1,1,M,F,Possess Cannabis/20 Grams Or Less,arrest case no charge,1,1,Low,High
Male,Male,48,42,Greater than 45,Greater than 45,African-American,African-American,0,1,0,0,0,1,0,1,F,M,Aggravated Battery (Firearm/Actual Possession),arrest case no charge,1,1,Low,Low
Male,Male,37,32,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,4,1,F,F,arrest case no charge,arrest case no charge,3,3,Low,Low
Female,Female,30,32,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,2,1,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,7,6,Low,Medium
Female,Female,41,37,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,5,1,M,M,Battery,Battery,6,6,Low,Medium
Male,Male,27,26,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,11,4,F,F,Robbery / No Weapon,Possession of Cocaine,10,9,High,Low
Male,Male,37,37,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,0,1,M,M,Battery,Battery,1,1,Low,Low
Male,Male,33,32,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,1,4,4,F,F,Aggravated Assault w/Firearm,Tampering With Physical Evidence,4,4,Low,Low
Male,Male,23,20,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,1,2,1,F,F,Robbery / Weapon,arrest case no charge,9,9,Medium,Low
Male,Male,41,37,25 - 45,Greater than 45,African-American,African-American,0,1,0,0,0,1,0,1,M,M,Battery,Battery,1,1,Low,Low
Male,Male,43,37,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,13,8,F,F,Driving While License Revoked,Driving While License Revoked,4,4,High,Low
Male,Male,28,26,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,1,1,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,30,32,25 - 45,25 - 45,African-American,African-American,0,1,0,0,2,1,11,4,M,M,Battery,Battery,9,9,High,High
Male,Male,28,26,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,1,1,F,F,Criminal Mischief,Disorderly Conduct,5,4,Low,Medium
Male,Male,30,32,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,4,1,F,F,Driving While License Revoked,arrest case no charge,2,1,Low,Low
Male,Male,25,26,25 - 45,25 - 45,Hispanic,African-American,0,1,0,0,0,1,4,1,F,F,Possession of Cannabis,Grand Theft in the 3rd Degree,4,4,Low,Low
Male,Male,31,26,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,0,1,F,F,Burglary Unoccupied Dwelling,Burglary Unoccupied Dwelling,8,8,Low,High
Male,Male,37,32,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,0,1,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,2,1,Low,Low
Male,Male,53,47,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,1,1,1,M,M,Battery,Battery,1,1,Low,Low
Male,Male,28,26,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,25,15,F,F,arrest case no charge,arrest case no charge,8,8,High,Low
Male,Male,25,26,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,0,1,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,3,3,Low,Low
Male,Male,22,20,Less than 25,Less than 25,Caucasian,African-American,0,1,0,0,1,1,1,1,M,M,Voyeurism,Battery,8,8,Medium,High
Female,Female,37,37,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,1,0,1,M,M,Battery,Battery,1,1,Low,Low
Female,Female,40,42,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,1,3,4,F,F,Driving While License Revoked,Driving While License Revoked,2,1,Low,Low
Male,Male,23,20,Less than 25,Less than 25,Hispanic,African-American,0,1,0,0,1,1,1,1,F,F,arrest case no charge,arrest case no charge,6,6,Medium,Medium
Female,Female,23,20,Less than 25,Less than 25,Caucasian,African-American,0,1,0,0,4,1,5,1,F,F,arrest case no charge,arrest case no charge,5,4,Medium,Low
Male,Male,24,20,Less than 25,Less than 25,Hispanic,African-American,0,1,0,0,0,1,0,1,M,F,Possess Cannabis/20 Grams Or Less,Possession of Cocaine,8,8,Low,High
Male,Male,29,26,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,1,1,M,M,Battery,Battery,3,3,Low,Low
Male,Male,20,20,Less than 25,25 - 45,African-American,African-American,0,1,0,0,0,1,1,1,F,F,Carrying Concealed Firearm,Battery,8,8,High,Low
Male,Male,30,32,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,2,1,F,M,Carrying Concealed Firearm,Carrying Concealed Firearm,6,6,Low,Medium
Male,Male,27,26,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,4,1,F,M,arrest case no charge,arrest case no charge,4,4,Low,Low
Female,Female,37,37,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,2,1,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,20,20,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,1,0,1,F,F,Possession Burglary Tools,Possession Burglary Tools,8,8,Low,High
Male,Male,22,20,Less than 25,Less than 25,Hispanic,African-American,0,1,0,0,1,1,0,1,F,F,"Poss3,4 Methylenedioxymethcath",Driving While License Revoked,7,6,Low,Medium
Female,Female,52,47,Greater than 45,Greater than 45,African-American,African-American,0,1,0,0,0,1,0,1,F,F,Burglary Conveyance Unoccup,Battery,1,1,Low,Low
Female,Female,48,42,Greater than 45,Greater than 45,African-American,African-American,0,1,0,0,0,1,0,1,F,F,Aggravated Assault W/Dead Weap,Aggravated Assault W/Dead Weap,2,1,Low,Low
Male,Male,25,26,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,0,1,F,F,"Deliver 3,4 Methylenediox","Poss3,4 Methylenedioxymethcath",5,4,Low,Low
Male,Male,27,26,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,0,1,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,6,6,Low,Medium
Male,Male,30,32,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,11,4,F,F,Unauth Poss ID Card or DL,Grand Theft in the 3rd Degree,7,6,High,Low
Female,Female,41,37,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,2,1,M,M,Battery on Law Enforc Officer,Felony Driving While Lic Suspd,3,3,Low,Low
Female,Female,25,26,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,1,0,1,F,F,Aggravated Assault W/Dead Weap,arrest case no charge,2,1,Low,Low
Male,Male,37,32,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,3,1,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,70,67,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,1,1,1,M,M,Battery,Battery,1,1,Low,Low
Male,Male,21,20,Less than 25,Greater than 45,African-American,African-American,0,1,0,0,0,1,0,1,M,M,Petit Theft,Battery,9,9,Low,Low
Male,Male,26,26,25 - 45,Greater than 45,African-American,African-American,0,1,0,0,0,1,1,1,M,M,Battery,Battery,8,8,Low,Medium
Male,Male,34,32,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,5,1,M,M,Battery,Battery,4,4,Low,Low
